p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
8.61213337582513e-10	2.22287648241993	1	0.006	1.75902824201228e-05	COVID19	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
5.76354860424686e-07	1.27154742269241	0.75	0.632	0.0117720480241742	PLCG2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
1.16395678286449e-06	2.84276458498511	1	0.004	0.0237738172900071	COVID19	Colon_24h_Stem Cells_Infected_v_Colon_Mock_Stem Cells_Non-Infected
6.05276364960048e-21	4.14240590100483	1	0.002	1.2362769754309e-16	COVID19	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
2.38154021047037e-13	1.79079730588264	1	0.789	4.86429587988572e-09	NFKBIA	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
8.51365878341818e-10	0.802577930027774	0.727	0.545	1.73891480651316e-05	RCAN1	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
1.65293309249952e-09	-0.656163456818272	1	1	3.37611584143027e-05	CLDN7	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
1.85249307609542e-08	0.839825990086324	0.909	0.443	0.00037837171079249	TNFAIP3	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
5.8755012801772e-08	1.49855363310442	1	0.871	0.00120007113647619	JUN	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
1.6341785786364e-07	0.80726266144002	0.727	0.572	0.00333780974686484	NFKBIZ	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
2.41450804095665e-07	-0.672462848403651	1	1	0.00493163267365397	EPCAM	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
2.44334327322457e-07	0.966246495060015	0.909	0.791	0.00499052863556119	IER2	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
2.77183526886116e-07	0.872521354855852	0.727	0.356	0.00566147353664893	IFIT3	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
2.945139333988e-07	-0.794403050024645	1	1	0.0060154470896705	CD63	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
3.77187182984226e-07	0.974406873183693	0.909	0.303	0.00770404821245281	IFIT2	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
4.09870835512165e-07	-0.768122289598211	1	1	0.00837161181533596	HLA-A	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
6.534699728627e-07	1.13476459423743	1	0.689	0.0133471241957206	ATF3	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
7.15393980765063e-07	-0.705793898004236	1	1	0.0146119220571264	TMBIM6	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
8.12443074070695e-07	0.975076484575998	0.273	0.259	0.016594149787894	NR0B2	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
1.92524448511554e-06	0.846230633451479	0.727	0.152	0.0393231186084849	MX2	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
2.3357086844839e-06	-0.572192851902707	1	1	0.0477068498805836	B2M	Colon_24h_Enterocyte 2_Infected_v_Colon_Mock_Enterocyte 2_Non-Infected
3.67831109114597e-30	2.65177946944356	1	0.008	7.51295040366565e-26	COVID19	Colon_24h_TA_Infected_v_Colon_Mock_TA_Non-Infected
3.22991776626002e-23	1.44230485910388	1	0.287	6.59710703758609e-19	IFIT3	Colon_24h_TA_Infected_v_Colon_Mock_TA_Non-Infected
1.14684198213749e-20	1.0849931526267	0.952	0.238	2.34242474851582e-16	XAF1	Colon_24h_TA_Infected_v_Colon_Mock_TA_Non-Infected
1.0820289976111e-18	1.51748088362614	1	0.361	2.21004422762067e-14	MX1	Colon_24h_TA_Infected_v_Colon_Mock_TA_Non-Infected
3.94721234576153e-17	0.866461274753163	0.857	0.07	8.06218121621793e-13	MX2	Colon_24h_TA_Infected_v_Colon_Mock_TA_Non-Infected
1.01409220476465e-15	-1.10796842420541	1	1	2.0712833282318e-11	KRT20	Colon_24h_TA_Infected_v_Colon_Mock_TA_Non-Infected
1.13639959426439e-15	1.34064708479071	1	0.779	2.32109617128503e-11	NFKBIA	Colon_24h_TA_Infected_v_Colon_Mock_TA_Non-Infected
