p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
2.59617995751576e-116	0.587013565597266	0.776	0.006	5.30269756322594e-112	COVID19	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
2.32388932766703e-96	1.55911405900427	0.85	0.004	4.7465439517599e-92	COVID19	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
7.86705977030802e-21	0.55050816875563	0.309	0.019	1.60684695808541e-16	IFIT1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.52318597706297e-20	0.84706258868107	0.56	0.224	3.11110735815111e-16	MX1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.86127623866079e-17	0.6035941500205	0.725	0.351	3.80165671746466e-13	ZG16	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.63313925911522e-16	0.793360362342571	0.903	0.799	3.33568693674283e-12	HIST1H4C	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
8.53516092927908e-15	0.667990765373	0.884	0.728	1.74330661980525e-10	ISG15	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
6.26278286818933e-14	-0.693057833114443	0.435	0.739	1.27917340082767e-09	AP000769.1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.48555016613918e-12	-0.611442745488129	0.454	0.72	3.03423621433928e-08	LRRC75A	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
7.40550850338155e-11	0.511644543290644	0.338	0.146	1.51257511181568e-06	IFIT3	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
4.76457994258419e-08	0.586413681426685	0.647	0.459	0.000973165453272821	OLFM4	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
2.86086309157223e-117	0.895250994881751	0.8	0.002	5.84331286453629e-113	COVID19	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
8.99933912361979e-48	1.09061153095333	0.894	0.602	1.83811501599934e-43	MX1	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
8.71030481996571e-41	0.773080203998145	0.641	0.152	1.779079759478e-36	MX2	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
1.069502836588e-40	0.958200316113546	0.731	0.251	2.18445954373099e-36	IFIT1	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
3.63372884203329e-39	0.965511903607532	0.751	0.356	7.42189115985299e-35	IFIT3	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
1.27771290625171e-37	0.976529161062773	1	0.983	2.60972861101911e-33	CKB	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
3.9397478474047e-37	0.648491487601599	0.906	0.555	8.04693497832409e-33	HIST1H4C	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
4.0037012340267e-37	0.709559275446062	1	1	8.17755977049954e-33	FABP1	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
3.93923010202772e-35	-0.541117390888925	1	1	8.04587748339161e-31	CD63	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
8.14949016014017e-34	0.974300562105594	0.69	0.303	1.66453336520863e-29	IFIT2	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
2.91568915207952e-32	0.623652619220365	0.759	0.361	5.95529509312241e-28	XAF1	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
1.33661067314454e-31	0.810554954895495	1	1	2.73002729989772e-27	TFF3	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
9.32082401364943e-31	0.71370636748171	1	0.998	1.9037783047879e-26	PHGR1	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
5.65825685446952e-30	0.547547565756181	1	0.998	1.1556989625254e-25	GAPDH	Colon_24h_Enterocyte 2_Bystander_v_Colon_Mock_Enterocyte 2_Non-Infected
