p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
2.59617995751576e-116	0.587013565597266	0.776	0.006	5.30269756322594e-112	COVID19	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
2.26692017387316e-24	0.391334447462776	0.965	0.951	4.63018445513592e-20	TMEM141	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
3.94640651661127e-23	0.305047143264159	1	1	8.06053531017851e-19	ACTB	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
9.07985447948648e-18	-0.321989623545149	0.992	0.991	1.85456027743511e-13	JUND	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
2.08880975160696e-16	0.285886106628546	0.923	0.794	4.26639391765721e-12	HIST1H4C	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
3.81024474620237e-16	-0.415410195870569	0.933	0.994	7.78242489411834e-12	CA4	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
3.95194251199869e-13	0.255487179553856	0.648	0.405	8.07184258075732e-09	MX1	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
4.25701916820566e-13	0.286113731206363	0.429	0.193	8.69496165106007e-09	MT2A	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
5.10765066453932e-13	-0.394447431681496	0.955	0.982	1.04323764823216e-08	DUOX2	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
2.62954176869615e-12	0.266984032208692	0.96	0.926	5.37083906256188e-08	TMEM256	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
2.99006093980771e-12	0.290122446337737	0.997	0.994	6.10719946955726e-08	RPS29	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
4.73884228936223e-12	0.2744484173691	0.896	0.834	9.67908537602236e-08	AKR7A3	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
8.76837279777249e-10	-0.347997546232492	0.605	0.748	1.79094014394503e-05	TNFSF15	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
8.96625905114052e-09	-0.416599974312115	0.645	0.77	0.000183135841119545	AP000769.1	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
2.17536056272867e-08	0.28488109011972	0.968	0.939	0.000444317394937332	P4HA1	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
1.15826508361428e-07	-0.25855965419113	0.885	0.917	0.00236575643328216	COPB1	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
3.70125644280269e-07	-0.27374320914568	1	1	0.00755981628442449	NEAT1	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
5.11498596011443e-07	-0.338775428790981	0.763	0.822	0.0104473588235337	TM4SF20	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
6.64772314605438e-06	-0.2760951109969	1	1	0.135779745258161	SLC26A3	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
1.87489775147651e-05	-0.367147539453733	0.272	0.365	0.382947865739078	G0S2	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
2.35448547204658e-05	0.303288487730033	0.992	0.994	0.480903657665515	TFF1	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
4.37645051624372e-05	0.363197444962106	1	0.997	0.893890017942781	CKB	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
0.000145498065091398	-0.291198732358335	0.88	0.942	1	PI3	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
0.000206507923131408	0.274343155262047	0.797	0.702	1	LGALS1	Colon_24h_Enterocyte 1_Bystander_v_Colon_Mock_Enterocyte 1_Non-Infected
2.32388932766703e-96	1.55911405900427	0.85	0.004	4.7465439517599e-92	COVID19	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
7.86705977030802e-21	0.55050816875563	0.309	0.019	1.60684695808541e-16	IFIT1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.52318597706297e-20	0.84706258868107	0.56	0.224	3.11110735815111e-16	MX1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.02823738582721e-17	0.33822591734871	1	1	2.10017486055207e-13	PTMA	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.86127623866079e-17	0.6035941500205	0.725	0.351	3.80165671746466e-13	ZG16	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.63313925911522e-16	0.793360362342571	0.903	0.799	3.33568693674283e-12	HIST1H4C	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
2.12068045925738e-16	-0.431226273491494	0.734	0.951	4.33148983803321e-12	IDH1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
9.41732086802688e-16	0.274973083152198	1	1	1.92348778729449e-11	S100A6	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
8.53516092927908e-15	0.667990765373	0.884	0.728	1.74330661980525e-10	ISG15	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
3.57036052975706e-14	0.430787504519732	0.242	0.022	7.29246138202879e-10	MX2	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
6.26278286818933e-14	-0.693057833114443	0.435	0.739	1.27917340082767e-09	AP000769.1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.00817168596361e-12	0.364274218390877	0.188	0.007	2.05919066858068e-08	CXCL10	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.20195104392006e-12	0.435771474821891	0.792	0.649	2.45498500720671e-08	IFITM3	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.48555016613918e-12	-0.611442745488129	0.454	0.72	3.03423621433928e-08	LRRC75A	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.81752729751862e-12	-0.31560314540266	0.304	0.567	3.71229950518177e-08	TMEM238	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
2.5464889261649e-12	-0.343849145682876	0.816	0.94	5.20120363169182e-08	MARCKS	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
4.32046443946242e-12	-0.387286021627237	0.778	0.937	8.82454861760198e-08	KLF5	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
5.12869684535666e-12	0.269035524446926	0.957	0.974	1.0475363306641e-07	ATP5I	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.05736824660464e-11	-0.361450715686779	0.966	0.996	2.15967464368997e-07	MT-ND1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.71808785702192e-11	-0.490959938709155	0.966	0.981	3.50919444796728e-07	NEAT1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
2.114674674484e-11	-0.340201867401934	0.932	0.996	4.31922302263358e-07	ASS1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
7.39742235330733e-11	-0.352743700213319	0.845	0.896	1.51092351566302e-06	JUND	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
7.40550850338155e-11	0.511644543290644	0.338	0.146	1.51257511181568e-06	IFIT3	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.38285352303025e-10	-0.357341639444238	0.763	0.929	2.82447832078928e-06	RRBP1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.46979896831126e-10	-0.273294855936206	0.913	0.989	3.00206439277576e-06	MT-ND2	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
2.86184768765929e-10	0.365281892453758	0.343	0.138	5.8453239020441e-06	EPSTI1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
5.45884501896353e-10	0.419917595875123	1	1	1.1149690951233e-05	PHGR1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
5.91439751847438e-10	-0.302336325650077	0.995	0.993	1.20801569314839e-05	PIGR	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.52498835089152e-09	-0.303979217486508	0.425	0.657	3.11478870669593e-05	ISX	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
2.41090453217394e-09	-0.297957188111962	0.502	0.716	4.92427250696528e-05	MBD2	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
3.08674844807167e-09	0.359280037387936	0.643	0.578	6.30468370518639e-05	MT1E	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
3.2209239839755e-09	0.353580469862254	0.309	0.119	6.57873723726996e-05	XAF1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
3.65020104099308e-09	0.270936518782957	0.986	0.989	7.45553562622837e-05	COX7A2	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
3.99337812369268e-09	0.345244937592946	0.386	0.16	8.15647481764231e-05	CXCL11	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
4.99505697411597e-09	0.298268122011989	0.855	0.791	0.000102024038696319	SNRPD1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
8.78198160838403e-09	-0.277657117977107	0.324	0.571	0.000179371974351244	JDP2	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
9.41774609052068e-09	0.264760369330795	0.812	0.799	0.000192357463898885	PRKDC	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.00646855527433e-08	-0.301912012304496	0.71	0.884	0.000205571202414783	PRSS3	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.01948039708834e-08	0.469630758120344	0.99	0.959	0.000208228871105293	CKB	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.08836830468652e-08	-0.317342272899919	0.72	0.903	0.000222299226232221	SLC38A1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.20487534890039e-08	0.36552324562343	0.725	0.601	0.000246095790012906	NASP	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.55255431226882e-08	0.261919219695609	1	0.989	0.000317109218280907	ATP5E	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
2.12158259584248e-08	0.369264476937632	0.401	0.201	0.000433333245200827	MT2A	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
2.36264308538774e-08	-0.26437337596275	0.913	0.978	0.000482569850190446	EIF4G2	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
2.51260922783722e-08	-0.266276135168294	0.415	0.634	0.000513200434785752	CREB3L1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
2.65423574541323e-08	-0.312476139470205	0.594	0.784	0.000542127651000652	PKP2	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
3.27330204671319e-08	0.251682653528658	0.855	0.847	0.00066857194304117	MIF	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
3.88146870996875e-08	-0.250933983769149	0.768	0.937	0.000792789984011117	SPTBN1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
4.24789675212977e-08	-0.316081155229877	0.744	0.896	0.000867632911622505	COPB1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
4.76457994258419e-08	0.586413681426685	0.647	0.459	0.000973165453272821	OLFM4	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
6.98677761778977e-08	0.273903690243981	0.981	0.966	0.00142704932843356	UQCR10	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
8.71323571530574e-08	-0.284599714639735	0.686	0.858	0.0017796783948512	PTP4A1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.2828375578837e-07	0.344632003840991	0.295	0.112	0.00262019571197746	IFIT2	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
1.44710430118437e-07	-0.365740761313089	0.357	0.586	0.00295571053516907	PRSS1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
3.23515831057593e-07	-0.325311319705356	0.58	0.784	0.00660781084935134	DST	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
3.70495748337627e-07	-0.274821485843678	0.758	0.892	0.00756737565979604	ATP8B1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
3.72632188579954e-07	0.303233358584007	0.995	0.996	0.00761101245174556	HMGB1	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
4.04205533710175e-07	-0.273007696467879	0.43	0.612	0.00825589802603033	PDGFA	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
4.99644030773719e-07	-0.261518757984946	0.739	0.896	0.0102052293285532	PTBP3	Colon_24h_Stem Cells_Bystander_v_Colon_Mock_Stem Cells_Non-Infected
