all_nodes	bindingprot_layer	cov_layer	deg_layer	gene_symbol	log2FoldChange	Matching.Attribute	name	node_source	padj	ppi_layer	selected	node	tf_layer
cov2	NA	cov2	NA	orf10		A0A663DJA2	A0A663DJA2	viralprotein		NA	FALSE	A0A663DJA2	NA
bindingprot	bindingprot	NA	NA	RPSA		P08865	P08865	viralprotein		NA	FALSE	P08865	NA
bindingprot	bindingprot	NA	NA	IMPDH2		P12268	P12268	viralprotein		NA	FALSE	P12268	NA
bindingprot	bindingprot	NA	NA	ATP2A2	-0.31743533	P16615	P16615	viralprotein	0.028176105	NA	FALSE	P16615	NA
bindingprot	bindingprot	NA	NA	HACD3		Q9P035	Q9P035	viralprotein		NA	FALSE	Q9P035	NA
protein	NA	NA	NA	XPO1	0.418914833	O14980	O14980	viralmirna;viralprotein	4.47E-10	protein	FALSE	O14980	NA
protein	NA	NA	NA	RBX1		P62877	P62877	viralmirna;viralprotein		protein	FALSE	P62877	NA
cov2	NA	cov2	NA	nsp2		P0DTC1-PRO_0000449636	P0DTC1-PRO_0000449636	viralprotein		NA	FALSE	P0DTC1-PRO_0000449636	NA
bindingprot;protein	bindingprot	NA	NA	NR2F2		P24468	P24468	viralmirna;viralprotein		protein	FALSE	P24468	NA
bindingprot	bindingprot	NA	NA	HSPA5	-0.549639992	P11021	P11021	viralprotein	5.70E-09	NA	FALSE	P11021	NA
cov2	NA	cov2	NA	nsp4		P0DTC1-PRO_0000449638	P0DTC1-PRO_0000449638	viralprotein		NA	FALSE	P0DTC1-PRO_0000449638	NA
bindingprot;protein	bindingprot	NA	NA	PRKDC	-0.27474497	P78527	P78527	viralmirna;viralprotein	0.001461544	protein	FALSE	P78527	NA
bindingprot	bindingprot	NA	NA	BAG2		O95816	O95816	viralprotein		NA	FALSE	O95816	NA
cov2	NA	cov2	NA	S		P0DTC2	P0DTC2	viralprotein		NA	FALSE	P0DTC2	NA
bindingprot;protein	bindingprot	NA	NA	DOCK7		Q96N67	Q96N67	viralprotein		protein	FALSE	Q96N67	NA
bindingprot;protein	bindingprot	NA	NA	BSG	-0.527317483	P35613	P35613	viralprotein	8.51E-16	protein	FALSE	P35613	NA
bindingprot	bindingprot	NA	NA	FURIN		P09958	P09958	viralprotein		NA	FALSE	P09958	NA
bindingprot	bindingprot	NA	NA	ACE2	-0.595232394	Q9BYF1	Q9BYF1	viralprotein	1.64E-04	NA	FALSE	Q9BYF1	NA
bindingprot	bindingprot	NA	NA	PCSK1		P29120	P29120	viralprotein		NA	FALSE	P29120	NA
bindingprot	bindingprot	NA	NA	CTSB		P07858	P07858	viralprotein		NA	FALSE	P07858	NA
bindingprot	bindingprot	NA	NA	CTSL		P07711	P07711	viralprotein		NA	FALSE	P07711	NA
bindingprot;protein	bindingprot	NA	NA	CCNB1		P14635	P14635	viralmirna;viralprotein		protein	FALSE	P14635	NA
cov2	NA	cov2	NA	orf3a		P0DTC3	P0DTC3	viralprotein		NA	FALSE	P0DTC3	NA
bindingprot;protein	bindingprot	NA	NA	UBA1		P22314	P22314	viralprotein		protein	FALSE	P22314	NA
bindingprot;protein	bindingprot	NA	NA	GAPDH	-0.456195131	P04406	P04406	viralmirna;viralprotein	2.26E-14	protein	FALSE	P04406	NA
bindingprot	bindingprot	NA	NA	BAG6		P46379	P46379	viralprotein		NA	FALSE	P46379	NA
bindingprot	bindingprot	NA	NA	SLC25A22		Q9H936	Q9H936	viralprotein		NA	FALSE	Q9H936	NA
bindingprot	bindingprot	NA	NA	DNAJA2		O60884	O60884	viralprotein		NA	FALSE	O60884	NA
bindingprot	bindingprot	NA	NA	PTBP1		P26599	P26599	viralprotein		NA;protein	FALSE	P26599	NA
bindingprot;protein	bindingprot	NA	NA	HMOX1		P09601	P09601	viralmirna;viralprotein		protein	FALSE	P09601	NA
bindingprot	bindingprot	NA	NA	IL13RA1		P78552	P78552	viralprotein		NA	FALSE	P78552	NA
bindingprot;protein	bindingprot	NA	NA	PLXNA1		Q9UIW2	Q9UIW2	viralmirna		NA;protein	FALSE	Q9UIW2	NA
bindingprot	bindingprot	NA	NA	BLVRA		P53004	P53004	viralprotein		NA	FALSE	P53004	NA
bindingprot	bindingprot	NA	NA	PTPRF	-0.318682542	P10586	P10586	viralprotein	0.010499793	NA	FALSE	P10586	NA
bindingprot	bindingprot	NA	NA	ZDHHC9		Q9Y397	Q9Y397	viralprotein		NA	FALSE	Q9Y397	NA
bindingprot	bindingprot	NA	NA	PROCR		Q9UNN8	Q9UNN8	viralmirna;viralprotein		NA	FALSE	Q9UNN8	NA
bindingprot	bindingprot	NA	NA	STUB1	-0.312327453	Q9UNE7	Q9UNE7	viralprotein	3.15E-04	NA	FALSE	Q9UNE7	NA
bindingprot	bindingprot	NA	NA	UBQLN1		Q9UMX0	Q9UMX0	viralprotein		NA	FALSE	Q9UMX0	NA
bindingprot	bindingprot	NA	NA	ZNRF3		Q9ULT6	Q9ULT6	viralprotein		NA	FALSE	Q9ULT6	NA
bindingprot	bindingprot	NA	NA	TNFRSF10D		Q9UBN6	Q9UBN6	viralprotein		NA	FALSE	Q9UBN6	NA
bindingprot;protein	bindingprot	NA	NA	SLK		Q9H2G2	Q9H2G2	viralprotein		protein	FALSE	Q9H2G2	NA
bindingprot;protein	bindingprot	NA	NA	WWP1		Q9H0M0	Q9H0M0	viralprotein		protein	FALSE	Q9H0M0	NA
bindingprot	bindingprot	NA	NA	EIF2A		Q9BY44	Q9BY44	viralprotein		NA	FALSE	Q9BY44	NA
