	B cell_healthy	CTL_healthy	MC_healthy	MoD-Ma_healthy	moDC_healthy	NKT_healthy	NKT-p_healthy	nrMa_healthy	pDC_healthy	rMa_healthy	Treg_healthy
RP11-34P13.7	0	0	0	0	0	0	0	0	0	0	0.081772835
AL627309.1	0.18821758	0	0.206338726	0	0	0	0	0.10956907	0	0.046155266	0.233249216
RP11-34P13.9	0	0	0	0	0	0	0	0	0	0	0
AP006222.2	0	0.186144998	1.246571927	0	0	0	0.04137446	0	0	0	0
RP4-669L17.10	0	0	0	0	0	0	0	0.057757563	0	0	0
RP4-669L17.2	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.15	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.1	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.2	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.4	0	0	0	0	0	0	0	0	0	0	0
RP11-206L10.3	0.27951382	0.126900093	0	0.493973523	0	0	0	0.302948974	2.794857462	0.046155266	0.068271036
RP11-206L10.5	0	0	0	0	0	0	0	0	0	0	0
RP11-206L10.2	0	0.090481361	0	0.219490781	0	0	0	0	0	0	0.226971922
RP11-206L10.9	0.18821758	0.108975262	0	0.219490781	0	0	0	0	0	0	0.106849022
LINC00115	0.046653541	0.13918236	0	0	0	0	0	0.044893378	0	0.046155266	0.219721904
FAM41C	0.046653541	0	0	0	0	0	0.009325983	0.621426796	0	0	0
RP11-54O7.1	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0.500297412	0.403185744	0.937667178	0.438981563	0	0	0.428758659	0.315910528	0	0.06843022	0.422378629
KLHL17	0.037045269	0.045085663	0	0	0	0	0	0	0	0	0.081516201
PLEKHN1	0	0	0	0	0	0	0.009325983	0	0	0	0
C1orf170	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.17	0	0	0	0	0	0	0.0254755	0	0	0	0
HES4	0	0	0.206338726	0.493973523	0	0	1.453667686	2.090068924	0	0	0.049862877
ISG15	0.678785003	1.158439219	0.713129725	0	0	8.9092213	0.132390267	3.712958949	0	0.213789716	0.989345382
AGRN	0	0.043350095	0	0	0	0	0.29162012	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0.066298929	0.083640013	0.224537453	0	0	0	0.141721347	0	0	0.046155266	0
RP11-465B22.8	0	0	0	0	0	0	0.49145548	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0
