from	to	source	database
WNT5A	FZD2	Baccin2019	Baccin2019
WNT5A	FZD2	CellPhoneDB	CellPhoneDB
WNT5A	FZD2	EMBRACE	EMBRACE
WNT5A	FZD2	Fantom5_LRdb	Fantom5_LRdb
WNT5A	FZD2	HPMR_LRdb	HPMR_LRdb
WNT5A	FZD2	LRdb	LRdb
WNT5A	FZD2	NetPath	NetPath
WNT5A	FZD2	Ramilowski2015	Ramilowski2015
WNT5A	FZD2	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
WNT5A	FZD2	SIGNOR	SIGNOR
WNT5A	FZD2	SPIKE	SPIKE
WNT5A	FZD2	Wang	Wang
WNT5A	FZD2	iTALK	iTALK
CXCL16	CXCR6	Baccin2019	Baccin2019
CXCL16	CXCR6	CellPhoneDB	CellPhoneDB
CXCL16	CXCR6	CellPhoneDB_ICELLNET	CellPhoneDB_ICELLNET
CXCL16	CXCR6	EMBRACE	EMBRACE
CXCL16	CXCR6	Fantom5_LRdb	Fantom5_LRdb
CXCL16	CXCR6	Guide2Pharma	Guide2Pharma
CXCL16	CXCR6	Guide2Pharma_CellPhoneDB	Guide2Pharma_CellPhoneDB
CXCL16	CXCR6	Guide2Pharma_ICELLNET	Guide2Pharma_ICELLNET
CXCL16	CXCR6	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CXCL16	CXCR6	HPMR	HPMR
CXCL16	CXCR6	HPMR_ICELLNET	HPMR_ICELLNET
CXCL16	CXCR6	HPMR_LRdb	HPMR_LRdb
CXCL16	CXCR6	HPRD	HPRD
CXCL16	CXCR6	HPRD_LRdb	HPRD_LRdb
CXCL16	CXCR6	ICELLNET	ICELLNET
CXCL16	CXCR6	Kirouac2010	Kirouac2010
CXCL16	CXCR6	Kirouac2010_ICELLNET	Kirouac2010_ICELLNET
CXCL16	CXCR6	LRdb	LRdb
CXCL16	CXCR6	Ramilowski2015	Ramilowski2015
CXCL16	CXCR6	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CXCL16	CXCR6	Ramilowski2015_ICELLNET	Ramilowski2015_ICELLNET
