Gene	mean_expression	Log2_mean_expression	zscore
A4GALT	9.276551371	3.3612842976800956	-1.4650242942589913
AAAS	276.1917148	8.114740326053647	0.7739243362115121
AACS	50.718774929999995	5.692616197117008	-0.366932225612579
AADAC	436.536568	8.773259787902731	1.0840968167066474
AADACP1	22.68029778	4.565615317873994	-0.8977664355134486
AADAT	6.649667445	2.935397030697075	-1.665623544037415
AAED1	8.0675209265	3.180708169726621	-1.5500783416644608
AAGAB	367.45691735	8.525352128608843	0.9673286145930544
AAK1	147.40266065	7.213373147448743	0.3493669619469113
AAMDC	62.622210225	5.991458586621108	-0.2261730064859272
AAMP	47.987479480000005	5.614341158395206	-0.40380093538923595
AAR2	89.512160685	6.500039732180721	0.013376292495056381
AARD	1.2090304445	1.1434133018197186	-2.5096745864046226
AARS	154.3875165	7.279726795148655	0.38062051888688625
AARS2	24.807077999999997	4.689694896778251	-0.8393231046824073
AASDH	34.97942526	5.1691002358633495	-0.6135160453601205
AASDHPPT	73.37711880500001	6.216786957300191	-0.1200399858107148
AASS	8.0675209265	3.180708169726621	-1.5500783416644608
AATF	72.107584625	6.191949182778406	-0.13173894776966527
AATK	41.733504225000004	5.417295720372167	-0.4966122732808157
ABAT	39.62867789	5.344426513047925	-0.5309347559057165
ABCA1	9.276551371	3.3612842976800956	-1.4650242942589913
ABCA10	5.440637	2.68720338264015	-1.78252645112051
ABCA13	1.2090304445	1.1434133018197186	-2.5096745864046226
ABCA2	1.2090304445	1.1434133018197186	-2.5096745864046226
ABCA3	3.7315028515	2.2422984947777	-1.9920832837541542
ABCA5	98.079785295	6.6305188371679	0.07483389548376426
ABCA9	3.0225761115	2.0081197185608475	-2.102384977335904
ABCB1	81.048947535	6.3584129228886965	-0.05333204535629473
ABCB10	70.58531963	6.161591851810935	-0.14603770307289138
ABCB5	2.418060889	1.7731780972703177	-2.213045982316092
ABCB6	21.680090370000002	4.503354483672403	-0.9270922163002121
ABCB7	26.62062367	4.78767399071279	-0.7931734912495602
ABCB8	43.673415295	5.481344648181114	-0.46644427375689584
ABCB9	6.045152225	2.816630879264504	-1.72156417134289
ABCC1	12.69481967	3.775558364004068	-1.2698950350633673
ABCC10	36.979840077	5.247161925582652	-0.5767478261431971
ABCC11	0.6045152225	0.6821374769497811	-2.7269423743460783
ABCC13	29.53878826	4.932570913866561	-0.7249248810345774
ABCC2	196.64307835	7.626753621254111	0.5440753257489975
ABCC3	1224.312554	10.258934084984084	1.7838715517458332
ABCC4	7.463005704	3.0811701390102018	-1.5969622375545238
ABCC5	33.6659833	5.1154487780136355	-0.638786681578978
ABCC6	77.33939859	6.29166614767749	-0.08477077121289782
ABCC6P1	47.509329665	5.6001903384138645	-0.41046618249116396
ABCC8	1.813545667	1.4923893801432035	-2.34530165269797
ABCC9	1.2090304445	1.1434133018197186	-2.5096745864046226
ABCD1	82.92835487	6.391086396843846	-0.03794235218822166
ABCD3	530.53306605	9.054015632692938	1.2163370037279428
ABCD4	52.219086035	5.733871829146493	-0.3475002080909578
ABCE1	101.706876645	6.682388968991783	0.09926550059722211
ABCF1	208.62897125	7.711694304504895	0.5840836534373978
ABCF2	48.80081774	5.638097526734069	-0.39261133185871805
ABCF3	64.122521335	6.025084652094156	-0.21033462851638213
ABCG1	56.07695429500001	5.834836447557854	-0.29994436813603553
ABCG2	1143.4285215	10.160411642795712	1.7374660131878714
ABCG5	11.590200742	3.6542293808973563	-1.3270427942814322
ABCG8	1.813545667	1.4923893801432035	-2.34530165269797
ABHD10	93.05679437	6.555460258198364	0.039480186185562316
ABHD11	169.50039705	7.413631288680473	0.4436915309289378
ABHD11-AS1	42.86007704	5.454836440987522	-0.47893003439884885
ABHD12	255.5503817	8.00309836177175	0.7213393072262922
ABHD12B	3.0225761115	2.0081197185608475	-2.102384977335904
ABHD13	85.093684965	6.42783551364994	-0.020632970497747153
ABHD14A	74.943291575	6.246850625264124	-0.10587955015863632
ABHD14B	340.44060155	8.415490812791843	0.9155822975719371
ABHD15	78.57038291	6.314159636461444	-0.07417600277352962
ABHD16A	401.68350810000004	8.653502577703899	1.0276893859524414
ABHD17A	83.88465452	6.407431861281575	-0.03024339484038676
ABHD17B	61.682506565	5.969990966730262	-0.23628457538804162
ABHD17C	463.12987985	8.858384768394219	1.1241919511420146
ABHD18	14.508365335	3.954974721469322	-1.1853872568419952
ABHD2	735.2656192	9.524082524494888	1.4377455152082967
ABHD3	92.22150221499999	6.542590856215934	0.033418506058188836
ABHD4	666.2411143500001	9.382064377899859	1.3708528516551013
ABHD5	133.2680336	7.06897206001919	0.28135189774751207
ABHD6	63.83124067	6.018617276803774	-0.21338085866192433
ABHD8	6.8584904820000006	2.9742522153743445	-1.6473221729927316
ABI1	159.05336513	7.322409199712426	0.40072456753545266
ABI2	43.255769224999995	5.467793633467435	-0.4728270036388125
ABL1	110.50527819999999	6.800968192769942	0.15511808219167225
ABL2	21.075575145000002	4.46437912044084	-0.9454501932349979
ABLIM1	408.20681015	8.676686344847893	1.038609285786658
ABLIM2	0.6045152225	0.6821374769497811	-2.7269423743460783
ABLIM3	1.2090304445	1.1434133018197186	-2.5096745864046226
ABR	144.64941128499999	7.1863560598906275	0.33664151106938606
ABRACL	392.07176835	8.61864893836481	1.0112728023973674
ABT1	128.37140805	7.015374997040672	0.25610688232363854
ABTB1	57.764134559999995	5.876864000300992	-0.2801487644542922
ABTB2	53.241247335	5.76131845004539	-0.3345724406085576
ACAA1	327.8887432	8.361455819998946	0.8901310106789911
ACAA2	475.3738615	8.895950444876684	1.1418859446093093
ACACA	52.427909075	5.739521652640322	-0.3448390570256273
ACACB	24.807077999999997	4.689694896778251	-0.8393231046824073
ACAD10	21.262444297	4.47654009644256	-0.9397221923022635
ACAD8	55.346073669999996	5.816243178325264	-0.30870207504145125
ACAD9	21.471267335	4.490009586844446	-0.9333778615861641
ACADM	85.571834765	6.435825830531741	-0.016869412166136088
ACADS	86.115846265	6.4448632620304735	-0.012612647244723217
ACADSB	135.5211792	7.092980970638564	0.29266045245580685
ACADVL	445.97803465000004	8.804060126149448	1.0986042350405687
ACAP2	91.847763925	6.53679526069524	0.030688694195753475
ACAP3	12.194715962	3.7218883894981456	-1.295174392903254
ACAT1	60.286606965	5.937499929386451	-0.25158833819330784
ACAT2	37.606309185	5.2707647321763424	-0.5656305524831974
ACBD3	270.25097405	8.083484507993894	0.7592023800976015
ACBD4	90.84755652	6.52116943578447	0.02332869778995716
ACBD5	152.6564285	7.26356431577532	0.3730077502314209
ACBD6	38.710928115	5.311464174492139	-0.5464605086056599
ACBD7	10.381170297	3.50857700884726	-1.3956472321850948
ACCS	31.748026109999998	5.033336045594371	-0.6774630022805723
ACD	17.239660775	4.189006993097463	-1.0751545691048974
ACE	211.6295935	7.732198592967734	0.5937414788803217
ACE2	1365.087501	10.415834179136207	1.857773834385184
ACER2	12.194715962	3.7218883894981456	-1.295174392903254
ACER3	137.8348286	7.117225722715374	0.30408009200531677
ACHE	197.28614340000001	7.631440052683968	0.546282704794694
ACIN1	663.24585005	9.37557349912056	1.3677955510160051
ACKR2	0.6045152225	0.6821374769497811	-2.7269423743460783
ACKR4	60.391018485	5.93995569942496	-0.25043163390664774
ACLY	348.77744925	8.450293469017344	0.9319748673207067
ACMSD	14.926011408499999	3.99331309108594	-1.1673293133930118
ACO1	305.81296065000004	8.261215617434809	0.8429163813841339
ACO2	11.590200742	3.6542293808973563	-1.3270427942814322
ACOT11	76.339191185	6.273127771649807	-0.09350262260072487
ACOT13	114.027958	6.845840746298997	0.17625372364283903
ACOT2	5.5450485185	2.710403886920691	-1.7715986678455449
ACOT4	69.16746615	6.132730360407986	-0.15963189564862038
ACOT7	339.039344	8.409557871754746	0.9127877939244058
ACOT8	76.00400272	6.266861534905355	-0.09645411349355101
ACOT9	49.114052295	5.647143295786507	-0.38835063982525486
ACOX1	288.38643075	8.176853465657356	0.8031805506415696
ACOX2	91.68284867	6.534230481978782	0.029480645197214966
ACOX3	39.62867789	5.344426513047925	-0.5309347559057165
ACP1	302.87284220000004	8.247323933492615	0.8363731912185677
ACP2	101.728830535	6.682697316248319	0.0994107367503725
ACP6	52.010263005	5.728199793299746	-0.3501718215055453
ACP7	1.813545667	1.4923893801432035	-2.34530165269797
ACPP	13.612569445	3.8691379759467095	-1.2258176432145091
ACR	9.380962887	3.3758683620776053	-1.4581549825803746
ACRBP	0.6045152225	0.6821374769497811	-2.7269423743460783
ACRC	7.56741722	3.098860347220383	-1.588629885849048
ACSF2	32.979010445	5.086571933081096	-0.6523881058959585
ACSF3	94.80983629	6.582101872334552	0.05202878348565156
ACSL1	89.13842238000001	6.494070294835598	0.0105645985425378
