Gene	mean_expression	Log2_mean_expression	zscore
RP11-34P13.7	0.013908896	0.01992802591735166	-0.09686470952806994
FO538757.2	0.13552518	0.18335969781790035	0.1590685792701804
AP006222.2	0.064876031	0.09068548690968417	0.013941167253276083
RP4-669L17.10	0.011107884	0.015936939286424364	-0.10311473386823286
RP11-206L10.4	0.004233933	0.006095379514671154	-0.118526573752133
RP11-206L10.9	0.049624632	0.06987348182098668	-0.01865034237820794
LINC00115	0.004982348	0.007170161427573965	-0.11684346994176827
FAM41C	0.007086487	0.010187585040958898	-0.1121181976607563
SAMD11	0.008242851	0.011843176273506483	-0.10952554897691189
NOC2L	0.373614743	0.457977428974266	0.5891187542444134
KLHL17	0.017655571	0.025249358967124484	-0.08853152507011537
PLEKHN1	0.05685638	0.07977933704254424	-0.003137816098997589
RP11-54O7.17	0.005136977	0.007392120879575905	-0.11649588240337927
HES4	0.560207	0.641737450921974	0.8768861509784712
ISG15	3.301161792	2.1047264005515505	3.1679204957904226
AGRN	0.359370607	0.44293883358146924	0.5655683791364184
RNF223	0.084312068	0.11678002805956691	0.0548051054269903
C1orf159	0.092758109	0.1279740839306556	0.07233494833175147
LINC01342	0.001626791	0.0023450563667193973	-0.12439956352302378
RP11-465B22.8	0.13220671	0.17913737890025555	0.15245644617271392
TTLL10	0.004878729	0.007021404262927247	-0.11707642301590379
SDF4	1.184893009	1.127562634799404	1.6376862801384295
B3GALT6	0.126472055	0.17181152430304775	0.14098418967238205
FAM132A	0.113964758	0.15570359150839516	0.11575923683468922
UBE2J2	0.373341394	0.4576903044419724	0.5886691184731457
SCNN1D	0.002643023	0.003808046012314355	-0.12210852808833307
ACAP3	0.157012014	0.21040384495381553	0.20141959629612396
PUSL1	0.170514514	0.2271428235110131	0.22763276405881985
CPSF3L	0.204233143	0.2681147290479816	0.2917945902854314
CPTP	0.223943339	0.29153677172679376	0.32847340745380216
DVL1	0.204512422	0.2684492720034391	0.2923184831015474
AURKAIP1	2.45621323	1.789192226868839	2.6737953494234676
