Gene	mean_expression	Log2_mean_expression	zscore
RP11-34P13.7	0.006716	0.009656748708106313	0.03133146834424633
AL627309.1	0.033557	0.047617954655691075	0.15451558293966583
RP11-34P13.9	0.000326	0.0004702419380579092	0.001521253561930159
AP006222.2	0.089295	0.1233947138368181	0.40041116906846624
RP4-669L17.10	0.015937	0.022810940884061468	0.07401682240413561
RP4-669L17.2	2.6e-05	3.750958344075893e-05	0.00011703705642959369
RP5-857K21.1	5.7e-05	8.223127376159432e-05	0.0002621589430469274
RP5-857K21.4	0.000995	0.0014347678869733507	0.004651140299077267
RP11-206L10.3	0.094486	0.1302535005583745	0.42266793221398746
RP11-206L10.5	0.001038	0.0014967407782971068	0.0048522423335378125
RP11-206L10.2	0.031272	0.04442489652437042	0.1441541091945604
RP11-206L10.9	0.080208	0.11130913801426913	0.3611934751118488
LINC00115	0.035326	0.050085110265067005	0.16252150297628765
FAM41C	0.035623	0.050498911309980764	0.16386428738115463
RP11-54O7.1	0.000559	0.0008062412044289807	0.002611571192770976
SAMD11	0.002634	0.0037950628312328405	0.012310297473749402
NOC2L	0.319394	0.3998754493248956	1.2975911651627714
KLHL17	0.033236	0.047169815812711555	0.15306137237890358
PLEKHN1	0.070615	0.09843977098618217	0.3194323786665121
C1orf170	0.003939	0.0056716128434229915	0.018399702327347705
RP11-54O7.17	0.042497	0.0600432320235599	0.1948356084224392
HES4	1.061759	1.043875705244887	3.3873720176010234
ISG15	1.484185	1.3127726166518734	4.259942504293374
AGRN	0.789383	0.839462215261388	2.724050235628523
RNF223	0.050571	0.07117366594865734	0.23095386688923014
C1orf159	0.098028	0.13491484391150244	0.43779399155396587
RP11-465B22.8	0.399738	0.4851568118317949	1.5743291894080675
TTLL10-AS1	0.001971	0.0028407532819837164	0.00921356295386815
TTLL10	0.045611	0.06434622371535446	0.2087988166091613
TNFRSF18	0.349695	0.43263342823822	1.4038908078544448
TNFRSF4	0.000713	0.0010282750276528264	0.003332070956709732
SDF4	0.985358	0.9893991777740443	3.210595684099011
B3GALT6	0.092383	0.12747876772688316	0.41366392408110436
FAM132A	0.005965	0.008580111102851659	0.02783777927845242
UBE2J2	0.385459	0.47036401766026065	1.5263265718166035
SCNN1D	0.007644	0.010986025592735635	0.03564497188023288
ACAP3	0.214638	0.28052640978060384	0.9103035277685047
PUSL1	0.18434	0.24408330892169353	0.7920456642376422
CPSF3L	0.31887	0.39930236625863214	1.2957315105931888
GLTPD1	0.14489	0.19520899214059487	0.6334485046150369
TAS1R3	0.000762	0.001098914987699925	0.003561297629473306
DVL1	0.210934	0.2761202354141577	0.8960054917990168
MXRA8	0.000575	0.0008293112443710717	0.0026864334731703755
AURKAIP1	1.972648	1.5717486395926987	5.100319707574459
CCNL2	0.45662	0.5426245592012557	1.760812031583177
RP4-758J18.2	0.070577	0.09838856361051526	0.3192662107307254
MRPL20	2.092578	1.6288099828472642	5.285483768382864
RP4-758J18.13	0.015517	0.022214390899856072	0.07208101768503057
ANKRD65	0.273317	0.3485916316470933	1.1311751750481334
RP4-758J18.10	0.01282	0.01837779883616801	0.05963127630743094
VWA1	0.409342	0.49502174779597014	1.6063409069484782
ATAD3C	0.032249	0.04579102089167326	0.14858718281308
ATAD3B	0.116193	0.158586503931507	0.5146085291267265
ATAD3A	0.144065	0.1941690210968015	0.6300737985424363
SSU72	1.357931	1.2375215014328957	4.015752632839686
AL645728.1	0.018248	0.026088980663041134	0.08465406159879471
C1orf233	0.040088	0.056705597397748664	0.18400498394777784
RP11-345P4.9	0.051093	0.07189032363212168	0.23327942109652938
MIB2	0.132335	0.17930084097841162	0.5818265535508528
MMP23B	0.00724	0.010407482307534029	0.033767598900009646
CDK11B	0.298014	0.3763059439084295	1.2211081192819793
RP11-345P4.10	0.005852	0.008418044135734932	0.02731187196462776
SLC35E2B	0.322238	0.40298188222814496	1.307671540039829
RP11-345P4.7	0.009499	0.01363948155026234	0.044255436552961866
CDK11A	0.363113	0.44690516433108296	1.4502025919628385
SLC35E2	0.029013	0.041261208584709885	0.13388794172239438
NADK	0.396521	0.48183726811701566	1.5635572699403224
GNB1	0.839964	0.8796775393640501	2.854548963714095
RP1-140A9.1	0.001069	0.001541417257896825	0.004997217511363578
TMEM52	0.006117	0.008798083975361	0.028545101257184024
C1orf222	0.004339	0.0062463121868275556	0.020264601716308353
PRKCZ	0.130001	0.17632404936117327	0.5721668646513249
RP5-892K4.1	0.014967	0.021432821291924878	0.06954482428062111
RP11-181G12.2	0.003254	0.004686908192325954	0.015204335700932676
C1orf86	0.427265	0.5132532245764939	1.6655020497234656
AL590822.2	0.007123	0.010239890547782966	0.03322376363389802
AL590822.1	0.003604	0.005190125928140228	0.016837277270823372
SKI	0.14067	0.1898814750410999	0.6161607114453629
MORN1	0.023107	0.032957034914043046	0.10694089787768288
RER1	1.658049	1.4103677003271842	4.576638554150397
PEX10	0.103796	0.14247356252970816	0.4623220337280008
PLCH2	0.094358	0.1300847676880151	0.4221203940439128
PANK4	0.062085	0.08689923146340818	0.28198332752126504
HES5	0.002488	0.0035849674092664915	0.011628537822298645
RP3-395M20.12	0.029038	0.041296258616049165	0.13400167907528648
TNFRSF14	0.59185	0.6707043971556209	2.176431110116089
RP3-395M20.9	0.011376	0.01631944876292402	0.05295193024950861
FAM213B	0.214712	0.2806143011367765	0.9105887352222843
MMEL1	0.114258	0.15608331905592487	0.506485694120036
TTC34	0.009684	0.013903844496376116	0.04511329432212302
ARHGEF16	0.30947	0.3889830078771266	1.2622451922930331
RP11-168F9.2	0.009604	0.01378953132922847	0.04474234809082773
