pvalue,log2FoldChange,pct.1,pct.2,padj,Gene,comparison
5.84E-52,3.820833279,1,0.01,1.19E-47,COVID19,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.18E-44,2.291985059,1,0.798,4.46E-40,NFKBIA,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.95E-43,2.062502571,1,0.683,3.98E-39,IRF1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.41E-29,2.145740212,1,0.841,2.87E-25,JUN,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
6.51E-28,-1.229816238,1,1,1.33E-23,KRT20,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.11E-25,-1.318445378,0.872,0.99,6.34E-21,TSPAN1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.17E-25,-1.303200744,0.83,0.99,6.48E-21,CEACAM5,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.94E-25,1.529793472,0.957,0.534,8.04E-21,TNFAIP3,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
5.27E-25,-0.879366339,0.979,0.981,1.08E-20,CLDN7,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.46E-23,-1.205420385,1,1,2.98E-19,ACTB,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
3.00E-23,1.309853572,0.894,0.534,6.13E-19,BHLHE41,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.97E-22,1.396545385,1,0.784,4.03E-18,IER2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
8.74E-21,-1.038725339,0.681,0.952,1.79E-16,DSG2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
8.89E-21,-1.131859299,0.766,0.942,1.82E-16,TMBIM6,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.35E-20,1.55240504,0.979,0.697,4.81E-16,PPP1R15A,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
2.96E-20,-1.191395814,0.957,0.971,6.04E-16,CD63,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
8.19E-20,0.930202383,0.745,0.471,1.67E-15,RBBP6,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
1.58E-19,-1.266101084,0.872,0.995,3.23E-15,ANXA2,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
4.16E-19,-1.085821727,0.723,0.966,8.49E-15,CYBA,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
6.51E-19,-0.913540278,0.851,0.995,1.33E-14,OAZ1,Colon_24h_Inmature Enterocyte 2_Infected_v_Colon_Mock_Inmature Enterocyte 2_Non-Infected
