	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
XIST	0.000000	-2.575559544	0.078	0.708	0.000000
MT-ATP6	0.000000	-2.450250272	0.433	1	0.000000
MT-CO3	0.000000	-2.498648231	0.506	1	0.000000
MT-CYB	0.000000	-2.024001698	0.625	1	0.000000
MT-ND1	0.000000	-1.827163982	0.582	1	0.000000
S100P	0.000000	2.313751605	0.962	0.694	0.000000
MT-ND4	0.000000	-1.484910786	0.627	0.994	0.000000
MT-ND3	0.000000	-1.490399111	0.516	0.997	0.000000
MT-ND2	0.000000	-1.49509431	0.625	0.989	0.000000
TSIX	0.000000	-0.310568787	0.02	0.248	0.000000
MT-ND6	0.000000	-1.103557754	0.288	0.827	0.000000
IFI27	0.000000	1.688690497	0.953	0.856	0.000000
MT-CO1	0.000000	-1.353287667	0.817	1	0.000000
MT-CO2	0.000000	-1.340075049	0.724	1	0.000000
CALML3	0.000000	-0.689087587	0.021	0.242	0.000000
LYPD2	0.000000	2.26514366	0.935	0.704	0.000000
IFITM1	0.000000	1.310057414	0.839	0.307	0.000000
AGR2	0.000000	2.121171968	0.97	0.915	0.000000
SMIM22	0.000000	1.193426294	0.876	0.565	0.000000
KRT5	0.000000	-2.709870642	0.083	0.403	0.000000
RPS4Y1	0.000000	0.901899927	0.791	0.124	0.000000
RARRES3	0.000000	1.573284304	0.937	0.779	0.000000
C19orf33	0.000000	1.078010556	0.944	0.844	0.000000
IGFBP7	0.000000	-0.418488111	0.039	0.286	0.000000
LYNX1	0.000000	2.367946397	0.836	0.437	0.000000
TMSB10	0.000000	1.081526466	0.966	0.972	0.000000
EIF1AY	0.000000	0.504520935	0.667	0.082	0.000000
SEC61G	0.000000	1.045828426	0.926	0.739	0.000000
FLNA	0.000000	-0.524456518	0.026	0.227	0.000000
LCN2	0.000000	1.539106903	0.961	0.766	0.000000
FBP1	0.000000	0.986196002	0.878	0.455	0.000000
IFITM3	0.000000	1.290857128	0.922	0.762	0.000000
ATP5E	0.000000	0.845364538	0.949	0.917	0.000000
CDC42EP5	0.000000	0.920316047	0.906	0.603	0.000000
S100A14	0.000000	1.000339631	0.956	0.839	0.000000
PSMB10	0.000000	0.741555968	0.831	0.421	0.000000
IFI6	0.000000	1.628134978	0.825	0.369	0.000000
ROMO1	0.000000	0.767689964	0.917	0.746	0.000000
SERF2	0.000000	0.763330886	0.956	0.966	0.000000
GSTP1	0.000000	0.899019667	0.966	0.982	0.000000
TSPAN1	0.000000	1.047809404	0.963	0.928	0.000000
PSME1	0.000000	0.780539868	0.941	0.83	0.000000
DHRS9	0.000000	1.007889457	0.916	0.546	0.000000
COX17	0.000000	0.771958302	0.907	0.645	0.000000
ALPL	0.000000	0.890480688	0.763	0.234	0.000000
ATP5I	0.000000	0.754524931	0.945	0.868	0.000000
TUBB2A	0.000000	0.798577689	0.791	0.337	0.000000
MUC5AC	0.000000	2.387598122	0.738	0.268	0.000000
VSIG2	0.000000	0.92639333	0.901	0.608	0.000000
RP11-350J20.12	0.000000	0.902455982	0.706	0.224	0.000000
S100A13	0.000000	0.963199157	0.937	0.808	0.000000
BPIFB1	0.000000	2.048486932	0.847	0.528	0.000000
MIF	0.000000	0.848039341	0.887	0.725	0.000000
LY6E	0.000000	0.870740682	0.962	0.892	0.000000
S100A6	0.000000	0.801301974	0.992	0.994	0.000000
WFDC2	0.000000	0.945643375	0.986	0.985	0.000000
ISG20	0.000000	0.762420759	0.792	0.344	0.000000
VAMP8	0.000000	0.852056465	0.95	0.903	0.000000
ARPC3	0.000000	0.711649229	0.942	0.901	0.000000
NDUFB1	0.000000	0.697283775	0.921	0.787	0.000000
TMEM258	0.000000	0.742716887	0.913	0.732	0.000000
PPDPF	0.000000	0.764149881	0.962	0.968	0.000000
CLDN7	0.000000	0.654186074	0.973	0.944	0.000000
COX7A2	0.000000	0.804953348	0.935	0.899	0.000000
LGALS3	0.000000	1.026137014	0.964	0.961	0.000000
STARD10	0.000000	0.654927585	0.934	0.72	0.000000
FAM3D	0.000000	0.844544749	0.955	0.839	0.000000
TP63	0.000000	-0.548704693	0.055	0.273	0.000000
POMP	0.000000	0.68957654	0.938	0.817	0.000000
USMG5	0.000000	0.748402101	0.918	0.8	0.000000
MT-ND5	0.000000	-0.831318058	0.79	0.985	0.000000
S100A4	0.000000	1.540804819	0.93	0.889	0.000000
PLA2G10	0.000000	0.611716763	0.805	0.41	0.000000
GNG5	0.000000	0.697691486	0.928	0.852	0.000000
LAMTOR5	0.000000	0.739728123	0.935	0.834	0.000000
SLC9A3R2	0.000000	0.704295922	0.868	0.544	0.000000
CEACAM5	0.000000	0.979327003	0.9	0.483	0.000000
UQCR10	0.000000	0.682350394	0.927	0.834	0.000000
