viral_protein	human_protein
A0A663DJA2	P50991
A0A663DJA2	P08865
A0A663DJA2	P48643
A0A663DJA2	Q14257
A0A663DJA2	Q00325
A0A663DJA2	Q9Y5A9
A0A663DJA2	P57678
A0A663DJA2	P53618
A0A663DJA2	P53621
A0A663DJA2	O15027
A0A663DJA2	O43592
A0A663DJA2	P12268
A0A663DJA2	P05023
A0A663DJA2	Q9UBF2
A0A663DJA2	P16615
A0A663DJA2	Q9P035
A0A663DJA2	Q96CS3
A0A663DJA2	O14980
A0A663DJA2	Q16891
A0A663DJA2	O95347
A0A663DJA2	Q9C0D3
A0A663DJA2	Q15370
A0A663DJA2	Q15369
A0A663DJA2	P62877
A0A663DJA2	Q9Y5J9
A0A663DJA2	Q9BU02
A0A663DJA2	Q3KQU3
A0A663DJA2	Q13617
A0A663DJA2	P50897
EBI-25475912	Q9UJZ1
P0DTC1-PRO_0000449636	P24468
P0DTC1-PRO_0000449636	Q14165
P0DTC1-PRO_0000449636	P56270-2
P0DTC1-PRO_0000449636	P11021
P0DTC1-PRO_0000449636	P85037-1
P0DTC1-PRO_0000449636	Q5VV42
P0DTC1-PRO_0000449638	Q8N4V1
P0DTC1-PRO_0000449638	Q9P0T4
P0DTC1-PRO_0000449638	Q9BQB6-1
P0DTC1-PRO_0000449638	P57088
P0DTC1-PRO_0000449638	Q99805
P0DTC1-PRO_0000449638	Q9BVV7
P0DTC1-PRO_0000449638	O15260-1
P0DTC1-PRO_0000449638	Q8TCJ2
P0DTC1-PRO_0000449638	Q92504
P0DTC1-PRO_0000449638	P62979
P0DTC1-PRO_0000449638	Q99942
P0DTC1-PRO_0000449638	Q96AA3
P0DTC1-PRO_0000449638	P78527
P0DTC1-PRO_0000449638	Q8NC67
P0DTC1-PRO_0000449638	Q9H0U3
P0DTC1-PRO_0000449638	P36776-3
P0DTC1-PRO_0000449638	P11021
P0DTC1-PRO_0000449638	Q96MM7
P0DTC1-PRO_0000449638	P30459
P0DTC1-PRO_0000449638	Q15011-1
P0DTC1-PRO_0000449638	Q7L5D6
P0DTC1-PRO_0000449638	O94905-1
P0DTC1-PRO_0000449638	O75477
P0DTC1-PRO_0000449638	P39656
P0DTC1-PRO_0000449638	Q9ULG6
P0DTC1-PRO_0000449638	P27824
P0DTC1-PRO_0000449638	O95816
P0DTC1-PRO_0000449638	P16615
P0DTC1-PRO_0000449645	Q9UM54
P0DTC1-PRO_0000449645	O43795
P0DTC1-PRO_0000449645	P61158
P0DTC1-PRO_0000449645	O75347
P0DTC2	P62269
P0DTC2	Q96N67
P0DTC2	P63244
P0DTC2	P40227
P0DTC2	P07195
P0DTC2	P08621
P0DTC2	P60660
P0DTC2	P47756
P0DTC2	P52907
P0DTC2	Q9NYL9
P0DTC2	P13797
P0DTC2	Q9ULV4
P0DTC2	P59998
P0DTC2	P61158
P0DTC2	Q9UM54
P0DTC2	P35613
P0DTC2	Q01523-PRO_0000417390
P0DTC2	Q7Z5G4
P0DTC2	Q9C0B5
P0DTC2	P09958
P0DTC2	Q9BYF1
P0DTC2	P29120
P0DTC2	Q9Y5Y6
P0DTC2	P07858
P0DTC2	P07711
P0DTC2	Q9H2X3
P0DTC2	Q9NNX6
P0DTC2	Q8IUN9-2
P0DTC2	P14635
P0DTC2	Q9NNX6-10
P0DTC3	P40939
P0DTC3	Q14257
P0DTC3	P22314
P0DTC3	P04406
P0DTC3	P57088
P0DTC3	Q8IXB1
P0DTC3	Q00325
P0DTC3	P31689
P0DTC3	P25705
P0DTC3	O43852
P0DTC3	O95757
P0DTC3	P46379
P0DTC3	P53621
P0DTC3	Q9H936
P0DTC3	O60884
P0DTC3	P26599
P0DTC3	O75746
P0DTC3	P11586
P0DTC3	Q9NZ01
P0DTC3	P53007
P0DTC3	P05023
P0DTC3	Q96CS3
P0DTC3	O43592
P0DTC3	O95347
P0DTC3	P16615
P0DTC3	Q16891
P0DTC3	O14980
P0DTC3	Q9P035
P0DTC3	Q9Y673
P0DTC3	Q9UH99
P0DTC3	Q9H270
P0DTC3	Q96S66
P0DTC3	Q96JC1
P0DTC3	Q8N6S5
P0DTC3	Q8IWR1
P0DTC3	P09601
P0DTC3	Q9NZM1
P0DTC3	Q9NV58
P0DTC3	Q86VZ4
P0DTC3	P78552
P0DTC3	O95297
P0DTC3	Q9UP95
P0DTC3	Q9UIW2
P0DTC3	Q9NZU5
P0DTC3	Q96PD2
P0DTC3	Q8WUA8
P0DTC3	Q8IY22
P0DTC3	Q6PJG9
P0DTC3	Q14574
P0DTC3	P54868
P0DTC3	P53004
P0DTC3	P10586
P0DTC3	O43291
P0DTC3	O00238
P0DTC3	Q9Y6R1
P0DTC3	Q9Y6M5
P0DTC3	Q9Y6D0
P0DTC3	Q9Y666
P0DTC3	Q9Y617
P0DTC3	Q9Y5I4
P0DTC3	Q9Y561
P0DTC3	Q9Y4P3
P0DTC3	Q9Y4D7
P0DTC3	Q9Y397
P0DTC3	Q9Y2H0
P0DTC3	Q9Y2G1
P0DTC3	Q9Y287
P0DTC3	Q9UNN8
P0DTC3	Q9UNE7
P0DTC3	Q9UN75
P0DTC3	Q9UN74
P0DTC3	Q9UN70
P0DTC3	Q9UMX0
P0DTC3	Q9UM47
P0DTC3	Q9ULT6
P0DTC3	Q9UL25
P0DTC3	Q9UL15
P0DTC3	Q9UHW9
P0DTC3	Q9UHN6
P0DTC3	Q9UGH3
P0DTC3	Q9UBN6
P0DTC3	Q9UBG0
P0DTC3	Q9P253
P0DTC3	Q9P244
P0DTC3	Q9NZV1
P0DTC3	Q9NZU0
P0DTC3	Q9NV92
P0DTC3	Q9NUQ9
P0DTC3	Q9NSU2
P0DTC3	Q9NRX4
P0DTC3	Q9NRW7
P0DTC3	Q9NQX7
P0DTC3	Q9NQS3
P0DTC3	Q9NPR2
P0DTC3	Q9HC56
P0DTC3	Q9HBJ8
P0DTC3	Q9H813
P0DTC3	Q9H4A4
P0DTC3	Q9H2G2
P0DTC3	Q9H269
P0DTC3	Q9H1Y3
P0DTC3	Q9H0X4
P0DTC3	Q9H0M0
P0DTC3	Q9GZP1
P0DTC3	Q9C0C4
P0DTC3	Q9C0B5
P0DTC3	Q9BZG1
P0DTC3	Q9BYN0
P0DTC3	Q9BY44
P0DTC3	Q9BVT8
P0DTC3	Q9BTU6
P0DTC3	Q9BT76
P0DTC3	Q9BT67
P0DTC3	Q99999
P0DTC3	Q99747
P0DTC3	Q99685
P0DTC3	Q99650
P0DTC3	Q99426
P0DTC3	Q96Q45
P0DTC3	Q96NT0
P0DTC3	Q96MC5
P0DTC3	Q96LD4
P0DTC3	Q96L92
P0DTC3	Q96KP4
P0DTC3	Q96J02
P0DTC3	Q96C19
P0DTC3	Q96A54
P0DTC3	Q969W9
P0DTC3	Q92859
P0DTC3	Q92692
P0DTC3	Q92597
P0DTC3	Q8WUM9
P0DTC3	Q8WTV0
P0DTC3	Q8TCZ2
P0DTC3	Q8TAT6
P0DTC3	Q8NHV4
P0DTC3	Q8NHP6
P0DTC3	Q8NFT2
P0DTC3	Q8NE01
P0DTC3	Q8NC67
P0DTC3	Q8NC54
P0DTC3	Q8NC42
P0DTC3	Q8NBJ7
P0DTC3	Q8NB49
P0DTC3	Q8N614
P0DTC3	Q8N4L2
P0DTC3	Q8N1G4
P0DTC3	Q8IWT6
P0DTC3	Q8IWK6
P0DTC3	Q8IUW5
P0DTC3	Q8IUR0
P0DTC3	Q86Y82
P0DTC3	Q86XS8
P0DTC3	Q86X29
P0DTC3	Q86VS8
P0DTC3	Q86VP1
P0DTC3	Q86SJ2
P0DTC3	Q7Z5G4
P0DTC3	Q7Z4F1
P0DTC3	Q7L1W4
P0DTC3	Q6UXM1
P0DTC3	Q6U841
P0DTC3	Q6PJF5
P0DTC3	Q6PIU2
P0DTC3	Q6P9B6
P0DTC3	Q6NZ63
P0DTC3	Q6ICG6
P0DTC3	Q658P3
P0DTC3	Q5W0Z9
P0DTC3	Q5VW32
P0DTC3	Q5VV43
P0DTC3	Q58FF6
P0DTC3	Q4KMQ2
P0DTC3	Q3MIR4
P0DTC3	Q3LXA3
P0DTC3	Q30201
P0DTC3	Q29983
P0DTC3	Q16739
P0DTC3	Q16719
P0DTC3	Q16658
P0DTC3	Q15904
P0DTC3	Q15836
P0DTC3	Q15813
P0DTC3	Q15691
P0DTC3	Q15382
P0DTC3	Q15257
P0DTC3	Q15181
P0DTC3	Q15075
P0DTC3	Q15036
P0DTC3	Q15025
P0DTC3	Q14914
P0DTC3	Q14789
P0DTC3	Q14596
P0DTC3	Q14344
P0DTC3	Q14114
P0DTC3	Q14019
P0DTC3	Q13873
P0DTC3	Q13772
P0DTC3	Q13641
P0DTC3	Q13637
P0DTC3	Q13636
P0DTC3	Q13596
P0DTC3	Q13443
P0DTC3	Q13332
P0DTC3	Q13145
P0DTC3	Q12959
P0DTC3	Q12913
P0DTC3	Q12907
P0DTC3	Q12864
P0DTC3	Q12846
P0DTC3	Q08345
P0DTC3	Q08334
P0DTC3	Q06124
P0DTC3	Q05639
P0DTC3	Q04941
P0DTC3	Q04771
P0DTC3	Q04760
P0DTC3	Q04721
P0DTC3	Q02297
P0DTC3	Q01973
P0DTC3	Q01518
P0DTC3	Q00688
P0DTC3	P78536
P0DTC3	P63027
P0DTC3	P62942
P0DTC3	P62820
P0DTC3	P62745
P0DTC3	P61769
P0DTC3	P61106
P0DTC3	P61020
P0DTC3	P61019
P0DTC3	P61006
P0DTC3	P60880
P0DTC3	P60520
P0DTC3	P58546
P0DTC3	P56749
P0DTC3	P54920
P0DTC3	P54753
P0DTC3	P54710
P0DTC3	P52788
P0DTC3	P51809
P0DTC3	P51798
P0DTC3	P51511
P0DTC3	P51153
P0DTC3	P51151
P0DTC3	P51149
P0DTC3	P50895
P0DTC3	P50851
P0DTC3	P50443
P0DTC3	P50148
P0DTC3	P49840
P0DTC3	P49773
P0DTC3	P49754
P0DTC3	P48960
P0DTC3	P48723
P0DTC3	P48506
P0DTC3	P48449
P0DTC3	P46531
P0DTC3	P45877
P0DTC3	P42892
P0DTC3	P41273
P0DTC3	P41227
P0DTC3	P40925
P0DTC3	P40818
P0DTC3	P40189
P0DTC3	P37235
