p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
2.61131164437778e-117	0.629718016785956	0.778	0.006	5.33360403364162e-113	COVID19	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
1.99703572010052e-97	1.59571862426866	0.852	0.004	4.07894545830532e-93	COVID19	Colon_24h_Stem Cells_v_Colon_Mock_Stem Cells
2.24957029260557e-21	0.551316324682134	0.314	0.019	4.59474732264687e-17	IFIT1	Colon_24h_Stem Cells_v_Colon_Mock_Stem Cells
5.59137311355617e-21	0.853156472851023	0.562	0.224	1.14203795844385e-16	MX1	Colon_24h_Stem Cells_v_Colon_Mock_Stem Cells
2.42042452627461e-17	0.59553429211967	0.724	0.351	4.9437170949159e-13	ZG16	Colon_24h_Stem Cells_v_Colon_Mock_Stem Cells
1.21892610255782e-16	0.787851189496244	0.905	0.799	2.48965656447435e-12	HIST1H4C	Colon_24h_Stem Cells_v_Colon_Mock_Stem Cells
2.82620141420646e-15	0.672137783576517	0.886	0.728	5.77251638851669e-11	ISG15	Colon_24h_Stem Cells_v_Colon_Mock_Stem Cells
2.83815943922014e-14	-0.698625913408601	0.433	0.739	5.79694065460713e-10	AP000769.1	Colon_24h_Stem Cells_v_Colon_Mock_Stem Cells
1.31934109002899e-12	-0.613378949061612	0.462	0.72	2.69475417638421e-08	LRRC75A	Colon_24h_Stem Cells_v_Colon_Mock_Stem Cells
4.00359354551447e-11	0.513712163685637	0.343	0.146	8.17733981671331e-07	IFIT3	Colon_24h_Stem Cells_v_Colon_Mock_Stem Cells
3.83325149849594e-08	0.583373924628105	0.648	0.459	0.000782941618567797	OLFM4	Colon_24h_Stem Cells_v_Colon_Mock_Stem Cells
1.01637765497199e-121	1.61895721845596	0.809	0.002	2.0759513602803e-117	COVID19	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
1.04692571880744e-48	1.08307552356957	0.891	0.602	2.1383457806642e-44	MX1	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
2.18319544421091e-42	0.776335898768837	0.645	0.152	4.45917669480078e-38	MX2	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
2.88859026390796e-41	0.943697735097882	0.73	0.251	5.899945614032e-37	IFIT1	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
2.84787308611608e-40	0.961689071648585	0.75	0.356	5.8167807783921e-36	IFIT3	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
9.52152845357913e-38	0.704242020142777	1	1	1.94477218664354e-33	FABP1	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
2.24831478339396e-37	0.639723637332112	0.902	0.555	4.59218294508217e-33	HIST1H4C	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
7.15373641810224e-37	0.961612102203567	0.996	0.983	1.46115066339738e-32	CKB	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
1.18563323189669e-36	-0.550778332900933	1	1	2.42165587614899e-32	CD63	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
2.08521122128406e-35	0.974305130392123	0.699	0.303	4.25904391947268e-31	IFIT2	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
9.18059184945832e-34	0.623216481217913	0.766	0.361	1.87513588525186e-29	XAF1	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
5.25197088515832e-32	0.802044792026507	1	1	1.07271505329359e-27	TFF3	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
1.11979528926753e-31	0.708548498810281	1	0.998	2.28718187832892e-27	PHGR1	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
3.84377354328473e-30	0.546213339053414	1	0.998	7.85090746215907e-26	GAPDH	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
7.98715320855391e-30	0.608719032273421	0.664	0.269	1.63137604284714e-25	EPSTI1	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
1.63497619499044e-29	0.545036704926816	0.441	0.067	3.33943887826797e-25	HERC5	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
8.21515294251947e-28	0.593468051696404	0.984	0.943	1.6779449885096e-23	LDHA	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
9.15422220005658e-28	0.580046603355066	0.996	0.98	1.86974988436156e-23	ALDOA	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
1.7016776104994e-26	0.825471289788714	0.969	0.813	3.47567651944503e-22	ISG15	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
1.94811659322514e-26	0.54550558314704	0.863	0.647	3.97902814166236e-22	TMEM141	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
3.10449607255438e-26	-0.704402859185993	0.93	0.965	6.34093322819233e-22	COPB1	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
3.25120633511276e-25	0.525686790936382	0.996	0.973	6.6405889394678e-21	CSTB	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
1.39925382460225e-23	-0.516516179462734	0.988	1	2.85797593675009e-19	SPTBN1	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
2.4969020092821e-23	0.601685304079592	0.777	0.43	5.09992235395869e-19	ADIRF	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
1.10680295211334e-22	-0.614166708253928	0.977	0.99	2.26064502969149e-18	LAMB3	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
1.79515403127286e-22	-0.660513247081613	0.969	0.98	3.66660210887482e-18	ABCB1	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
2.98702131629534e-22	0.544936942685616	0.812	0.557	6.10099103853323e-18	DDX60	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
4.0355038268168e-22	0.565624265615376	0.867	0.719	8.24251656627332e-18	C4orf3	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
3.86588569047403e-18	0.774958033910983	0.719	0.463	7.89607152279321e-14	RSAD2	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
4.36044468905959e-18	0.560904558050417	0.836	0.652	8.90620827740422e-14	PRDX6	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
4.48243067529683e-18	0.504152573749424	0.965	0.915	9.15536465429377e-14	FDPS	Colon_24h_Enterocyte 2_v_Colon_Mock_Enterocyte 2
