p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
2.61131164437778e-117	0.629718016785956	0.778	0.006	5.33360403364162e-113	COVID19	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
1.45965744266057e-24	0.392064099653383	0.966	0.951	2.98135032663422e-20	TMEM141	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
3.95632164753334e-23	0.303712277953488	1	1	8.08078696508685e-19	ACTB	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
9.38406465033255e-18	-0.3209587658329	0.992	0.991	1.91669520483042e-13	JUND	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
1.08196657612217e-16	0.286444200800238	0.923	0.794	2.20991673172953e-12	HIST1H4C	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
1.27681196540615e-16	-0.422039612824986	0.934	0.994	2.60788843934206e-12	CA4	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
2.8257412194852e-13	0.287911351870681	0.43	0.193	5.77157644079853e-09	MT2A	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
3.20362297331313e-13	0.257865771131849	0.646	0.405	6.54339992299207e-09	MX1	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
7.94822321781691e-13	-0.390528675214636	0.955	0.982	1.6234245922391e-08	DUOX2	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
1.24344642415086e-12	-0.252236856187779	0.995	0.994	2.53973932132813e-08	ATP1B3	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
2.43360838157579e-12	0.292932064754179	0.997	0.994	4.97064511936855e-08	RPS29	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
3.04712448093018e-12	0.275438382489473	0.897	0.834	6.2237517522999e-08	AKR7A3	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
4.40436248943733e-12	0.264394191753601	0.96	0.926	8.99591038467575e-08	TMEM256	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
5.27497708549626e-10	-0.350853358309655	0.604	0.748	1.07741406971261e-05	TNFSF15	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
5.23329305158173e-09	-0.420182986836991	0.644	0.77	0.000106890010578557	AP000769.1	Colon_24h_Enterocyte 1_v_Colon_Mock_Enterocyte 1
