p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
8.61213337582513e-10	2.22287648241993	1	0.006	1.75902824201228e-05	COVID19	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
5.76354860424686e-07	1.27154742269241	0.75	0.632	0.0117720480241742	PLCG2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
7.52701950542134e-05	0.351043480922246	1	0.083	1	HIST2H2BE	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
9.63629085535374e-05	0.384055097668073	0.5	0.488	1	RFX1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.000154308124283277	0.848218674490927	0.5	0.233	1	SULT1C2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.000281095412433988	0.28653398018562	0.75	0.025	1	MKRN2OS	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.000335796277108205	0.494957734289078	0.75	0.745	1	YTHDC1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.000385211396966662	0.830203359526552	0.25	0.166	1	RSAD2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.000498827603013021	0.653965687417098	1	0.945	1	USP8	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.000513121634554706	0.630019575026864	1	0.684	1	NAPG	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.000755811941047372	0.595454661208238	1	0.767	1	CENPV	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0008125315178256	0.635217875440086	1	0.577	1	HMGN2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.000828349611570189	0.32924100508316	0.5	0.497	1	TUSC2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00104347704235607	0.300709549617428	0.25	0.239	1	AC005550.3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00118489479901872	0.786970686199828	1	0.491	1	TNFAIP2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00120748854613838	0.547294890395949	0.75	0.267	1	OAS3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00153510038118277	-0.570204522281915	0	0.755	1	NME7	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00168077517027831	0.304932608139253	0.25	0.092	1	OASL	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00174808199739749	0.555479433618107	0.75	0.101	1	XAF1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00176428969033177	-1.39906947080671	1	0.994	1	CA4	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00179712527887488	0.320137206938701	0.5	0.457	1	CCDC90B	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00196132059904087	0.666734165992912	1	0.626	1	FAM107B	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00197375536992696	0.400056939614532	0.75	0.184	1	IFIT3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00200168871131489	0.451768203071591	0.5	0.472	1	LSM5	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00221789378088887	0.349744509750093	0.5	0.199	1	PLAA	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0022789510696178	0.331770314093113	0.5	0.061	1	WARS2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00229954453095591	0.277439297661772	0.25	0.353	1	RNF207	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00258224474834112	0.754604081871815	1	0.96	1	NDUFA4	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00353412939846212	0.458950171365292	0.5	0.405	1	MX1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00368973759821397	0.253986821216931	0.5	0.015	1	UNC5CL	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
