B.cell_control,CTL_control,MC_control,MoD.Ma_control,moDC_control,NKT_control,NKT.p_control,nrMa_control,pDC_control,rMa_control,Treg_control
RP11-34P13.7,0,0,0,0,0,0,0,0,0,0,0.0817728350641917
AL627309.1,0.188217579521927,0,0.20633872565203,0,0,0,0,0.109569069808664,0,0.0461552663158866,0.233249216341234
RP11-34P13.9,0,0,0,0,0,0,0,0,0,0,0
AP006222.2,0,0.186144998279567,1.2465719272002,0,0,0,0.0413744595461222,0,0,0,0
RP4-669L17.10,0,0,0,0,0,0,0,0.057757562630857,0,0,0
RP4-669L17.2,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.15,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.1,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.2,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.4,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.3,0.279513820482995,0.126900092980949,0,0.493973523019166,0,0,0,0.302948973775598,2.79485746226942,0.0461552663158866,0.0682710360129715
RP11-206L10.5,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.2,0,0.090481360839667,0,0.219490781387182,0,0,0,0,0,0,0.226971921947516
RP11-206L10.9,0.188217579521927,0.108975261532562,0,0.219490781387182,0,0,0,0,0,0,0.106849022331446
LINC00115,0.046653541470333,0.139182360346772,0,0,0,0,0,0.0448933782267116,0,0.0461552663158866,0.219721903507593
FAM41C,0.046653541470333,0,0,0,0,0,0.00932598321509541,0.62142679592344,0,0,0
RP11-54O7.1,0,0,0,0,0,0,0,0,0,0,0
SAMD11,0,0,0,0,0,0,0,0,0,0,0
NOC2L,0.500297411818575,0.40318574371402,0.937667177891016,0.438981562774364,0,0,0.428758658715072,0.315910527522784,0,0.0684302203741984,0.422378628702332
KLHL17,0.0370452693191079,0.0450856627592426,0,0,0,0,0,0,0,0,0.0815162013450173
PLEKHN1,0,0,0,0,0,0,0.00932598321509541,0,0,0,0
C1orf170,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.17,0,0,0,0,0,0,0.0254755002114466,0,0,0,0
HES4,0,0,0.20633872565203,0.493973523019166,0,0,1.45366768611212,2.09006892375568,0,0,0.049862877088008
ISG15,0.678785002960379,1.15843921918961,0.713129725043881,0,0,8.90922130017102,0.132390267349876,3.71295894916362,0,0.213789715599273,0.989345381974799
AGRN,0,0.0433500953702098,0,0,0,0,0.291620119736743,0,0,0,0
RNF223,0,0,0,0,0,0,0,0,0,0,0
C1orf159,0.0662989286093137,0.0836400133824022,0.224537452847135,0,0,0,0.141721347486572,0,0,0.0461552663158866,0
RP11-465B22.8,0,0,0,0,0,0,0.491455480072763,0,0,0,0
TTLL10-AS1,0,0,0,0,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0,0,0,0,0
TNFRSF18,0,0,0.20633872565203,0.493973523019166,0,0,0.924801121374658,0,0,0,0.791257300587549
TNFRSF4,0,0,1.84320668803583,1.41257549614449,0,0,0,0.0200644872620603,0,0.0213483625805901,0
SDF4,0.12508130284685,0.800459523014854,0.506790999391851,0.424628450106157,18.6915887850467,0,0.11967557540077,0.437222963123009,1.05932203389831,0.467947482059469,0.961994788218965
B3GALT6,0.176085467140005,0.088345742357789,0,0,0,0,0.0413744595461222,0.0624992226390504,0,0,0.262544772842659
FAM132A,0,0.0452570601013758,0,0,0,0,0,0,0,0,0.0549767723136975
UBE2J2,0.203571668420228,0.323522673658213,0.224537452847135,0.163988192850115,0,0,1.36572966379608,0.0715553265785105,1.39742873113471,0.636779669405725,0.458129488502746
SCNN1D,0,0,0,0,0,0,0,0.0208201905880246,0,0,0
ACAP3,0.111929439681225,0.217925642983262,0.44907490569427,0,0,0,0.086999264856212,0.750794235725101,0,0,0.279207704963775
PUSL1,0,0.107827477862424,0.20633872565203,0.32797638570023,0,0,0.628403125065735,0.0245652563752982,0,0,0.0914149148313933
CPSF3L,0.112232139923457,0.335467522561057,0.6232859636001,0.163988192850115,0,0,0.764511270532772,0.0845271746470346,0,0.30914628366718,0.089903802930864
GLTPD1,0,0.0634195839675292,0,0,0,0,0.043499632428106,0,0,0,0.144485233560056
TAS1R3,0,0,0,0,0,0,0,0,0,0,0
DVL1,0,0.094732853353543,0,0.212314225053079,0,0,0.359060115801287,0.0322313436924872,0,0.0461552663158866,0.0461424880029531
MXRA8,0,0,0,0,0,0,0,0,0,0,0
AURKAIP1,0.678931111278728,0.600199349221103,1.05416214209927,0.212314225053079,0,4.83091787439614,2.06654551099688,2.67419817494368,0,2.10710574039768,1.53113183083245
CCNL2,0.448352386934428,1.2163997739569,1.03596341490416,0.212314225053079,0,0,0.0509510004228933,0.424297925873807,1.58898305084746,0.349244850395268,0.80647439235173
RP4-758J18.2,0.242925600547717,0.238475743285378,0,0,0,4.07830342577488,0,0,0,0,0.121850900619457
MRPL20,0.630299428101823,0.717766786746877,0.861752356998331,1.57506537281805,0,0,2.42512436490434,1.22785714632025,0,1.92641489795603,1.0281126825423
RP4-758J18.13,0.0499720156712241,0,0,0,0,0,0,0,0,0,0.0458610410456317
ANKRD65,0,0,0,0.219490781387182,0,0,0.645671430697859,0.272131058317686,0,0.793545696571052,0
RP4-758J18.10,0,0,0,0,0,0,0,0,0,0,0
VWA1,0,0,0,0,0,0,0.00932598321509541,0,0,0,0
ATAD3C,0,0,0,0,0,0,0,0,0,0.587889476778366,0.215061748115419
ATAD3B,0.0370452693191079,0.0581260172053011,0,0.706287748072245,0,0,0,0.123826426825649,0.529661016949152,0,0
ATAD3A,0.189709762377983,0.0696184906711222,0,0,0,0,0.194546963129773,0.680987290450309,0,0.0888519914770668,0.25035720751064
SSU72,0.724725955622488,1.36677607973805,0,0.163988192850115,0,0,0.555206157163676,0.51918773590551,0,2.05174013118415,1.0873593194275
