p_val	avg_logFC	pct.1	pct.2	p_val_adj
XIST	0	-2.67511205544374	0.076	0.708	0
MT-ATP6	0	-2.55106784576403	0.404	1	0
MT-CO3	0	-2.58115377808141	0.481	1	0
MT-CYB	0	-2.07008816580498	0.64	1	0
MT-ND1	2.2198385689066e-291	-1.89243567191229	0.58	1	5.97669336292412e-287
S100P	1.80362845791104e-278	2.38792177636767	0.97	0.694	4.85608926007968e-274
LYPD2	1.29920751600446e-246	2.43296440293745	0.959	0.704	3.4979863160904e-242
MT-ND4	1.31814719361909e-238	-1.55409752727842	0.625	0.994	3.54897950410003e-234
IFI27	1.12559794037525e-229	1.71869649483216	0.961	0.856	3.03055989466632e-225
MT-CO1	1.69709978174062e-225	-1.49255260842076	0.838	1	4.56927145235846e-221
MT-ND3	8.60527551639192e-217	-1.44682045339919	0.534	0.997	2.31688438003336e-212
MT-ND6	1.45346622392285e-214	-1.18531094869023	0.294	0.827	3.91331246128988e-210
RARRES3	2.3593149292155e-213	1.74329397509728	0.951	0.779	6.3522195154198e-209
MT-ND2	3.92164182373444e-211	-1.45636374395042	0.645	0.989	1.05586284462226e-206
SMIM22	1.23939095260798e-209	1.27839602463223	0.908	0.565	3.33693620080173e-205
LYNX1	3.46435189162849e-206	2.57901434015868	0.88	0.437	9.32742103302056e-202
IFITM1	1.67538730254055e-204	1.36365402953863	0.852	0.307	4.51081277336018e-200
TSIX	1.41449544253844e-202	-0.31130389449703	0.017	0.248	3.80838752949051e-198
FLNA	3.07532254205475e-202	-0.545114924543504	0.013	0.227	8.27999841222822e-198
MT-CO2	2.6382843621482e-200	-1.32181810881386	0.761	1	7.10331681664782e-196
CALML3	6.76470270904524e-194	-0.688383860657796	0.018	0.242	1.82132855738334e-189
PSCA	1.50043709563859e-192	1.95732037818773	0.968	0.763	4.03977683629735e-188
IGFBP7	1.57375568927017e-189	-0.460934607845982	0.028	0.286	4.237179817791e-185
KRT5	2.88734615427641e-186	-2.83054906392707	0.073	0.403	7.7738907857738e-182
C19orf33	7.28463913838493e-185	1.09934391571326	0.953	0.844	1.96131624161876e-180
TMSB10	1.29479556132977e-172	1.15620803804435	0.975	0.972	3.48610756932428e-168
FBP1	3.05102636068305e-172	1.06683493196745	0.902	0.455	8.21458337350304e-168
RPS4Y1	1.81757654329819e-170	0.866400881362845	0.794	0.124	4.89364308517605e-166
SEC61G	1.61135643469088e-169	1.12253355658531	0.937	0.739	4.33841606476172e-165
LCN2	3.77570789192155e-168	1.63618804544859	0.971	0.766	1.01657159282096e-163
IFITM3	8.38836186821889e-163	1.35567209886832	0.93	0.762	2.25848254939925e-158
AGR2	1.02033325804429e-162	2.11908918691167	0.971	0.915	2.74714526395846e-158
S100A4	1.30090737090785e-159	1.72412386963201	0.954	0.889	3.50256300543229e-155
S100A14	2.85349232601947e-159	1.07652696373492	0.961	0.839	7.68274273857483e-155
EIF1AY	1.5945951498128e-156	0.508574506247849	0.673	0.082	4.29328798135597e-152
PSMB10	6.69409915734043e-156	0.780594274536028	0.851	0.421	1.80231925712234e-151
TSPAN1	2.10288315905734e-155	1.10524685311214	0.971	0.928	5.66180261744599e-151
ALPL	3.0707740015567e-155	0.99722509516544	0.797	0.234	8.26775192179126e-151
GSTP1	9.88447463321566e-152	0.924637039858419	0.976	0.982	2.66129595024699e-147
ROMO1	1.69647628464901e-150	0.786795248918482	0.927	0.746	4.56759274878898e-146
LGALS3	2.44069636168814e-150	1.16343426615507	0.975	0.961	6.57133088420916e-146
IFI6	5.31307586425538e-150	1.71201452398469	0.842	0.369	1.43049254569212e-145
MUC5AC	2.9361203519303e-149	2.55627002933543	0.769	0.268	7.90521043553714e-145
ATP5E	3.78711227556452e-149	0.845736787472376	0.954	0.917	1.01964210907299e-144
PSME1	5.50158778808337e-149	0.827285509643306	0.95	0.83	1.48124749606357e-144
RP11-350J20.12	7.95214580047465e-149	0.983335262056691	0.747	0.224	2.14103573531979e-144
TUBB2A	1.79114657913206e-147	0.86369764708691	0.811	0.337	4.82248304965516e-143
CDC42EP5	4.85221912862958e-146	0.934032529460765	0.908	0.603	1.30641147819223e-141
VSIG2	4.13054099667631e-145	0.986823893099716	0.913	0.608	1.11210685794513e-140
LY6E	8.39849294534892e-145	0.957436522523507	0.966	0.892	2.26121024060574e-140
S100A13	1.24590671610394e-142	1.04327798959695	0.945	0.808	3.35447924243824e-138
VAMP8	1.60395405161348e-141	0.923127472274945	0.96	0.903	4.31848588856413e-137
DHRS9	3.16477290239797e-140	1.01417302415916	0.921	0.546	8.52083456241629e-136
COX17	3.76505632202608e-139	0.783119066693391	0.915	0.645	1.0137037641423e-134
SERF2	1.09810599770186e-138	0.739828108248035	0.963	0.966	2.95654058821249e-134
