gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	comparison
KRT5	0.00000	-2.83055	0.07300	0.40300	0.00000	ciliated_sars_vs_healthy
SCGB3A1	0.00000	-2.69658	0.24800	0.35200	0.00000	ciliated_sars_vs_healthy
XIST	0.00000	-2.67511	0.07600	0.70800	0.00000	ciliated_sars_vs_healthy
MTRNR2L8	0.00000	-2.62789	0.68300	0.79900	0.00000	ciliated_sars_vs_healthy
MT-CO3	0.00000	-2.58115	0.48100	1.00000	0.00000	ciliated_sars_vs_healthy
MT-ATP6	0.00000	-2.55107	0.40400	1.00000	0.00000	ciliated_sars_vs_healthy
MT-CYB	0.00000	-2.07009	0.64000	1.00000	0.00000	ciliated_sars_vs_healthy
DST	0.00000	-1.91407	0.32600	0.60300	0.00000	ciliated_sars_vs_healthy
MT-ND1	0.00000	-1.89244	0.58000	1.00000	0.00000	ciliated_sars_vs_healthy
HSPA1A	0.00000	-1.59207	0.84900	0.86600	0.00000	ciliated_sars_vs_healthy
MT-ND4	0.00000	-1.55410	0.62500	0.99400	0.00000	ciliated_sars_vs_healthy
JUN	0.00000	-1.53862	0.65600	0.73500	0.00000	ciliated_sars_vs_healthy
MT1X	0.00000	-1.50084	0.66800	0.61400	0.00003	ciliated_sars_vs_healthy
MT-CO1	0.00000	-1.49255	0.83800	1.00000	0.00000	ciliated_sars_vs_healthy
MT-ND2	0.00000	-1.45636	0.64500	0.98900	0.00000	ciliated_sars_vs_healthy
MT-ND3	0.00000	-1.44682	0.53400	0.99700	0.00000	ciliated_sars_vs_healthy
MIR205HG	0.00000	-1.33027	0.82200	0.81000	0.00000	ciliated_sars_vs_healthy
MT-CO2	0.00000	-1.32182	0.76100	1.00000	0.00000	ciliated_sars_vs_healthy
MT-ND6	0.00000	-1.18531	0.29400	0.82700	0.00000	ciliated_sars_vs_healthy
S100A2	0.00000	-1.16771	0.42700	0.54500	0.00000	ciliated_sars_vs_healthy
SERPINB4	0.00000	-1.13366	0.42600	0.45500	0.00001	ciliated_sars_vs_healthy
DSP	0.00000	-1.09688	0.88500	0.92800	0.00000	ciliated_sars_vs_healthy
HSPA1B	0.00000	-1.05929	0.85200	0.81800	0.00000	ciliated_sars_vs_healthy
ATP1B3	0.00000	-1.02732	0.87600	0.90300	0.00000	ciliated_sars_vs_healthy
JUNB	0.00000	-1.00350	0.72000	0.79000	0.00000	ciliated_sars_vs_healthy
ZFP36L1	0.00000	-0.99321	0.92400	0.92700	0.00000	ciliated_sars_vs_healthy
FOS	0.00000	-0.99027	0.41400	0.53100	0.00000	ciliated_sars_vs_healthy
SPARCL1	0.00000	-0.97927	0.26300	0.51700	0.00000	ciliated_sars_vs_healthy
CLCA4	0.00000	-0.96280	0.21100	0.38900	0.00000	ciliated_sars_vs_healthy
