ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007229	integrin-mediated signaling pathway	17/56	48/1561	3.91282599238477e-14	8.23649871396993e-11	6.58590395981394e-11	ITGAM/ITGA4/ITGB1/ITGB7/ITGAV/ITGA5/ITGA2B/ITGB8/ITGA6/ITGB4/ITGA1/ITGA2/ITGA3/ITGB5/ITGB6/ITGA9/ITGA7	17
GO:0031589	cell-substrate adhesion	18/56	117/1561	2.97875621417614e-08	2.10077844129426e-05	1.67978233660684e-05	LYPD3/AGR2/ITGA4/ITGB1/ITGB7/ITGAV/ITGA5/AXL/ITGA2B/ITGA6/ITGB4/LRP1/ITGA1/ITGA2/ITGA3/ITGB5/ITGB6/ITGA7	18
GO:0007160	cell-matrix adhesion	15/56	79/1561	2.99398352678518e-08	2.10077844129426e-05	1.67978233660684e-05	LYPD3/ITGA4/ITGB1/ITGB7/ITGAV/ITGA2B/ITGA6/ITGB4/LRP1/ITGA1/ITGA2/ITGA3/ITGB5/ITGB6/ITGA7	15
GO:0051701	interaction with host	13/56	61/1561	6.99515396577902e-08	3.20951216921006e-05	2.56632577000469e-05	HSPA1A/EGFR/INSR/ITGB1/ITGB7/ITGAV/ITGA5/AXL/ITGA2/ITGB5/ITGB6/CAV1/MET	13
GO:0033627	cell adhesion mediated by integrin	10/56	33/1561	7.62354434491701e-08	3.20951216921006e-05	2.56632577000469e-05	ITGA4/ITGB1/ITGB7/ITGAV/ITGA5/ITGB8/ITGB4/ITGA2/ITGB5/ITGB6	10
GO:0007155	cell adhesion	33/56	412/1561	1.67548388218884e-07	5.3489732256995e-05	4.27703872378723e-05	EGFR/LYPD3/TNC/SEMA5A/IL6ST/AKT1/EZR/ITGAM/AGR2/ITGA4/NT5E/ITGB1/ITGB7/ITGAV/PTPRS/NOD2/CD33/ITGA5/CD5/AXL/ITGA2B/ITGB8/ITGA6/ITGB4/LRP1/ITGA1/ITGA2/ITGA3/ITGB5/ITGB6/CAV1/ITGA9/ITGA7	33
GO:0022610	biological adhesion	33/56	416/1561	2.16177404889114e-07	5.3489732256995e-05	4.27703872378723e-05	EGFR/LYPD3/TNC/SEMA5A/IL6ST/AKT1/EZR/ITGAM/AGR2/ITGA4/NT5E/ITGB1/ITGB7/ITGAV/PTPRS/NOD2/CD33/ITGA5/CD5/AXL/ITGA2B/ITGB8/ITGA6/ITGB4/LRP1/ITGA1/ITGA2/ITGA3/ITGB5/ITGB6/CAV1/ITGA9/ITGA7	33
GO:0044409	entry into host	12/56	56/1561	2.28697192547722e-07	5.3489732256995e-05	4.27703872378723e-05	HSPA1A/EGFR/ITGB1/ITGB7/ITGAV/ITGA5/AXL/ITGA2/ITGB5/ITGB6/CAV1/MET	12
GO:0052126	movement in host environment	12/56	56/1561	2.28697192547722e-07	5.3489732256995e-05	4.27703872378723e-05	HSPA1A/EGFR/ITGB1/ITGB7/ITGAV/ITGA5/AXL/ITGA2/ITGB5/ITGB6/CAV1/MET	12
GO:0030198	extracellular matrix organization	19/56	154/1561	4.53312166801604e-07	8.67474646470342e-05	6.93632683938531e-05	TNC/ITGAM/ITGA4/ITGB1/ITGB7/ITGAV/ITGA5/ITGA2B/ITGB8/ITGA6/ITGB4/LRP1/ITGA1/ITGA2/ITGA3/ITGB5/ITGB6/ITGA9/ITGA7	19
GO:0043062	extracellular structure organization	19/56	154/1561	4.53312166801604e-07	8.67474646470342e-05	6.93632683938531e-05	TNC/ITGAM/ITGA4/ITGB1/ITGB7/ITGAV/ITGA5/ITGA2B/ITGB8/ITGA6/ITGB4/LRP1/ITGA1/ITGA2/ITGA3/ITGB5/ITGB6/ITGA9/ITGA7	19
GO:1903078	positive regulation of protein localization to plasma membrane	7/56	17/1561	7.71082697733854e-07	0.000124856082979213	9.98349177065937e-05	EGFR/AKT1/EZR/AGR2/ITGB1/LRP1/ITGA3	7
GO:1904377	positive regulation of protein localization to cell periphery	7/56	17/1561	7.71082697733854e-07	0.000124856082979213	9.98349177065937e-05	EGFR/AKT1/EZR/AGR2/ITGB1/LRP1/ITGA3	7
GO:1905477	positive regulation of protein localization to membrane	8/56	25/1561	1.11317012581121e-06	0.00015673966429979	0.000125329027736149	EGFR/AKT1/EZR/ITGAM/AGR2/ITGB1/LRP1/ITGA3	8
GO:0046718	viral entry into host cell	11/56	53/1561	1.11690972185124e-06	0.00015673966429979	0.000125329027736149	HSPA1A/EGFR/ITGB1/ITGB7/ITGAV/ITGA5/AXL/ITGA2/ITGB5/ITGB6/CAV1	11
GO:1903076	regulation of protein localization to plasma membrane	7/56	20/1561	2.82582599909257e-06	0.000371772733005616	0.00029726945872033	EGFR/AKT1/EZR/AGR2/ITGB1/LRP1/ITGA3	7
GO:0002221	pattern recognition receptor signaling pathway	10/56	48/1561	3.55993773545877e-06	0.000440804054890629	0.000352466900247589	HSPA1A/RIPK1/ESR1/ITGAM/PTPRS/NOD2/TLR3/MARCO/TLR4/CAV1	10
GO:0009968	negative regulation of signal transduction	21/56	227/1561	1.26541386660363e-05	0.00147983121622258	0.00118327296649076	HSPA1A/EGFR/RIPK1/AKT1/ESR1/EZR/PTPRE/ITGB1/ITGAV/PTPRS/TLR3/ITGA6/GPRC5A/PPARG/LRP1/ITGA1/ITGA3/TLR4/CAV1/MET/ENPP1	21
GO:0010608	posttranscriptional regulation of gene expression	8/56	34/1561	1.45268776357636e-05	0.00160318681468785	0.00128190809685504	HSPA1A/EGFR/RIPK1/AKT1/ESR1/PPARG/ITGA2/CAV1	8
GO:1904375	regulation of protein localization to cell periphery	7/56	25/1561	1.52321787618798e-05	0.00160318681468785	0.00128190809685504	EGFR/AKT1/EZR/AGR2/ITGB1/LRP1/ITGA3	7
