ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006952	defense response	53/86	471/1561	5.10428627428659e-10	1.07292097485504e-06	9.28442808628128e-07	SLPI/HLA-A/B2M/HLA-B/DEFB4A/ANXA1/DEFB1/MIF/MDK/CXCL3/MUC2/CXCL6/LCN2/SAA1/CXCL1/HLA-F/HLA-DRB5/HLA-C/HLA-DRB1/CXCL17/S100A8/PLSCR1/CD74/CCR6/CXCR4/ITGB1/ESR1/TLR6/CCR1/CCR2/CCR7/CXCR3/CCR5/F3/AKT1/CD4/LILRB2/CX3CR1/TLR5/HFE/LRP1/SDC1/TLR4/FPR3/LILRA3/CXCR2/TLR2/KIR3DL2/KLRC3/KLRC2/IL2RA/CXCR6/CCR4	53
GO:0071345	cellular response to cytokine stimulus	43/86	370/1561	4.21255781801572e-08	2.3429729125755e-05	2.02747117678925e-05	HLA-A/B2M/HLA-B/ANXA1/MIF/CXCL3/CXCL6/LCN2/SAA1/CXCL1/HLA-F/HLA-DRB5/HLA-C/HLA-DRB1/PLA2G10/IL2RB/IL2RG/CD74/PDIA3/CANX/CCR6/CCR10/CXCR4/ITGB1/ITGA4/CCR1/CCR2/CCR7/CXCR3/CXCR5/CCR5/F3/AKT1/CD4/CX3CR1/GPR35/SDC1/TLR4/CXCR2/TLR2/IL2RA/CXCR6/CCR4	43
GO:0034097	response to cytokine	44/86	385/1561	4.37637602558113e-08	2.3429729125755e-05	2.02747117678925e-05	HLA-A/B2M/HLA-B/ANXA1/MIF/CXCL3/CXCL6/LCN2/SAA1/CXCL1/HLA-F/HLA-DRB5/HLA-C/HLA-DRB1/PLA2G10/PLSCR1/IL2RB/IL2RG/CD74/PDIA3/CANX/CCR6/CCR10/CXCR4/ITGB1/ITGA4/CCR1/CCR2/CCR7/CXCR3/CXCR5/CCR5/F3/AKT1/CD4/CX3CR1/GPR35/SDC1/TLR4/CXCR2/TLR2/IL2RA/CXCR6/CCR4	44
GO:0019882	antigen processing and presentation	14/86	47/1561	6.42810602416414e-08	2.3429729125755e-05	2.02747117678925e-05	HLA-A/HLA-DMA/B2M/HLA-B/HLA-F/HLA-DRB5/HLA-C/HLA-DRB1/CD74/PDIA3/CANX/CCR7/LILRB2/HFE	14
GO:0070098	chemokine-mediated signaling pathway	17/86	71/1561	7.80247877641697e-08	2.3429729125755e-05	2.02747117678925e-05	CXCL3/CXCL6/CXCL1/CCR6/CCR10/CXCR4/CCR1/CCR2/CCR7/CXCR3/CXCR5/CCR5/CX3CR1/GPR35/CXCR2/CXCR6/CCR4	17
GO:1990868	response to chemokine	17/86	71/1561	7.80247877641697e-08	2.3429729125755e-05	2.02747117678925e-05	CXCL3/CXCL6/CXCL1/CCR6/CCR10/CXCR4/CCR1/CCR2/CCR7/CXCR3/CXCR5/CCR5/CX3CR1/GPR35/CXCR2/CXCR6/CCR4	17
GO:1990869	cellular response to chemokine	17/86	71/1561	7.80247877641697e-08	2.3429729125755e-05	2.02747117678925e-05	CXCL3/CXCL6/CXCL1/CCR6/CCR10/CXCR4/CCR1/CCR2/CCR7/CXCR3/CXCR5/CCR5/CX3CR1/GPR35/CXCR2/CXCR6/CCR4	17
GO:0048002	antigen processing and presentation of peptide antigen	12/86	35/1561	1.07563047932673e-07	2.6889181913004e-05	2.32683190673899e-05	HLA-A/HLA-DMA/B2M/HLA-B/HLA-F/HLA-DRB5/HLA-C/HLA-DRB1/CD74/PDIA3/CANX/HFE	12
GO:0002478	antigen processing and presentation of exogenous peptide antigen	11/86	29/1561	1.15129703718856e-07	2.6889181913004e-05	2.32683190673899e-05	HLA-A/HLA-DMA/B2M/HLA-B/HLA-F/HLA-DRB5/HLA-C/HLA-DRB1/CD74/PDIA3/CANX	11
GO:0006968	cellular defense response	10/86	24/1561	1.59410938112031e-07	3.35081791911489e-05	2.8996010637641e-05	CCR6/ITGB1/CCR2/CCR5/LILRB2/CX3CR1/CXCR2/KIR3DL2/KLRC3/KLRC2	10
