ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-216083	Integrin cell surface interactions	17/51	76/1366	2.59859985974898e-10	5.6129756970578e-08	4.51335765114296e-08	3371/3684/3676/3688/3695/3685/3678/3674/3696/3655/3672/3673/3675/3693/3694/3680/3679	17
R-HSA-1474244	Extracellular matrix organization	21/51	151/1366	1.36790903005187e-08	1.47734175245602e-06	1.18792099978189e-06	3371/3684/3676/3688/3695/3685/5802/3678/3674/3696/3655/3691/3672/3673/3675/3693/3694/6382/3680/9672/3679	21
R-HSA-3000170	Syndecan interactions	9/51	22/1366	2.35635593360961e-08	1.69657627219892e-06	1.36420606682661e-06	3371/3688/3685/3655/3691/3673/3693/6382/9672	9
R-HSA-445144	Signal transduction by L1	6/51	10/1366	3.77694413260074e-07	2.0395498316044e-05	1.6399888996819e-05	1956/3688/3685/3678/3674/3680	6
R-HSA-373760	L1CAM interactions	9/51	32/1366	9.99867858479499e-07	4.31942914863144e-05	3.473225192613e-05	1956/7430/3688/3685/3678/3674/3672/3673/3680	9
R-HSA-3000157	Laminin interactions	8/51	30/1366	6.738790366555e-06	0.00024259645319598	0.000195070247452908	3688/3685/3655/3691/3672/3673/3675/3679	8
R-HSA-202733	Cell surface interactions at the vascular wall	10/51	52/1366	1.02887657267537e-05	0.000317481913854113	0.000255285164648775	3684/3676/3688/3685/3678/3655/3675/6382/857/9672	10
R-HSA-3000171	Non-integrin membrane-ECM interactions	9/51	50/1366	5.3403379682271e-05	0.00144189125142132	0.00115941547994404	3371/3688/3685/3655/3691/3673/3693/6382/9672	9
R-HSA-3000178	ECM proteoglycans	10/51	63/1366	6.08036505584986e-05	0.00145928761340397	0.00117340378270787	3371/3688/3685/5802/3674/3673/3693/3694/3680/3679	10
R-HSA-109582	Hemostasis	16/51	161/1366	0.000118738977556943	0.00256476191522996	0.00206230855756795	5327/207/2152/3684/3676/3688/3685/3678/3674/3655/3672/3673/3675/6382/857/9672	16
R-HSA-1566948	Elastic fibre formation	6/51	25/1366	0.000206871797973913	0.00406220985112411	0.00326639681011442	3688/3685/3678/3696/3693/3694	6
R-HSA-212436	Generic Transcription Pathway	10/51	80/1366	0.000481974820371981	0.00800819701541138	0.00643933970537465	1956/2908/207/2099/3676/3678/3674/5468/857/4233	10
R-HSA-73857	RNA Polymerase II Transcription	10/51	80/1366	0.000481974820371981	0.00800819701541138	0.00643933970537465	1956/2908/207/2099/3676/3678/3674/5468/857/4233	10
R-HSA-74160	Gene expression (Transcription)	10/51	81/1366	0.000534324833953496	0.00824386886671109	0.00662884192498699	1956/2908/207/2099/3676/3678/3674/5468/857/4233	10
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	14/51	148/1366	0.000613939920433355	0.00884073485424032	0.00710877802607043	1956/5327/2261/3643/207/2099/3688/3685/5802/558/3673/3675/857/4233	14
R-HSA-2129379	Molecules associated with elastic fibres	5/51	23/1366	0.00120253418993016	0.0162342115640572	0.0130538250880577	3688/3685/3696/3693/3694	5
R-HSA-8878166	Transcriptional regulation by RUNX2	4/51	14/1366	0.00131000465936871	0.0166447650837436	0.01338394853225	2908/207/2099/3678	4
R-HSA-196854	Metabolism of vitamins and cofactors	6/51	36/1366	0.00165829069162777	0.0198994882995332	0.0160010505332504	207/4907/4035/6382/9672/5167	6
R-HSA-373755	Semaphorin interactions	4/51	17/1366	0.00286547781966415	0.0309471604523728	0.0248844126444518	9037/3688/3672/4233	4
R-HSA-4420097	VEGFA-VEGFR2 Pathway	4/51	17/1366	0.00286547781966415	0.0309471604523728	0.0248844126444518	207/3685/558/857	4
R-HSA-2990846	SUMOylation	3/51	10/1366	0.00489164666962126	0.0457679083210501	0.036801680667511	2908/2099/5468	3
R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	3/51	10/1366	0.00489164666962126	0.0457679083210501	0.036801680667511	2908/2099/5468	3
R-HSA-9614085	FOXO-mediated transcription	3/51	10/1366	0.00489164666962126	0.0457679083210501	0.036801680667511	2908/207/857	3
R-HSA-1257604	PIP3 activates AKT signaling	7/51	59/1366	0.00508532314678335	0.0457679083210501	0.036801680667511	1956/2261/3643/207/2099/5468/4233	7
R-HSA-422475	Axon guidance	11/51	128/1366	0.00577696151188873	0.0499129474627187	0.0401346799773322	1956/9037/7430/3688/3685/3678/3674/3672/3673/4233/3680	11
