ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-380108	Chemokine receptors bind chemokines	16/72	57/1366	7.10853992252869e-09	1.34351404535792e-06	1.09247034598862e-06	2921/6372/2919/1235/2826/7852/1230/729230/1236/2833/643/1234/1524/3579/10663/1233	16
R-HSA-6803157	Antimicrobial peptides	9/72	18/1366	6.33886749713194e-08	5.99022978478968e-06	4.87091923463823e-06	1673/1672/3934/5266/6279/1235/729230/920/7097	9
R-HSA-1280218	Adaptive Immune System	23/72	140/1366	1.60666523619298e-07	1.01219909880158e-05	8.23063594681316e-06	3105/567/3106/3134/3127/3107/3123/972/2923/821/3688/3676/10333/207/920/915/917/7099/11026/7097/3812/3821/919	23
R-HSA-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	7/72	11/1366	2.36292601919719e-07	1.11648254407067e-05	9.07861049481026e-06	3105/567/3106/3134/3107/2923/821	7
R-HSA-1236974	ER-Phagosome pathway	9/72	22/1366	5.46523430615547e-07	2.06585856772677e-05	1.67984043936568e-05	3105/567/3106/3134/3107/2923/10333/7099/7097	9
R-HSA-983169	Class I MHC mediated antigen processing & presentation	10/72	30/1366	1.13996400045574e-06	3.59088660143557e-05	2.91990779064101e-05	3105/567/3106/3134/3107/2923/821/10333/7099/7097	10
R-HSA-1236975	Antigen processing-Cross presentation	9/72	26/1366	2.89272532805645e-06	7.3283803241604e-05	5.95902827806972e-05	3105/567/3106/3134/3107/2923/10333/7099/7097	9
R-HSA-1461973	Defensins	6/72	10/1366	3.10195992557054e-06	7.3283803241604e-05	5.95902827806972e-05	1673/1672/1235/729230/920/7097	6
R-HSA-168249	Innate Immune System	25/72	190/1366	3.50244309114489e-06	7.35513049140427e-05	5.98078001528835e-05	6590/567/3106/1673/1672/4282/3934/6288/2919/3107/5266/6279/1235/10333/729230/920/5338/7100/917/7099/11026/3579/7097/3822/919	25
R-HSA-202427	Phosphorylation of CD3 and TCR zeta chains	6/72	11/1366	6.54076071395152e-06	0.000112382161357894	9.1382876960471e-05	3127/3123/920/915/917/919	6
R-HSA-202430	Translocation of ZAP-70 to Immunological synapse	6/72	11/1366	6.54076071395152e-06	0.000112382161357894	9.1382876960471e-05	3127/3123/920/915/917/919	6
R-HSA-202433	Generation of second messenger molecules	6/72	12/1366	1.25381477223714e-05	0.00019747582662735	0.000160576277847915	3127/3123/920/915/917/919	6
R-HSA-389948	PD-1 signaling	6/72	14/1366	3.74356116046436e-05	0.000544256199482895	0.000442558647309957	3127/3123/920/915/917/919	6
R-HSA-388841	Costimulation by the CD28 family	7/72	21/1366	5.43113458887019e-05	0.000664875013794376	0.000540639108961174	3127/3123/207/920/915/917/919	7
R-HSA-877300	Interferon gamma signaling	7/72	21/1366	5.43113458887019e-05	0.000664875013794376	0.000540639108961174	3105/567/3106/3134/3127/3107/3123	7
R-HSA-418594	G alpha (i) signalling events	22/72	180/1366	5.80071821409193e-05	0.000664875013794376	0.000540639108961174	301/2921/6372/6288/2919/1235/2826/7852/1230/729230/1236/2833/643/1234/1524/4035/6382/2359/3579/9672/10663/1233	22
R-HSA-202424	Downstream TCR signaling	6/72	15/1366	5.98035726693354e-05	0.000664875013794376	0.000540639108961174	3127/3123/920/915/917/919	6
R-HSA-202403	TCR signaling	6/72	16/1366	9.17164112719958e-05	0.000963022318355956	0.000783075792146865	3127/3123/920/915/917/919	6
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	13/72	84/1366	0.00025746942941241	0.00256114327152345	0.00208257821020564	3105/567/3106/3134/3107/3688/3676/915/917/11026/3812/3821/919	13
R-HSA-162906	HIV Infection	5/72	15/1366	0.000703299765985663	0.00664618278856452	0.00540430346494246	567/7852/1234/920/919	5
R-HSA-5260271	Diseases of Immune System	4/72	12/1366	0.00254813754306181	0.0211168488874003	0.017171038360125	10333/7100/7099/7097	4
R-HSA-5602358	Diseases associated with the TLR signaling cascade	4/72	12/1366	0.00254813754306181	0.0211168488874003	0.017171038360125	10333/7100/7099/7097	4
R-HSA-375276	Peptide ligand-binding receptors	19/72	188/1366	0.00256977526142967	0.0211168488874003	0.017171038360125	301/2921/6372/6288/2919/1235/2826/7852/1230/729230/1236/2833/643/1234/1524/2359/3579/10663/1233	19
R-HSA-2132295	MHC class II antigen presentation	4/72	13/1366	0.00353504351864658	0.0278384677093418	0.022636682180807	3127/3123/972/821	4
R-HSA-202733	Cell surface interactions at the vascular wall	8/72	52/1366	0.00464558664302693	0.0351206350212836	0.0285581326266076	4282/972/3688/3676/6382/3655/8793/9672	8
R-HSA-913531	Interferon Signaling	7/72	42/1366	0.00514979177978835	0.0369735164857407	0.0300647920184803	3105/567/3106/3134/3127/3107/3123	7
R-HSA-5663205	Infectious disease	6/72	32/1366	0.00528193092653438	0.0369735164857407	0.0300647920184803	567/821/7852/1234/920/919	6
R-HSA-6798695	Neutrophil degranulation	11/72	90/1366	0.00581119514191571	0.039225567207931	0.0318960334857028	6590/567/3106/4282/3934/2919/3107/6279/11026/3579/7097	11
