,B.cell_control,CTL_control,MC_control,MoD.Ma_control,moDC_control,NKT_control,NKT.p_control,nrMa_control,pDC_control,rMa_control,Treg_control
RP11-34P13.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0316216594624485
AL627309.1,4.2343294769637385,NaN,4.366942706528799,NaN,NaN,NaN,NaN,3.453768693082344,NaN,2.2064952687670143,4.5438003288796605
RP11-34P13.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AP006222.2,NaN,4.218354946348288,6.9618223185096655,NaN,NaN,NaN,2.048740466838966,NaN,NaN,NaN,NaN
RP4-669L17.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5300098617789275,NaN,NaN,NaN
RP4-669L17.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP5-857K21.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP5-857K21.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP5-857K21.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP5-857K21.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP11-206L10.3,4.804847713373856,3.665621221143646,NaN,5.626361810315451,NaN,NaN,NaN,4.921002913403651,8.126630897272264,2.2064952687670143,2.771273644941502
RP11-206L10.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP11-206L10.2,NaN,3.1776206276243193,NaN,4.456088442728701,NaN,NaN,NaN,NaN,NaN,NaN,4.50444193173156
RP11-206L10.9,4.2343294769637385,3.445928760944746,NaN,4.456088442728701,NaN,NaN,NaN,NaN,NaN,NaN,3.417501802285859
LINC00115,2.221986600214439,3.7989044737980118,NaN,NaN,NaN,NaN,NaN,2.1665026631401663,NaN,2.2064952687670143,4.457606790350258
FAM41C,2.221986600214439,NaN,NaN,NaN,NaN,NaN,-0.10067226176975268,5.957512546698544,NaN,NaN,NaN
RP11-54O7.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SAMD11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOC2L,5.64471408376372,5.3333727222254295,6.551004028276354,5.456088442728701,NaN,NaN,5.422093901471141,4.981444109692456,NaN,2.7746335934657735,5.4004649346851314
KLHL17,1.8892893221366074,2.1726687293877407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0270868234812216
PLEKHN1,NaN,NaN,NaN,NaN,NaN,NaN,-0.10067226176975268,NaN,NaN,NaN,NaN
C1orf170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP11-54O7.17,NaN,NaN,NaN,NaN,NaN,NaN,1.3491104739863211,NaN,NaN,NaN,NaN
HES4,NaN,NaN,4.366942706528799,5.626361810315451,NaN,NaN,7.183553691223867,7.707406708311008,NaN,NaN,2.3179661287349407
ISG15,6.084882785292833,6.856038540862142,6.156092635306795,NaN,NaN,9.799155529998234,3.726725161426934,8.53642555447843,NaN,4.418120548456541,6.628402350833153
