ligand	ligand_lfc	receptor	receptor_expression	ligand_cell_source	receptor_cell_target
HSPA1A	-1.59207	NR3C1	7.618784912865921	ciliated_cells	Bcell
EGFR	-0.85146	IL6ST	4.762779993293641	ciliated_cells	Bcell
EGFR	-0.85146	RIPK1	4.674668042672162	ciliated_cells	Bcell
EGFR	-0.85146	INSR	3.6008209133029134	ciliated_cells	Bcell
EGFR	-0.85146	AKT1	3.755756094074626	ciliated_cells	Bcell
EGFR	-0.85146	TRPV3	4.9637669391348735	ciliated_cells	Bcell
EGFR	-0.85146	IFNAR2	5.346569184700823	ciliated_cells	Bcell
EGFR	-0.85146	F3	2.5842894628822246	ciliated_cells	Bcell
EGFR	-0.85146	ESR1	3.2367790790479964	ciliated_cells	Bcell
EGFR	-0.85146	EZR	8.366999328109625	ciliated_cells	Bcell
EGFR	-0.85146	PTPRE	5.81942702837283	ciliated_cells	Bcell
PLAT	-0.60197	ITGAM	2.890563960805073	ciliated_cells	Bcell
LYPD3	-0.60158	AGR2	5.804742541032542	ciliated_cells	Bcell
TNC	-0.59386	ITGA4	4.73337365089819	ciliated_cells	Bcell
TNC	-0.59386	NT5E	2.5655619739194457	ciliated_cells	Bcell
TNC	-0.59386	ITGB1	8.123260166090713	ciliated_cells	Bcell
TNC	-0.59386	ITGB7	5.650352017933677	ciliated_cells	Bcell
TNC	-0.59386	ITGAV	3.6008209133029134	ciliated_cells	Bcell
SLPI	0.50459	PLSCR1	4.907989859595369	ciliated_cells	Bcell
HLA-A	0.52596	APLP2	3.1862492874320747	ciliated_cells	Bcell
HLA-A	0.52596	IL2RB	3.2367790790479964	ciliated_cells	Bcell
HLA-A	0.52596	IL2RG	6.813078388009155	ciliated_cells	Bcell
HLA-DMA	0.53127	CD74	13.095657432293418	ciliated_cells	Bcell
B2M	0.60196	IL2RB	3.2367790790479964	ciliated_cells	Bcell
B2M	0.60196	IL2RG	6.813078388009155	ciliated_cells	Bcell
B2M	0.60196	PDIA3	6.474822349780775	ciliated_cells	Bcell
