ligand	ligand_lfc	receptor_cell_target	receptors	n_receptors	mean_receptor_exp	sum_receptor_exp
ANXA1	0.69597	Bcell	CCR10	1	2.67323972621859	2.67323972621859
ANXA1	0.69597	NKcell_prolif	LMTK2,DYSF	2	0.950541813552911	1.90108362710582
ANXA1	0.69597	Nonresident_macrophage	DYSF,FPR3	2	4.38865516722253	8.77731033444506
ANXA1	0.69597	Resident_macrophage	FPR3	1	7.8592680152526	7.8592680152526
ANXA1	0.69597	Tcell_cyto	LMTK2	1	4.37490857974044	4.37490857974044
ANXA1	0.69597	Treg	LMTK2	1	4.21049766759838	4.21049766759838
B2M	0.60196	Bcell	IL2RB,IL2RG,PDIA3	3	5.50822660561264	16.5246798168379
B2M	0.60196	DC_plasma	LILRB2,PDIA3	2	6.85022485864278	13.7004497172856
B2M	0.60196	Mastcell	IL2RG,PDIA3	2	6.41612817554719	12.8322563510944
B2M	0.60196	MD_macrophage	LILRB2,IL2RG,PDIA3	3	6.64244681639343	19.9273404491803
B2M	0.60196	NKcell	CD3D,CD3G	2	10.0494117361379	20.0988234722757
B2M	0.60196	NKcell_prolif	PDIA3,HFE	2	6.2044330263954	12.4088660527908
B2M	0.60196	Nonresident_macrophage	LILRB2,IL2RG,PDIA3,HFE	4	5.88948144268988	23.5579257707595
B2M	0.60196	Resident_macrophage	LILRB2,IL2RG,PDIA3	3	6.23938805335329	18.7181641600599
B2M	0.60196	Tcell_cyto	KLRC1,IL2RA,IL2RB,KLRC2,CD3D,IL2RG,PDIA3,CD247,CD3G	9	7.76115352689304	69.8503817420374
B2M	0.60196	Treg	KLRC1,IL2RA,IL2RB,KLRC2,CD3D,IL2RG,PDIA3,CD247,CD3G	9	7.32050148731528	65.8845133858376
CXCL1	1.82714	Bcell	CCR6,CCR1,CCR2,CXCR4,CXCR3,CXCR5,CCR7,CCR10,CCR5	9	5.87027232105442	52.8324508894898
CXCL1	1.82714	DC_plasma	CX3CR1,CCR2,CXCR4	3	7.74561860282476	23.2368558084743
CXCL1	1.82714	MD_macrophage	CXCR4,CCR7	2	8.72701108494666	17.4540221698933
CXCL1	1.82714	Nonresident_macrophage	CX3CR1,CCR1,CCR2,CXCR4,CXCR2,CXCR5,CCR7,CCR5	8	4.42063347228215	35.3650677782572
CXCL1	1.82714	Resident_macrophage	CCR6,CX3CR1,CCR1,CXCR4,CXCR3,CXCR2,CCR5	7	4.60466698322426	32.2326688825698
CXCL1	1.82714	Tcell_cyto	CCR6,CCR1,CCR2,CXCR4,CXCR3,CXCR6,CCR5	7	6.0711997137567	42.4983979962969
CXCL1	1.82714	Treg	CCR6,CCR1,CXCR4,CXCR3,CCR4,CXCR6,CCR5	7	6.4238487419397	44.9669411935779
CXCL17	0.80612	Mastcell	GPR35	1	6.01617292561174	6.01617292561174
CXCL17	0.80612	MD_macrophage	GPR35	1	6.47159799320145	6.47159799320145
CXCL17	0.80612	Nonresident_macrophage	GPR35	1	2.85796552615103	2.85796552615103
CXCL17	0.80612	Resident_macrophage	GPR35	1	1.6483900886874	1.6483900886874
CXCL17	0.80612	Tcell_cyto	GPR35	1	3.82752590152128	3.82752590152128
CXCL3	0.90676	Bcell	CCR6,CCR1,CCR2,CCR7,CXCR3,CXCR5,CXCR4,CCR10,CCR5	9	5.87027232105442	52.8324508894898
CXCL3	0.90676	DC_plasma	CX3CR1,CCR2,CXCR4	3	7.74561860282476	23.2368558084743
CXCL3	0.90676	MD_macrophage	CCR7,CXCR4	2	8.72701108494666	17.4540221698933
CXCL3	0.90676	Nonresident_macrophage	CX3CR1,CCR1,CCR2,CCR7,CXCR2,CXCR5,CXCR4,CCR5	8	4.42063347228215	35.3650677782572
CXCL3	0.90676	Resident_macrophage	CCR6,CX3CR1,CCR1,CXCR3,CXCR2,CXCR4,CCR5	7	4.60466698322426	32.2326688825698
CXCL3	0.90676	Tcell_cyto	CCR6,CCR1,CCR2,CXCR3,CXCR6,CXCR4,CCR5	7	6.0711997137567	42.4983979962969
CXCL3	0.90676	Treg	CCR6,CCR1,CXCR3,CCR4,CXCR6,CXCR4,CCR5	7	6.4238487419397	44.9669411935779
CXCL6	1.14427	Bcell	CCR6,CCR1,CCR2,CXCR4,CXCR3,CCR5,CXCR5,CCR7,CCR10	9	5.87027232105442	52.8324508894898
CXCL6	1.14427	DC_plasma	CX3CR1,CCR2,CXCR4	3	7.74561860282476	23.2368558084743
CXCL6	1.14427	MD_macrophage	CXCR4,CCR7	2	8.72701108494666	17.4540221698933
CXCL6	1.14427	Nonresident_macrophage	CX3CR1,CCR1,CCR2,CXCR4,CXCR2,CCR5,CXCR5,CCR7	8	4.42063347228215	35.3650677782572
CXCL6	1.14427	Resident_macrophage	CCR6,CX3CR1,CCR1,CXCR4,CXCR3,CXCR2,CCR5	7	4.60466698322426	32.2326688825698
CXCL6	1.14427	Tcell_cyto	CCR6,CCR1,CCR2,CXCR4,CXCR3,CCR5,CXCR6	7	6.0711997137567	42.4983979962969
CXCL6	1.14427	Treg	CCR6,CCR1,CXCR4,CXCR3,CCR4,CCR5,CXCR6	7	6.4238487419397	44.9669411935779
DEFB1	0.71929	Bcell	CCR6	1	8.26886658241917	8.26886658241917
DEFB1	0.71929	Resident_macrophage	CCR6	1	6.16631525292582	6.16631525292582
DEFB1	0.71929	Tcell_cyto	CCR6	1	4.3745908111412	4.3745908111412
DEFB1	0.71929	Treg	CCR6	1	8.04354185659465	8.04354185659465
