ligand	receptor	ligand_cell_source	ligand_dir	target_cell_counts	receptor_cell_target
ANXA1	CCR10	ciliated_cells	upreg	1	Bcell
ANXA1	DYSF	ciliated_cells	upreg	2	NKcell_prolif,Nonresident_macrophage
ANXA1	FPR3	ciliated_cells	upreg	2	Nonresident_macrophage,Resident_macrophage
ANXA1	LMTK2	ciliated_cells	upreg	3	NKcell_prolif,Tcell_cyto,Treg
B2M	CD247	ciliated_cells	upreg	2	Tcell_cyto,Treg
B2M	CD3D	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
B2M	CD3G	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
B2M	HFE	ciliated_cells	upreg	2	NKcell_prolif,Nonresident_macrophage
B2M	IL2RA	ciliated_cells	upreg	2	Tcell_cyto,Treg
B2M	IL2RB	ciliated_cells	upreg	3	Bcell,Tcell_cyto,Treg
B2M	IL2RG	ciliated_cells	upreg	7	Bcell,MD_macrophage,Mastcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
B2M	KLRC1	ciliated_cells	upreg	2	Tcell_cyto,Treg
B2M	KLRC2	ciliated_cells	upreg	2	Tcell_cyto,Treg
B2M	LILRB2	ciliated_cells	upreg	4	DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage
B2M	PDIA3	ciliated_cells	upreg	9	Bcell,DC_plasma,MD_macrophage,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
CXCL1	CCR1	ciliated_cells	upreg	5	Bcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
CXCL1	CCR10	ciliated_cells	upreg	1	Bcell
CXCL1	CCR2	ciliated_cells	upreg	4	Bcell,DC_plasma,Nonresident_macrophage,Tcell_cyto
CXCL1	CCR4	ciliated_cells	upreg	1	Treg
CXCL1	CCR5	ciliated_cells	upreg	5	Bcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
CXCL1	CCR6	ciliated_cells	upreg	4	Bcell,Resident_macrophage,Tcell_cyto,Treg
CXCL1	CCR7	ciliated_cells	upreg	3	Bcell,MD_macrophage,Nonresident_macrophage
CXCL1	CX3CR1	ciliated_cells	upreg	3	DC_plasma,Nonresident_macrophage,Resident_macrophage
CXCL1	CXCR2	ciliated_cells	upreg	2	Nonresident_macrophage,Resident_macrophage
CXCL1	CXCR3	ciliated_cells	upreg	4	Bcell,Resident_macrophage,Tcell_cyto,Treg
CXCL1	CXCR4	ciliated_cells	upreg	7	Bcell,DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
CXCL1	CXCR5	ciliated_cells	upreg	2	Bcell,Nonresident_macrophage
CXCL1	CXCR6	ciliated_cells	upreg	2	Tcell_cyto,Treg
CXCL17	GPR35	ciliated_cells	upreg	5	MD_macrophage,Mastcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto
CXCL3	CCR1	ciliated_cells	upreg	5	Bcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
CXCL3	CCR10	ciliated_cells	upreg	1	Bcell
CXCL3	CCR2	ciliated_cells	upreg	4	Bcell,DC_plasma,Nonresident_macrophage,Tcell_cyto
CXCL3	CCR4	ciliated_cells	upreg	1	Treg
CXCL3	CCR5	ciliated_cells	upreg	5	Bcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
CXCL3	CCR6	ciliated_cells	upreg	4	Bcell,Resident_macrophage,Tcell_cyto,Treg
CXCL3	CCR7	ciliated_cells	upreg	3	Bcell,MD_macrophage,Nonresident_macrophage
CXCL3	CX3CR1	ciliated_cells	upreg	3	DC_plasma,Nonresident_macrophage,Resident_macrophage
CXCL3	CXCR2	ciliated_cells	upreg	2	Nonresident_macrophage,Resident_macrophage
CXCL3	CXCR3	ciliated_cells	upreg	4	Bcell,Resident_macrophage,Tcell_cyto,Treg
CXCL3	CXCR4	ciliated_cells	upreg	7	Bcell,DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
CXCL3	CXCR5	ciliated_cells	upreg	2	Bcell,Nonresident_macrophage
CXCL3	CXCR6	ciliated_cells	upreg	2	Tcell_cyto,Treg
CXCL6	CCR1	ciliated_cells	upreg	5	Bcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
CXCL6	CCR10	ciliated_cells	upreg	1	Bcell
CXCL6	CCR2	ciliated_cells	upreg	4	Bcell,DC_plasma,Nonresident_macrophage,Tcell_cyto
CXCL6	CCR4	ciliated_cells	upreg	1	Treg
CXCL6	CCR5	ciliated_cells	upreg	5	Bcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
CXCL6	CCR6	ciliated_cells	upreg	4	Bcell,Resident_macrophage,Tcell_cyto,Treg
CXCL6	CCR7	ciliated_cells	upreg	3	Bcell,MD_macrophage,Nonresident_macrophage
CXCL6	CX3CR1	ciliated_cells	upreg	3	DC_plasma,Nonresident_macrophage,Resident_macrophage
CXCL6	CXCR2	ciliated_cells	upreg	2	Nonresident_macrophage,Resident_macrophage
CXCL6	CXCR3	ciliated_cells	upreg	4	Bcell,Resident_macrophage,Tcell_cyto,Treg
CXCL6	CXCR4	ciliated_cells	upreg	7	Bcell,DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
CXCL6	CXCR5	ciliated_cells	upreg	2	Bcell,Nonresident_macrophage
CXCL6	CXCR6	ciliated_cells	upreg	2	Tcell_cyto,Treg
DEFB1	CCR6	ciliated_cells	upreg	4	Bcell,Resident_macrophage,Tcell_cyto,Treg
DEFB4A	CCR6	ciliated_cells	upreg	4	Bcell,Resident_macrophage,Tcell_cyto,Treg
DEFB4A	TLR4	ciliated_cells	upreg	1	Nonresident_macrophage
EGFR	AKT1	ciliated_cells	downreg	8	Bcell,DC_plasma,MD_macrophage,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
EGFR	AXL	ciliated_cells	downreg	4	MD_macrophage,NKcell_prolif,Nonresident_macrophage,Resident_macrophage
EGFR	CAV1	ciliated_cells	downreg	1	Nonresident_macrophage
EGFR	CD33	ciliated_cells	downreg	5	MD_macrophage,Mastcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto
EGFR	CD5	ciliated_cells	downreg	4	MD_macrophage,Resident_macrophage,Tcell_cyto,Treg
EGFR	ESR1	ciliated_cells	downreg	1	Bcell
EGFR	EZR	ciliated_cells	downreg	10	Bcell,DC_plasma,MD_macrophage,Mastcell,NKcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
EGFR	F3	ciliated_cells	downreg	5	Bcell,Mastcell,NKcell_prolif,Nonresident_macrophage,Treg
EGFR	FCGR2A	ciliated_cells	downreg	4	MD_macrophage,Mastcell,Nonresident_macrophage,Resident_macrophage
EGFR	GPRC5A	ciliated_cells	downreg	3	NKcell_prolif,Nonresident_macrophage,Tcell_cyto
EGFR	IFNAR2	ciliated_cells	downreg	7	Bcell,DC_plasma,Mastcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
EGFR	IL6ST	ciliated_cells	downreg	8	Bcell,DC_plasma,MD_macrophage,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
EGFR	INSR	ciliated_cells	downreg	4	Bcell,DC_plasma,NKcell_prolif,Nonresident_macrophage
EGFR	ITGA5	ciliated_cells	downreg	4	MD_macrophage,Nonresident_macrophage,Tcell_cyto,Treg
EGFR	ITGA6	ciliated_cells	downreg	3	NKcell_prolif,Tcell_cyto,Treg
EGFR	ITGB4	ciliated_cells	downreg	3	NKcell_prolif,Tcell_cyto,Treg
EGFR	MET	ciliated_cells	downreg	1	Nonresident_macrophage
EGFR	PLD2	ciliated_cells	downreg	3	MD_macrophage,NKcell_prolif,Nonresident_macrophage
EGFR	PPARG	ciliated_cells	downreg	2	NKcell_prolif,Treg
EGFR	PTPRE	ciliated_cells	downreg	7	Bcell,DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
EGFR	PTPRS	ciliated_cells	downreg	1	DC_plasma
EGFR	RIPK1	ciliated_cells	downreg	8	Bcell,MD_macrophage,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
EGFR	TLR3	ciliated_cells	downreg	3	MD_macrophage,NKcell_prolif,Resident_macrophage
EGFR	TRPV3	ciliated_cells	downreg	1	Bcell
FGFR3	ITGB4	ciliated_cells	downreg	3	NKcell_prolif,Tcell_cyto,Treg
HLA-A	APLP2	ciliated_cells	upreg	8	Bcell,MD_macrophage,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
HLA-A	CD3D	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
HLA-A	CD3G	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
HLA-A	IL2RA	ciliated_cells	upreg	2	Tcell_cyto,Treg
