ligand,ligand_dir
ANXA1,upreg
B2M,upreg
CXCL1,upreg
CXCL17,upreg
CXCL3,upreg
CXCL6,upreg
DEFB1,upreg
DEFB4A,upreg
EGFR,downreg
FGFR3,downreg
HLA-A,upreg
HLA-B,upreg
HLA-C,upreg
HLA-DMA,upreg
HLA-DRB1,upreg
HLA-DRB5,upreg
HLA-F,upreg
HSPA1A,downreg
LCN2,upreg
LYPD3,downreg
MDK,upreg
MIF,upreg
MUC2,upreg
PI3,upreg
PLA2G10,upreg
PLAT,downreg
S100A4,upreg
S100A6,upreg
S100A8,upreg
SAA1,upreg
SCGB3A1,downreg
SEMA5A,downreg
SLPI,upreg
TFF1,upreg
TNC,downreg
ZG16B,upreg
