viral_protein	human_protein
cov-miR-1	PTPRJ
cov-miR-1	RAB37
cov-miR-1	NUP98
cov-miR-1	C12orf5
cov-miR-1	SERBP1
cov-miR-1	ABHD17B
cov-miR-1	SERINC1
cov-miR-1	SENP8
cov-miR-1	SPIN3
cov-miR-1	KCTD6
cov-miR-1	CD1C
cov-miR-1	MAPK6
cov-miR-1	TRIM45
cov-miR-1	DACH1
cov-miR-1	NHSL1
cov-miR-1	ADAM22
cov-miR-1	TMEM189
cov-miR-1	COG6
cov-miR-1	TMEM144
cov-miR-1	FLT1
cov-miR-1	C18orf54
cov-miR-1	ATP7B
cov-miR-1	ALCAM
cov-miR-1	CNTNAP2
cov-miR-1	CDH6
cov-miR-1	MKX
cov-miR-1	MANEA
cov-miR-1	PPP2R2A
cov-miR-1	TGFB2
cov-miR-1	ICK
cov-miR-1	WWC1
cov-miR-1	RRM2B
cov-miR-1	LCE1E
cov-miR-1	ABCG2
cov-miR-1	RNGTT
cov-miR-1	EPHA7
cov-miR-1	APLF
cov-miR-1	ACVR2B
cov-miR-1	KCTD3
cov-miR-1	DBF4
cov-miR-1	TRPM6
cov-miR-1	OTUD6B
cov-miR-1	NCALD
cov-miR-1	CDKN2B
cov-miR-1	VANGL1
cov-miR-1	RIPPLY2
cov-miR-1	ELMO2
cov-miR-1	TMED7
cov-miR-1	YAF2
cov-miR-1	DENND1B
cov-miR-1	PGM3
cov-miR-1	SLC7A1
cov-miR-1	RPGRIP1L
cov-miR-1	KLHL6
cov-miR-1	CMPK1
cov-miR-1	MBL2
cov-miR-1	NAT1
cov-miR-1	KDM5C
cov-miR-1	PARD6B
cov-miR-1	MARCH6
cov-miR-1	ARHGAP12
cov-miR-1	ZMYM4
cov-miR-1	TMEM65
cov-miR-1	ROBO2
cov-miR-1	VCAM1
cov-miR-1	STAT1
cov-miR-1	BCORL1
cov-miR-1	PBOV1
cov-miR-1	SCYL2
cov-miR-1	ARSB
cov-miR-1	MAL2
cov-miR-1	GPAM
cov-miR-2	POU2F1
cov-miR-2	DSN1
cov-miR-2	TXNL4A
cov-miR-2	PLEKHG7
cov-miR-2	ADCY7
cov-miR-2	SEC14L5
cov-miR-2	ZNF407
cov-miR-2	FOXRED2
cov-miR-2	USP40
cov-miR-2	GDF11
cov-miR-2	WDR19
cov-miR-2	WIPF3
cov-miR-2	MINPP1
cov-miR-2	ARL4A
cov-miR-2	KRTAP5-10
cov-miR-2	APLNR
cov-miR-2	RPRD1A
cov-miR-2	FKBP5
cov-miR-2	KITLG
cov-miR-2	TMEM132B
cov-miR-2	SHQ1
cov-miR-2	DPH3
cov-miR-2	EYA4
cov-miR-2	CHIC1
cov-miR-2	AP1M1
cov-miR-2	C3orf18
cov-miR-2	PFKFB2
cov-miR-2	BCAT1
cov-miR-2	C12orf65
cov-miR-2	LRRC31
cov-miR-2	RNF187
cov-miR-2	RSG1
cov-miR-2	MRPL47
cov-miR-2	KLHL29
cov-miR-2	DPY19L3
cov-miR-2	AMMECR1
cov-miR-2	GFRAL
cov-miR-2	KATNA1
cov-miR-2	C17orf51
cov-miR-2	NUMBL
cov-miR-2	LPP
cov-miR-2	BCL11A
cov-miR-2	LRPAP1
cov-miR-2	GRIN2A
cov-miR-2	ZXDB
cov-miR-2	BCKDHA
cov-miR-2	HLF
cov-miR-2	TMEM144
cov-miR-2	SCNN1A
cov-miR-2	RBL2
cov-miR-2	LPCAT2
cov-miR-2	RAB22A
cov-miR-2	ATHL1
cov-miR-2	MUM1
cov-miR-2	KIF13A
cov-miR-2	FAM227A
cov-miR-2	EN2
cov-miR-2	SMLR1
cov-miR-2	MALT1
cov-miR-2	CDK12
cov-miR-2	GPD1
cov-miR-2	ZNF697
cov-miR-2	SLC5A12
cov-miR-2	MSN
cov-miR-2	C6orf120
cov-miR-3	CXCL5
cov-miR-3	SPRYD4
cov-miR-3	FAM196A
cov-miR-3	TRPM8
cov-miR-3	TBC1D30
cov-miR-3	CEP97
cov-miR-3	RGS19
cov-miR-3	TMED7
cov-miR-3	SFRP1
cov-miR-3	SLIT3
cov-miR-3	CCSER2
cov-miR-3	UBA6
cov-miR-3	LRRC58
cov-miR-3	C4orf40
cov-miR-3	LRP2
cov-miR-3	C1orf52
cov-miR-3	SLC25A30
cov-miR-3	CHST12
cov-miR-3	C7orf31
cov-miR-3	AKAP9
cov-miR-3	KCNA1
cov-miR-3	HNRNPUL2
cov-miR-3	FAM229B
cov-miR-3	DENND2C
cov-miR-3	PWWP2A
cov-miR-3	MSL2
cov-miR-3	AHCYL1
cov-miR-3	MPZL2
cov-miR-3	MYO10
cov-miR-3	KIAA0895
cov-miR-3	MEX3A
cov-miR-3	ARPC1A
cov-miR-3	TEAD1
cov-miR-3	ZADH2
cov-miR-3	PRRG1
cov-miR-3	CUL5
cov-miR-3	SLC30A10
cov-miR-3	BRWD3
cov-miR-3	OSBPL11
cov-miR-3	ZNF780B
cov-miR-3	FAT3
cov-miR-3	MMAA
cov-miR-3	SS18L1
cov-miR-3	FAM227A
cov-miR-3	SEL1L
cov-miR-3	KIN
cov-miR-3	L2HGDH
cov-miR-3	SESTD1
cov-miR-3	PGM2L1
cov-miR-3	LYRM7
cov-miR-3	PAX6
cov-miR-3	CNTN5
cov-miR-3	ARMC8
cov-miR-3	ZC2HC1A
cov-miR-3	FBXO36
cov-miR-3	NECAB1
cov-miR-3	NOTCH2NL
cov-miR-3	FEM1C
cov-miR-3	DIRAS2
cov-miR-3	OPA1
cov-miR-3	RAB9B
cov-miR-3	TRPC5
cov-miR-3	TSC22D2
cov-miR-3	DHX29
