viral_protein	human_protein	human_protein_2	viral_mirna
cov-miR-1	PTPRJ	PTPRJ	cov-miR-1
cov-miR-1	RAB37	RAB37	cov-miR-1
cov-miR-1	NUP98	NUP98	cov-miR-1
cov-miR-1	C12orf5	C12orf5	cov-miR-1
cov-miR-1	SERBP1	SERBP1	cov-miR-1
cov-miR-1	ABHD17B	ABHD17B	cov-miR-1
cov-miR-1	SERINC1	SERINC1	cov-miR-1
cov-miR-1	SENP8	SENP8	cov-miR-1
cov-miR-1	SPIN3	SPIN3	cov-miR-1
cov-miR-1	KCTD6	KCTD6	cov-miR-1
cov-miR-1	CD1C	CD1C	cov-miR-1
cov-miR-1	MAPK6	MAPK6	cov-miR-1
cov-miR-1	TRIM45	TRIM45	cov-miR-1
cov-miR-1	DACH1	DACH1	cov-miR-1
cov-miR-1	NHSL1	NHSL1	cov-miR-1
cov-miR-1	ADAM22	ADAM22	cov-miR-1
cov-miR-1	TMEM189	TMEM189	cov-miR-1
cov-miR-1	COG6	COG6	cov-miR-1
cov-miR-1	TMEM144	TMEM144	cov-miR-1
cov-miR-1	FLT1	FLT1	cov-miR-1
cov-miR-1	C18orf54	C18orf54	cov-miR-1
cov-miR-1	ATP7B	ATP7B	cov-miR-1
cov-miR-1	ALCAM	ALCAM	cov-miR-1
cov-miR-1	CNTNAP2	CNTNAP2	cov-miR-1
cov-miR-1	CDH6	CDH6	cov-miR-1
cov-miR-1	MKX	MKX	cov-miR-1
cov-miR-1	MANEA	MANEA	cov-miR-1
cov-miR-1	PPP2R2A	PPP2R2A	cov-miR-1
cov-miR-1	TGFB2	TGFB2	cov-miR-1
cov-miR-1	ICK	ICK	cov-miR-1
cov-miR-1	WWC1	WWC1	cov-miR-1
cov-miR-1	RRM2B	RRM2B	cov-miR-1
cov-miR-1	LCE1E	LCE1E	cov-miR-1
cov-miR-1	ABCG2	ABCG2	cov-miR-1
cov-miR-1	RNGTT	RNGTT	cov-miR-1
cov-miR-1	EPHA7	EPHA7	cov-miR-1
cov-miR-1	APLF	APLF	cov-miR-1
cov-miR-1	ACVR2B	ACVR2B	cov-miR-1
cov-miR-1	KCTD3	KCTD3	cov-miR-1
cov-miR-1	DBF4	DBF4	cov-miR-1
cov-miR-1	TRPM6	TRPM6	cov-miR-1
cov-miR-1	OTUD6B	OTUD6B	cov-miR-1
cov-miR-1	NCALD	NCALD	cov-miR-1
cov-miR-1	CDKN2B	CDKN2B	cov-miR-1
cov-miR-1	VANGL1	VANGL1	cov-miR-1
cov-miR-1	RIPPLY2	RIPPLY2	cov-miR-1
cov-miR-1	ELMO2	ELMO2	cov-miR-1
cov-miR-1	TMED7	TMED7	cov-miR-1
cov-miR-1	YAF2	YAF2	cov-miR-1
cov-miR-1	DENND1B	DENND1B	cov-miR-1
cov-miR-1	PGM3	PGM3	cov-miR-1
cov-miR-1	SLC7A1	SLC7A1	cov-miR-1
cov-miR-1	RPGRIP1L	RPGRIP1L	cov-miR-1
cov-miR-1	KLHL6	KLHL6	cov-miR-1
cov-miR-1	CMPK1	CMPK1	cov-miR-1
cov-miR-1	MBL2	MBL2	cov-miR-1
cov-miR-1	NAT1	NAT1	cov-miR-1
cov-miR-1	KDM5C	KDM5C	cov-miR-1
cov-miR-1	PARD6B	PARD6B	cov-miR-1
