SYMBOL	gene_symbol	human_protein	viral_protein
CCT4	orf10	CCT4	orf10
CCT4	nsp3	CCT4	nsp3
CCT4	nsp8	CCT4	nsp8
CCT4	nsp12	CCT4	nsp12
CCT4	nsp13	CCT4	nsp13
RPSA	orf10	RPSA	orf10
RPSA	nsp1	RPSA	nsp1
RPSA	nsp2	RPSA	nsp2
RPSA	nsp15	RPSA	nsp15
CCT5	orf10	CCT5	orf10
CCT5	nsp3	CCT5	nsp3
CCT5	nsp8	CCT5	nsp8
CCT5	nsp10	CCT5	nsp10
CCT5	nsp13	CCT5	nsp13
CCT5	nsp14	CCT5	nsp14
CCT5	orf14	CCT5	orf14
RCN2	orf10	RCN2	orf10
RCN2	orf3a	RCN2	orf3a
RCN2	M	RCN2	M
RCN2	orf14	RCN2	orf14
RCN2	orf7b	RCN2	orf7b
SLC25A3	orf10	SLC25A3	orf10
SLC25A3	orf3a	SLC25A3	orf3a
SLC25A3	E	SLC25A3	E
SLC25A3	M	SLC25A3	M
SLC25A3	orf7a	SLC25A3	orf7a
SLC25A3	orf8	SLC25A3	orf8
SLC25A3	nsp7	SLC25A3	nsp7
SLC25A3	nsp10	SLC25A3	nsp10
SLC25A3	orf7b	SLC25A3	orf7b
YTHDF2	orf10	YTHDF2	orf10
YTHDF2	M	YTHDF2	M
GEMIN4	orf10	GEMIN4	orf10
GEMIN4	M	GEMIN4	M
GEMIN4	orf7a	GEMIN4	orf7a
GEMIN4	orf8	GEMIN4	orf8
COPB1	orf10	COPB1	orf10
COPB1	M	COPB1	M
COPB1	orf7a	COPB1	orf7a
COPB1	orf8	COPB1	orf8
COPB1	orf14	COPB1	orf14
COPB1	orf7b	COPB1	orf7b
COPA	orf10	COPA	orf10
COPA	orf3a	COPA	orf3a
COPA	M	COPA	M
COPA	orf7a	COPA	orf7a
COPA	orf8	COPA	orf8
COPA	nsp3	COPA	nsp3
COPA	nsp8	COPA	nsp8
COPA	orf14	COPA	orf14
COPA	orf7b	COPA	orf7b
SEC16A	orf10	SEC16A	orf10
SEC16A	M	SEC16A	M
SEC16A	orf7a	SEC16A	orf7a
SEC16A	orf8	SEC16A	orf8
XPOT	orf10	XPOT	orf10
XPOT	orf3a	XPOT	orf3a
XPOT	M	XPOT	M
XPOT	orf7a	XPOT	orf7a
XPOT	orf8	XPOT	orf8
XPOT	nsp7	XPOT	nsp7
XPOT	orf14	XPOT	orf14
XPOT	orf7b	XPOT	orf7b
IMPDH2	orf10	IMPDH2	orf10
IMPDH2	nsp10	IMPDH2	nsp10
IMPDH2	nsp14	IMPDH2	nsp14
ATP1A1	orf10	ATP1A1	orf10
ATP1A1	orf3a	ATP1A1	orf3a
ATP1A1	E	ATP1A1	E
ATP1A1	M	ATP1A1	M
ATP1A1	orf6	ATP1A1	orf6
ATP1A1	orf7a	ATP1A1	orf7a
ATP1A1	orf8	ATP1A1	orf8
ATP1A1	nsp2	ATP1A1	nsp2
ATP1A1	nsp3	ATP1A1	nsp3
ATP1A1	nsp4	ATP1A1	nsp4
ATP1A1	nsp7	ATP1A1	nsp7
ATP1A1	nsp8	ATP1A1	nsp8
ATP1A1	nsp10	ATP1A1	nsp10
ATP1A1	nsp14	ATP1A1	nsp14
ATP1A1	orf14	ATP1A1	orf14
ATP1A1	orf7b	ATP1A1	orf7b
COPG2	orf10	COPG2	orf10
COPG2	M	COPG2	M
COPG2	orf7a	COPG2	orf7a
COPG2	orf8	COPG2	orf8
COPG2	nsp6	COPG2	nsp6
COPG2	orf14	COPG2	orf14
COPG2	orf7b	COPG2	orf7b
ATP2A2	orf10	ATP2A2	orf10
ATP2A2	nsp4	ATP2A2	nsp4
ATP2A2	orf3a	ATP2A2	orf3a
ATP2A2	E	ATP2A2	E
ATP2A2	M	ATP2A2	M
ATP2A2	orf6	ATP2A2	orf6
ATP2A2	orf7a	ATP2A2	orf7a
ATP2A2	orf8	ATP2A2	orf8
ATP2A2	nsp2	ATP2A2	nsp2
ATP2A2	nsp3	ATP2A2	nsp3
ATP2A2	nsp4	ATP2A2	nsp4
ATP2A2	nsp7	ATP2A2	nsp7
ATP2A2	nsp8	ATP2A2	nsp8
ATP2A2	orf14	ATP2A2	orf14
ATP2A2	orf7b	ATP2A2	orf7b
HACD3	orf10	HACD3	orf10
HACD3	orf3a	HACD3	orf3a
HACD3	E	HACD3	E
HACD3	M	HACD3	M
HACD3	orf7a	HACD3	orf7a
HACD3	orf8	HACD3	orf8
HACD3	nsp3	HACD3	nsp3
HACD3	nsp4	HACD3	nsp4
HACD3	nsp8	HACD3	nsp8
HACD3	orf14	HACD3	orf14
HACD3	orf7b	HACD3	orf7b
FAF2	orf10	FAF2	orf10
