source_genesymbol	target_genesymbol	from	to	consensus_stimulation	consensus_inhibition
AR	EGFR	P10275	Q504U8	1	0
ATF2	PLAT	P15336	P00750	1	0
ATF3	ANXA1	P18847	P04083	0	1
CEBPA	SAA1	P49715	P0DJI8	1	0
CEBPB	SAA1	P17676	P0DJI8	1	0
CREB1	PLAT	B7Z5C6	P00750	0	1
E2F1	EGFR	Q01094	Q504U8	1	0
EGR1	EGFR	P18146	Q504U8	1	0
EGR1	FGFR3	P18146	P22607	1	0
ESR1	EGFR	G4XH65	Q504U8	1	0
ESR1	TFF1	G4XH65	P04155	1	0
ESR2	TFF1	F1D8N3	P04155	1	0
ETS1	TNC	P14921	B4E1W8	1	0
FOS	HSPA1A	P01100	A8K5I0	1	0
FOXA1	HSPA1A	P55317	A8K5I0	1	0
FOXA1	TFF1	P55317	P04155	1	0
GATA3	EGFR	P23771	Q504U8	1	0
GATA3	TFF1	P23771	P04155	1	0
HBP1	MIF	B4DJ36	I4AY87	0	1
HIF1A	MIF	Q16665	I4AY87	1	0
HSF1	HSPA1A	Q00613	A8K5I0	1	0
IRF1	HLA-A	P10914	P30443	1	0
IRF2	MDK	P14316	P21741	1	0
JUN	EGFR	P05412	Q504U8	1	0
JUN	PLAT	P05412	P00750	1	0
JUN	TFF1	P05412	P04155	1	0
JUN	TNC	P05412	B4E1W8	1	0
JUNB	EGFR	P17275	Q504U8	1	0
KLF9	EGFR	A0A024R260	Q504U8	1	0
KLF9	FGFR3	A0A024R260	P22607	1	0
MYC	HLA-F	A0A087WVR4	P30511	1	0
NFKB1	B2M	A0A024RDJ4	P61769	1	0
NFKB1	CXCL1	A0A024RDJ4	P09341	1	0
NFKB1	CXCL3	A0A024RDJ4	P19876	1	0
NFKB1	DEFB4A	A0A024RDJ4	O15263	1	0
NFKB1	EGFR	A0A024RDJ4	Q504U8	1	0
NFKB1	HLA-F	A0A024RDJ4	P30511	1	0
NFKB1	TNC	A0A024RDJ4	B4E1W8	1	0
PPARG	EGFR	E9PFX5	Q504U8	0	1
RARA	PLAT	P10276	P00750	1	0
RELA	CXCL1	Q04206	P09341	1	0
RELA	CXCL3	Q04206	P19876	1	0
RELA	DEFB4A	Q04206	O15263	1	0
RELA	EGFR	Q04206	Q504U8	1	0
RELA	S100A6	Q04206	P06703	1	0
RELA	TNC	Q04206	B4E1W8	1	0
RFX5	HLA-DMA	P48382	Q31604	1	0
RFX5	HLA-DRB1	P48382	P01912	1	0
RFX5	HLA-DRB5	P48382	Q30154	1	0
RFXANK	HLA-DMA	O14593	Q31604	1	0
RFXANK	HLA-DRB1	O14593	P01912	1	0
RFXANK	HLA-DRB5	O14593	Q30154	1	0
RFXAP	HLA-DMA	O00287	Q31604	1	0
RFXAP	HLA-DRB1	O00287	P01912	1	0
RFXAP	HLA-DRB5	O00287	Q30154	1	0
RUNX2	SEMA5A	Q13950	Q13591	1	0
SMAD2	TNC	Q15796	B4E1W8	1	0
SMAD3	TNC	P84022	B4E1W8	1	0
SMAD4	TNC	A0A024R274	B4E1W8	1	0
SNAI2	EGFR	O43623	Q504U8	0	1
SP1	CXCL1	P08047	P09341	1	0
SP1	EGFR	P08047	Q504U8	0	1
SP1	HSPA1A	P08047	A8K5I0	1	0
SP1	MIF	P08047	I4AY87	1	0
SP1	PLAT	P08047	P00750	1	0
SP3	PLAT	Q02447	P00750	1	0
SP3	TFF1	Q02447	P04155	1	0
SPI1	B2M	P17947	P61769	1	0
STAT1	EGFR	P42224	Q504U8	1	0
STAT1	FGFR3	P42224	P22607	0	1
STAT1	HLA-DMA	P42224	Q31604	1	0
STAT1	HLA-DRB1	P42224	P01912	1	0
STAT1	TFF1	P42224	P04155	1	0
STAT3	EGFR	P40763	Q504U8	1	0
STAT3	SAA1	P40763	P0DJI8	1	0
STAT4	S100A4	Q14765	P26447	1	0
TEAD1	EGFR	P28347	Q504U8	1	0
TFAP2A	EGFR	P05549	Q504U8	1	0
TFAP2C	TFF1	Q92754	P04155	1	0
TFAP4	EGFR	Q01664	Q504U8	1	0
TFAP4	FGFR3	Q01664	P22607	1	0
THAP1	FGFR3	Q9NVV9	P22607	1	0
TP53	EGFR	K7PPA8	Q504U8	1	0
USF1	B2M	A0A0S2Z4U5	P61769	1	0
USF1	S100A6	A0A0S2Z4U5	P06703	1	0
USF2	B2M	Q15853	P61769	1	0
VDR	EGFR	F1D8P8	Q504U8	0	1
YY1	EGFR	P25490	Q504U8	1	0
ZNF263	FGFR3	O14978	P22607	0	1
