source_genesymbol	target_genesymbol	from	to	consensus_stimulation	consensus_inhibition
AHR	CYP1B1	A0A024R9Z8	Q16678	1	0
AHR	FOS	A0A024R9Z8	P01100	1	0
AHR	MYC	A0A024R9Z8	A0A087WVR4	1	0
AHR	UGT1A6	A0A024R9Z8	P19224	1	0
AHR	ASAP1	A0A024R9Z8	A0A0A0MRE5	1	0
AHR	VGLL4	A0A024R9Z8	G5E9M7	1	0
AHR	ARHGAP15	A0A024R9Z8	Q53QZ3	1	0
AHR	ARID5B	A0A024R9Z8	Q14865	1	0
AHR	CREB5	A0A024R9Z8	Q02930	1	0
AHR	CTNNA1	A0A024R9Z8	G3XAM7	1	0
AHR	CTNNA2	A0A024R9Z8	P26232	1	0
AHR	DOCK4	A0A024R9Z8	Q8N1I0	1	0
AHR	EPB41L2	A0A024R9Z8	I6L9B1	1	0
AHR	FRMD4A	A0A024R9Z8	Q9NW91	1	0
AHR	GAS7	A0A024R9Z8	O60861	1	0
AHR	KAZN	A0A024R9Z8	Q674X7	1	0
AHR	KDM4C	A0A024R9Z8	Q9H3R0	1	0
AHR	LHFPL2	A0A024R9Z8	A0A024RAM8	1	0
AHR	MAP4K4	A0A024R9Z8	O95819	1	0
AHR	MAST4	A0A024R9Z8	J3QT34	1	0
AHR	MID1	A0A024R9Z8	A0A024RBV4	1	0
AHR	MYO1B	A0A024R9Z8	B0I1S9	1	0
AHR	NCOR2	A0A024R9Z8	C9JE98	1	0
AHR	NFATC2	A0A024R9Z8	Q13469	1	0
AHR	NRP2	A0A024R9Z8	O60462	1	0
AHR	PHACTR3	A0A024R9Z8	Q96KR7	1	0
AHR	PLCB1	A0A024R9Z8	Q9NQ66	1	0
AHR	RAPGEF4	A0A024R9Z8	Q8WZA2	1	0
AHR	RBMS1	A0A024R9Z8	A0A0S2Z499	1	0
AHR	RUNX1	A0A024R9Z8	Q01196	1	0
AHR	SIPA1L2	A0A024R9Z8	Q9P2F8	1	0
AHR	SLCO3A1	A0A024R9Z8	Q9UIG8	1	0
AHR	SOS1	A0A024R9Z8	Q07889	1	0
AHR	SULF2	A0A024R9Z8	Q8IWU5	1	0
AHR	TRIM37	A0A024R9Z8	O94972	1	0
AHR	TRIO	A0A024R9Z8	O75962	1	0
AHR	TRPS1	A0A024R9Z8	Q9UHF7	1	0
AHR	TSHZ2	A0A024R9Z8	Q9NRE2	1	0
AHR	UTRN	A0A024R9Z8	P46939	1	0
AHR	ZNF217	A0A024R9Z8	O75362	1	0
AHR	ZNF385D	A0A024R9Z8	Q9H6B1	1	0
AR	ABCE1	P10275	P61221	1	0
AR	ACAD10	P10275	Q6JQN1	1	0
AR	ACPP	P10275	P15309	1	0
AR	AHSG	P10275	P02765	1	0
AR	AKR1B1	P10275	A0A024R7A8	1	0
AR	AKR1C3	P10275	A0A0A0MSS8	0	1
AR	AKT1	P10275	B0LPE5	1	0
AR	ANAPC10	P10275	Q9UM13	1	0
AR	AP2M1	P10275	Q96CW1	1	0
AR	APPBP2	P10275	Q92624	1	0
AR	ATF6	P10275	A8K383	1	0
AR	ATM	P10275	A0A024R3C7	1	0
AR	ATP2B4	P10275	P23634	1	0
AR	BANF1	P10275	A0A024R5H0	1	0
AR	BTD	P10275	P43251	1	0
AR	C1orf21	P10275	A0A024R926	1	0
AR	CCNG2	P10275	A0A024RDC7	1	0
AR	CD4	P10275	B4DT49	1	0
AR	CDC6	P10275	A0A024R1S2	1	0
AR	CDH2	P10275	P19022	1	0
AR	CDKL5	P10275	O76039	1	0
AR	CDKN1A	P10275	A0A024RCX5	1	0
AR	CITED2	P10275	D9ZGF1	1	0
AR	COASY	P10275	Q13057	1	0
AR	CPT2	P10275	A0A140VK13	1	0
AR	CYCS	P10275	G4XXL9	1	0
AR	DBI	P10275	P07108	1	0
AR	DDC	P10275	P20711	1	0
AR	DDT	P10275	P30046	1	0
AR	DHX15	P10275	O43143	1	0
