Source.node	Target.node	Relationship	layer
A0A663DJA2	P08865	unknown	cov-bindingprot
A0A663DJA2	P12268	unknown	cov-bindingprot
A0A663DJA2	P16615	unknown	cov-bindingprot
A0A663DJA2	O14980	unknown	cov-bindingprot
A0A663DJA2	P62877	unknown	cov-bindingprot
EBI-25475912	Q9UJZ1	unknown	cov-bindingprot
P0DTC1-PRO_0000449636	P24468	unknown	cov-bindingprot
P0DTC1-PRO_0000449636	P11021	unknown	cov-bindingprot
P0DTC1-PRO_0000449638	P78527	unknown	cov-bindingprot
P0DTC1-PRO_0000449638	P11021	unknown	cov-bindingprot
P0DTC1-PRO_0000449638	O95816	unknown	cov-bindingprot
P0DTC1-PRO_0000449638	P16615	unknown	cov-bindingprot
P0DTC2	Q96N67	unknown	cov-bindingprot
P0DTC2	P59998	unknown	cov-bindingprot
P0DTC2	P35613	unknown	cov-bindingprot
P0DTC2	P09958	unknown	cov-bindingprot
P0DTC2	Q9BYF1	unknown	cov-bindingprot
P0DTC2	P29120	unknown	cov-bindingprot
P0DTC2	P07858	unknown	cov-bindingprot
P0DTC2	P07711	unknown	cov-bindingprot
P0DTC2	Q9NNX6	unknown	cov-bindingprot
P0DTC2	P14635	unknown	cov-bindingprot
P0DTC3	P22314	unknown	cov-bindingprot
P0DTC3	P04406	unknown	cov-bindingprot
P0DTC3	P31689	unknown	cov-bindingprot
P0DTC3	P46379	unknown	cov-bindingprot
P0DTC3	Q9H936	unknown	cov-bindingprot
P0DTC3	O60884	unknown	cov-bindingprot
P0DTC3	P26599	unknown	cov-bindingprot
P0DTC3	P16615	unknown	cov-bindingprot
P0DTC3	O14980	unknown	cov-bindingprot
P0DTC3	Q8IWR1	unknown	cov-bindingprot
P0DTC3	P09601	unknown	cov-bindingprot
P0DTC3	P78552	unknown	cov-bindingprot
P0DTC3	Q9UIW2	unknown	cov-bindingprot
P0DTC3	P53004	unknown	cov-bindingprot
P0DTC3	P10586	unknown	cov-bindingprot
P0DTC3	O00238	unknown	cov-bindingprot
P0DTC3	Q9Y4D7	unknown	cov-bindingprot
P0DTC3	Q9Y397	unknown	cov-bindingprot
P0DTC3	Q9UNN8	unknown	cov-bindingprot
P0DTC3	Q9UNE7	unknown	cov-bindingprot
P0DTC3	Q9UMX0	unknown	cov-bindingprot
P0DTC3	Q9UM47	unknown	cov-bindingprot
P0DTC3	Q9ULT6	unknown	cov-bindingprot
P0DTC3	Q9UBN6	unknown	cov-bindingprot
P0DTC3	Q9NSU2	unknown	cov-bindingprot
P0DTC3	Q9H2G2	unknown	cov-bindingprot
P0DTC3	Q9H0M0	unknown	cov-bindingprot
P0DTC3	Q9BYN0	unknown	cov-bindingprot
P0DTC3	Q9BY44	unknown	cov-bindingprot
P0DTC3	Q9BT67	unknown	cov-bindingprot
P0DTC3	Q99650	unknown	cov-bindingprot
P0DTC3	Q96J02	unknown	cov-bindingprot
P0DTC3	Q96A54	unknown	cov-bindingprot
P0DTC3	Q969W9	unknown	cov-bindingprot
P0DTC3	Q92859	unknown	cov-bindingprot
P0DTC3	Q86VP1	unknown	cov-bindingprot
P0DTC3	Q29983	unknown	cov-bindingprot
P0DTC3	Q15382	unknown	cov-bindingprot
P0DTC3	Q15181	unknown	cov-bindingprot
P0DTC3	Q15025	unknown	cov-bindingprot
P0DTC3	Q14596	unknown	cov-bindingprot
P0DTC3	Q14344	unknown	cov-bindingprot
P0DTC3	Q14114	unknown	cov-bindingprot
P0DTC3	Q13873	unknown	cov-bindingprot
P0DTC3	Q13772	unknown	cov-bindingprot
P0DTC3	Q13641	unknown	cov-bindingprot
P0DTC3	Q13596	unknown	cov-bindingprot
P0DTC3	Q13443	unknown	cov-bindingprot
P0DTC3	Q13145	unknown	cov-bindingprot
P0DTC3	Q12959	unknown	cov-bindingprot
P0DTC3	Q12913	unknown	cov-bindingprot
P0DTC3	Q08345	unknown	cov-bindingprot
P0DTC3	Q08334	unknown	cov-bindingprot
P0DTC3	Q06124	unknown	cov-bindingprot
P0DTC3	Q04771	unknown	cov-bindingprot
P0DTC3	Q04721	unknown	cov-bindingprot
P0DTC3	Q02297	unknown	cov-bindingprot
P0DTC3	Q01973	unknown	cov-bindingprot
P0DTC3	Q01518	unknown	cov-bindingprot
P0DTC3	P78536	unknown	cov-bindingprot
P0DTC3	P62942	unknown	cov-bindingprot
