node	all_nodes	cov_layer	bindingprot_layer	tf_layer	deg_layer	ppi_layer	ENTREZID	gene_symbol	LinkerHeats	log2FoldChange	padj
A0A663DJA2	cov2	cov2	NA	NA	NA	NA	NA	orf10	NA	NA	NA
EBI-25475912	cov2	cov2	NA	NA	NA	NA	NA	orf3b	NA	NA	NA
P0DTC1-PRO_0000449636	cov2	cov2	NA	NA	NA	NA	NA	nsp2	NA	NA	NA
P0DTC1-PRO_0000449638	cov2	cov2	NA	NA	NA	NA	NA	nsp4	NA	NA	NA
P0DTC2	cov2	cov2	NA	NA	NA	NA	NA	S	NA	NA	NA
P0DTC3	cov2	cov2	NA	NA	NA	NA	NA	orf3a	NA	NA	NA
P0DTC4	cov2	cov2	NA	NA	NA	NA	NA	E	NA	NA	NA
P0DTC5	cov2	cov2	NA	NA	NA	NA	NA	M	NA	NA	NA
P0DTC6	cov2	cov2	NA	NA	NA	NA	NA	orf6	NA	NA	NA
P0DTC7	cov2	cov2	NA	NA	NA	NA	NA	orf7a	NA	NA	NA
P0DTC8	cov2	cov2	NA	NA	NA	NA	NA	orf8	NA	NA	NA
P0DTC9	cov2	cov2	NA	NA	NA	NA	NA	N	NA	NA	NA
P0DTD1-PRO_0000449619	cov2	cov2	NA	NA	NA	NA	NA	nsp1	NA	NA	NA
P0DTD1-PRO_0000449620	cov2	cov2	NA	NA	NA	NA	NA	nsp2	NA	NA	NA
P0DTD1-PRO_0000449621	cov2	cov2	NA	NA	NA	NA	NA	nsp3	NA	NA	NA
P0DTD1-PRO_0000449622	cov2	cov2	NA	NA	NA	NA	NA	nsp4	NA	NA	NA
P0DTD1-PRO_0000449623	cov2	cov2	NA	NA	NA	NA	NA	nsp5	NA	NA	NA
P0DTD1-PRO_0000449624	cov2	cov2	NA	NA	NA	NA	NA	nsp6	NA	NA	NA
P0DTD1-PRO_0000449625	cov2	cov2	NA	NA	NA	NA	NA	nsp7	NA	NA	NA
P0DTD1-PRO_0000449626	cov2	cov2	NA	NA	NA	NA	NA	nsp8	NA	NA	NA
P0DTD1-PRO_0000449627	cov2	cov2	NA	NA	NA	NA	NA	nsp9	NA	NA	NA
P0DTD1-PRO_0000449628	cov2	cov2	NA	NA	NA	NA	NA	nsp10	NA	NA	NA
P0DTD1-PRO_0000449629	cov2	cov2	NA	NA	NA	NA	NA	nsp12	NA	NA	NA
P0DTD1-PRO_0000449630	cov2	cov2	NA	NA	NA	NA	NA	nsp13	NA	NA	NA
P0DTD1-PRO_0000449631	cov2	cov2	NA	NA	NA	NA	NA	nsp14	NA	NA	NA
P0DTD1-PRO_0000449632	cov2	cov2	NA	NA	NA	NA	NA	nsp15	NA	NA	NA
P0DTD2	cov2	cov2	NA	NA	NA	NA	NA	orf9b	NA	NA	NA
P0DTD3	cov2	cov2	NA	NA	NA	NA	NA	orf14	NA	NA	NA
P0DTD8	cov2	cov2	NA	NA	NA	NA	NA	orf7b	NA	NA	NA
P08865	bindingprot	NA	bindingprot	NA	NA	NA	3921	RPSA	0.0886882772929029	NA	NA
P12268	bindingprot	NA	bindingprot	NA	NA	NA	3615	IMPDH2	0.0722449798273789	NA	NA
P16615	bindingprot	NA	bindingprot	NA	NA	NA	488	ATP2A2	0.0784006792513299	-0.30937	0
O14980	bindingprot;protein	NA	bindingprot	NA	NA	protein	7514	XPO1	0.167326942949691	NA	NA
P62877	bindingprot;protein	NA	bindingprot	NA	NA	protein	9978	RBX1	0.158420418503947	0.38653	0
Q9UJZ1	bindingprot	NA	bindingprot	NA	NA	NA	30968	STOML2	0.0310142481695629	NA	NA
P24468	bindingprot	NA	bindingprot	NA	NA	NA	7026	NR2F2	0.432548395416504	NA	NA
P11021	bindingprot	NA	bindingprot	NA	NA	NA	3309	HSPA5	0.21303877676563	NA	NA
P78527	bindingprot;protein	NA	bindingprot	NA	NA	protein	5591	PRKDC	0.209459162870124	-0.29428	0
O95816	bindingprot	NA	bindingprot	NA	NA	NA	9532	BAG2	0.114275618259879	NA	NA
Q96N67	bindingprot	NA	bindingprot	NA	NA	NA	85440	DOCK7	0.0901852439912008	NA	NA
P59998	bindingprot	NA	bindingprot	NA	NA	NA	10093	ARPC4	0.0711038870376475	NA	NA
P35613	bindingprot;protein	NA	bindingprot	NA	NA	protein	682	BSG	0.189919424854537	NA	NA
P09958	bindingprot	NA	bindingprot	NA	NA	NA	5045	FURIN	0.272394585050177	NA	NA
Q9BYF1	bindingprot	NA	bindingprot	NA	NA	NA	59272	ACE2	0.0476493590556664	NA	NA
P29120	bindingprot	NA	bindingprot	NA	NA	NA	5122	PCSK1	0.0362226626014273	NA	NA
P07858	bindingprot	NA	bindingprot	NA	NA	NA	1508	CTSB	0.217069988495176	NA	NA
P07711	bindingprot	NA	bindingprot	NA	NA	NA	1514	CTSL	0.121526092488672	NA	NA
Q9NNX6	bindingprot	NA	bindingprot	NA	NA	NA	30835	CD209	0.0894946402276987	NA	NA
P14635	bindingprot;protein	NA	bindingprot	NA	NA	protein	891	CCNB1	0.256066781477295	NA	NA
P22314	bindingprot;protein	NA	bindingprot	NA	NA	protein	7317	UBA1	0.137152003168468	NA	NA
P04406	bindingprot;protein	NA	bindingprot	NA	NA	protein	2597	GAPDH	0.244758249272261	0.353	0
P31689	bindingprot;protein	NA	bindingprot	NA	NA	protein	3301	DNAJA1	0.195759713867835	0.40822	0
P46379	bindingprot	NA	bindingprot	NA	NA	NA	7917	BAG6	0.0181998307905326	NA	NA
Q9H936	bindingprot	NA	bindingprot	NA	NA	NA	79751	SLC25A22	0.00650762595131453	NA	NA
O60884	bindingprot	NA	bindingprot	NA	NA	NA	10294	DNAJA2	0.0530137645138217	NA	NA
P26599	bindingprot	NA	bindingprot	NA	NA	NA	5725	PTBP1	0.162895296122908	NA	NA
Q8IWR1	bindingprot	NA	bindingprot	NA	NA	NA	286827	TRIM59	0.0040247963401757	NA	NA
P09601	bindingprot;protein	NA	bindingprot	NA	NA	protein	3162	HMOX1	0.239711924986882	NA	NA
P78552	bindingprot	NA	bindingprot	NA	NA	NA	3597	IL13RA1	0.387490434282746	NA	NA
Q9UIW2	bindingprot	NA	bindingprot	NA	NA	NA	5361	PLXNA1	0.0824804855815058	NA	NA
P53004	bindingprot	NA	bindingprot	NA	NA	NA	644	BLVRA	0.416517711350096	NA	NA
P10586	bindingprot	NA	bindingprot	NA	NA	NA	5792	PTPRF	0.218226212268651	-0.63246	0
O00238	bindingprot;protein	NA	bindingprot	NA	NA	protein	658	BMPR1B	0.210082237054663	NA	NA
Q9Y4D7	bindingprot	NA	bindingprot	NA	NA	NA	23129	PLXND1	0.0422603023854127	NA	NA
Q9Y397	bindingprot	NA	bindingprot	NA	NA	NA	51114	ZDHHC9	0.0474003976524016	NA	NA
Q9UNN8	bindingprot	NA	bindingprot	NA	NA	NA	10544	PROCR	0.0533871729166157	NA	NA
Q9UNE7	bindingprot;protein	NA	bindingprot	NA	NA	protein	10273	STUB1	0.1877255158138	NA	NA
Q9UMX0	bindingprot	NA	bindingprot	NA	NA	NA	29979	UBQLN1	0.121103797636779	NA	NA
Q9UM47	bindingprot	NA	bindingprot	NA	NA	NA	4854	NOTCH3	0.238112902203684	NA	NA
Q9ULT6	bindingprot	NA	bindingprot	NA	NA	NA	84133	ZNRF3	0.029096448293021	NA	NA
Q9UBN6	bindingprot	NA	bindingprot	NA	NA	NA	8793	TNFRSF10D	0.0878174688050773	NA	NA
Q9NSU2	bindingprot	NA	bindingprot	NA	NA	NA	11277	TREX1	0.165910874820364	NA	NA
Q9H2G2	bindingprot;protein	NA	bindingprot	NA	NA	protein	9748	SLK	0.126482763204356	-0.26279	0
Q9H0M0	bindingprot;protein	NA	bindingprot	NA	NA	protein	11059	WWP1	0.253151609991991	NA	NA
Q9BYN0	bindingprot;protein	NA	bindingprot	NA	NA	protein	140809	SRXN1	0.217679518635965	NA	NA
Q9BY44	bindingprot	NA	bindingprot	NA	NA	NA	83939	EIF2A	0.167041977243417	NA	NA
Q9BT67	bindingprot	NA	bindingprot	NA	NA	NA	80762	NDFIP1	0.0150403018840595	0.26101	0
Q99650	bindingprot	NA	bindingprot	NA	NA	NA	9180	OSMR	0.348992848055684	NA	NA
Q96J02	bindingprot;protein	NA	bindingprot	NA	NA	protein	83737	ITCH	0.250304921425465	NA	NA
Q96A54	bindingprot	NA	bindingprot	NA	NA	NA	51094	ADIPOR1	0.00401573477280307	NA	NA
Q969W9	bindingprot	NA	bindingprot	NA	NA	NA	56937	PMEPA1	0.193687977762412	NA	NA
Q92859	bindingprot	NA	bindingprot	NA	NA	NA	4756	NEO1	0.116210018337316	NA	NA
Q86VP1	bindingprot	NA	bindingprot	NA	NA	NA	8887	TAX1BP1	0.028988037016241	NA	NA
Q29983	bindingprot	NA	bindingprot	NA	NA	NA	100507436	MICA	0.00481923428244516	NA	NA
Q15382	bindingprot;protein	NA	bindingprot	NA	NA	protein	6009	RHEB	0.153385739514636	0.26412	0
Q15181	bindingprot	NA	bindingprot	NA	NA	NA	5464	PPA1	0.134258179999905	NA	NA
Q15025	bindingprot	NA	bindingprot	NA	NA	NA	10318	TNIP1	0.101324582835797	NA	NA
Q14596	bindingprot	NA	bindingprot	NA	NA	NA	4077	NBR1	0.0259610496140666	NA	NA
Q14344	bindingprot;protein	NA	bindingprot	NA	NA	protein	10672	GNA13	0.14469339761505	NA	NA
Q14114	bindingprot	NA	bindingprot	NA	NA	NA	7804	LRP8	0.0882003386480883	NA	NA
Q13873	bindingprot;protein	NA	bindingprot	NA	NA	protein	659	BMPR2	0.225324957869844	NA	NA
Q13772	bindingprot;protein	NA	bindingprot	NA	NA	protein	8031	NCOA4	0.237129022313171	-0.31913	0
Q13641	bindingprot	NA	bindingprot	NA	NA	NA	7162	TPBG	0.0334274095590102	NA	NA
Q13596	bindingprot	NA	bindingprot	NA	NA	NA	6642	SNX1	0.0487385827706624	NA	NA
Q13443	bindingprot	NA	bindingprot	NA	NA	NA	8754	ADAM9	0.100596229616274	NA	NA
Q13145	bindingprot	NA	bindingprot	NA	NA	NA	25805	BAMBI	0.195120901895891	NA	NA
Q12959	bindingprot;protein	NA	bindingprot	NA	NA	protein	1739	DLG1	0.15214956198026	NA	NA
Q12913	bindingprot;protein	NA	bindingprot	NA	NA	protein	5795	PTPRJ	0.235049352310949	NA	NA
Q08345	bindingprot;protein	NA	bindingprot	NA	NA	protein	780	DDR1	0.17222007493679	-0.43061	0
Q08334	bindingprot	NA	bindingprot	NA	NA	NA	3588	IL10RB	0.334849166141063	NA	NA
Q06124	bindingprot;protein	NA	bindingprot	NA	NA	protein	5781	PTPN11	0.187487087047813	NA	NA
Q04771	bindingprot;protein	NA	bindingprot	NA	NA	protein	90	ACVR1	0.293315729915025	NA	NA
Q04721	bindingprot	NA	bindingprot	NA	NA	NA	4853	NOTCH2	0.21984895451871	NA	NA
Q02297	bindingprot;protein	NA	bindingprot	NA	NA	protein	3084	NRG1	0.258215423069376	NA	NA
Q01973	bindingprot;protein	NA	bindingprot	NA	NA	protein	4919	ROR1	0.171284691709125	NA	NA
Q01518	bindingprot	NA	bindingprot	NA	NA	NA	10487	CAP1	0.0206208274053064	NA	NA
P78536	bindingprot;protein	NA	bindingprot	NA	NA	protein	6868	ADAM17	0.265525783932213	NA	NA
P62942	bindingprot;protein	NA	bindingprot	NA	NA	protein	2280	FKBP1A	0.360821787354825	NA	NA
P62745	bindingprot;protein	NA	bindingprot	NA	NA	protein	388	RHOB	0.135631929325752	-0.54949	0
P61769	bindingprot;protein;deg	NA	bindingprot	NA	deg	protein	567	B2M	0.317475767462916	0.60196	0
P61019	bindingprot	NA	bindingprot	NA	NA	NA	5862	RAB2A	0.0211218541301658	NA	NA
P61006	bindingprot	NA	bindingprot	NA	NA	NA	4218	RAB8A	0.0365712149093888	NA	NA
P60520	bindingprot	NA	bindingprot	NA	NA	NA	11345	GABARAPL2	0.0251983871646828	0.33455	0
P54753	bindingprot;protein	NA	bindingprot	NA	NA	protein	2049	EPHB3	0.164587080246078	NA	NA
P54710	bindingprot	NA	bindingprot	NA	NA	NA	486	FXYD2	0.280684838366891	NA	NA
P50851	bindingprot	NA	bindingprot	NA	NA	NA	987	LRBA	0.157047277054234	NA	NA
P50148	bindingprot;protein	NA	bindingprot	NA	NA	protein	2776	GNAQ	0.106927793377807	NA	NA
P49840	bindingprot;protein	NA	bindingprot	NA	NA	protein	2931	GSK3A	0.167438071651941	NA	NA
P49773	bindingprot	NA	bindingprot	NA	NA	NA	3094	HINT1	0.016738928907714	0.46339	0
P48506	bindingprot;protein	NA	bindingprot	NA	NA	protein	2729	GCLC	0.392589090855805	NA	NA
P46531	bindingprot;protein	NA	bindingprot	NA	NA	protein	4851	NOTCH1	0.200193011210313	NA	NA
P42892	bindingprot	NA	bindingprot	NA	NA	NA	1889	ECE1	0.0646050360202204	-0.35331	0
P41273	bindingprot	NA	bindingprot	NA	NA	NA	8744	TNFSF9	0.0307353670478528	NA	NA
P41227	bindingprot	NA	bindingprot	NA	NA	NA	8260	NAA10	0.260060262142711	NA	NA
P40818	bindingprot	NA	bindingprot	NA	NA	NA	9101	USP8	0.0621588144850761	NA	NA
P40189	bindingprot;protein	NA	bindingprot	NA	NA	protein	3572	IL6ST	0.162701317856403	NA	NA
P37173	bindingprot;protein	NA	bindingprot	NA	NA	protein	7048	TGFBR2	0.195996502977917	NA	NA
P36897	bindingprot;protein	NA	bindingprot	NA	NA	protein	7046	TGFBR1	0.216285194567178	NA	NA
P36896	bindingprot;protein	NA	bindingprot	NA	NA	protein	91	ACVR1B	0.274515469060528	NA	NA
P36894	bindingprot;protein	NA	bindingprot	NA	NA	protein	657	BMPR1A	0.246479946832227	NA	NA
P30530	bindingprot;protein	NA	bindingprot	NA	NA	protein	558	AXL	0.172169646032583	NA	NA
P29353	bindingprot;protein	NA	bindingprot	NA	NA	protein	6464	SHC1	0.162357251372722	NA	NA
P29323	bindingprot;protein	NA	bindingprot	NA	NA	protein	2048	EPHB2	0.158153217874082	NA	NA
P29317	bindingprot;protein	NA	bindingprot	NA	NA	protein	1969	EPHA2	0.156215546503557	NA	NA
P28907	bindingprot	NA	bindingprot	NA	NA	NA	952	CD38	0.0495616050010175	NA	NA
P28827	bindingprot	NA	bindingprot	NA	NA	NA	5797	PTPRM	0.0495109017862487	NA	NA
P27037	bindingprot	NA	bindingprot	NA	NA	NA	92	ACVR2A	0.150436223903925	NA	NA
P26038	bindingprot;protein	NA	bindingprot	NA	NA	protein	4478	MSN	0.1446991089284	-0.3524	0
P23229	bindingprot;protein	NA	bindingprot	NA	NA	protein	3655	ITGA6	0.177786858870614	-0.73541	0
P20339	bindingprot	NA	bindingprot	NA	NA	NA	5868	RAB5A	0.0875319845906234	NA	NA
P19438	bindingprot	NA	bindingprot	NA	NA	NA	7132	TNFRSF1A	0.189694998575633	NA	NA
P18433	bindingprot	NA	bindingprot	NA	NA	NA	5786	PTPRA	0.144488393378897	NA	NA
P17931	bindingprot	NA	bindingprot	NA	NA	NA	3958	LGALS3	0.62303345077358	1.16343	0
P17693	bindingprot	NA	bindingprot	NA	NA	NA	3135	HLA-G	0.0651842889019531	NA	NA
P16070	bindingprot;protein	NA	bindingprot	NA	NA	protein	960	CD44	0.178378189792165	-0.85641	0
P15313	bindingprot	NA	bindingprot	NA	NA	NA	525	ATP6V1B1	0.0179599688678911	NA	NA
P15311	bindingprot;protein	NA	bindingprot	NA	NA	protein	7430	EZR	0.20158976047637	0.44543	0
P15260	bindingprot;protein	NA	bindingprot	NA	NA	protein	3459	IFNGR1	0.26481403755101	NA	NA
P15151	bindingprot	NA	bindingprot	NA	NA	NA	5817	PVR	0.021388966333922	NA	NA
P15121	bindingprot;protein	NA	bindingprot	NA	NA	protein	231	AKR1B1	0.574380248192273	NA	NA
P14209	bindingprot	NA	bindingprot	NA	NA	NA	4267	CD99	0.0636236907927954	NA	NA
P13747	bindingprot;protein	NA	bindingprot	NA	NA	protein	3133	HLA-E	0.343920902228136	NA	NA
P11362	bindingprot;protein	NA	bindingprot	NA	NA	protein	2260	FGFR1	0.20659590978118	NA	NA
P10909	bindingprot	NA	bindingprot	NA	NA	NA	1191	CLU	0.133848885841283	-0.59828	4e-05
P10321	bindingprot	NA	bindingprot	NA	NA	NA	3107	HLA-C	0.0434818861479263	0.76724	0
P09936	bindingprot	NA	bindingprot	NA	NA	NA	7345	UCHL1	0.0269859921082038	NA	NA
P08758	bindingprot	NA	bindingprot	NA	NA	NA	308	ANXA5	0.0369284608899759	0.35299	0
P08581	bindingprot;protein	NA	bindingprot	NA	NA	protein	4233	MET	0.161511029238417	NA	NA
P04439	bindingprot;protein	NA	bindingprot	NA	NA	protein	3105	HLA-A	0.260742145795176	0.52596	0
O75886	bindingprot	NA	bindingprot	NA	NA	NA	10254	STAM2	0.157383334281766	NA	NA
O75509	bindingprot	NA	bindingprot	NA	NA	NA	27242	TNFRSF21	0.0454275995034164	NA	NA
O60503	bindingprot;protein	NA	bindingprot	NA	NA	protein	115	ADCY9	0.13980447510042	NA	NA
O60271	bindingprot;protein	NA	bindingprot	NA	NA	protein	9043	SPAG9	0.134761564000386	NA	NA
O43306	bindingprot;protein	NA	bindingprot	NA	NA	protein	112	ADCY6	0.139804572602347	NA	NA
O14763	bindingprot;protein	NA	bindingprot	NA	NA	protein	8795	TNFRSF10B	0.209407755055155	NA	NA
O00220	bindingprot	NA	bindingprot	NA	NA	NA	8797	TNFRSF10A	0.156722777968003	NA	NA
P36941	bindingprot	NA	bindingprot	NA	NA	NA	4055	LTBR	0.0313886543058227	NA	NA
Q9ULX6	bindingprot	NA	bindingprot	NA	NA	NA	26993	AKAP8L	0.00423657870546072	NA	NA
P50402	bindingprot	NA	bindingprot	NA	NA	NA	2010	EMD	0.061810524304941	NA	NA
O60885	bindingprot	NA	bindingprot	NA	NA	NA	23476	BRD4	0.0539447869102195	-0.27209	0
P30876	bindingprot;protein	NA	bindingprot	NA	NA	protein	5431	POLR2B	0.169150933916115	-0.25888	1e-05
P62195	bindingprot	NA	bindingprot	NA	NA	NA	5705	PSMC5	0.116298989564552	NA	NA
O00231	bindingprot	NA	bindingprot	NA	NA	NA	5717	PSMD11	0.11629880725083	NA	NA
Q96EY1	bindingprot	NA	bindingprot	NA	NA	NA	9093	DNAJA3	0.14498483856525	NA	NA
Q15008	bindingprot	NA	bindingprot	NA	NA	NA	9861	PSMD6	0.116299066896729	NA	NA
O14818	bindingprot	NA	bindingprot	NA	NA	NA	5688	PSMA7	0.174581162088185	0.47786	0
P60900	bindingprot;protein	NA	bindingprot	NA	NA	protein	5687	PSMA6	0.160635364617034	NA	NA
P51665	bindingprot	NA	bindingprot	NA	NA	NA	5713	PSMD7	0.116298795854987	0.28176	0
P62191	bindingprot	NA	bindingprot	NA	NA	NA	5700	PSMC1	0.133811017192457	NA	NA
Q99615	bindingprot	NA	bindingprot	NA	NA	NA	7266	DNAJC7	0.0805753870588619	NA	NA
Q13200	bindingprot	NA	bindingprot	NA	NA	NA	5708	PSMD2	0.116299209918243	NA	NA
P35998	bindingprot	NA	bindingprot	NA	NA	NA	5701	PSMC2	0.122309682471632	NA	NA
Q99460	bindingprot	NA	bindingprot	NA	NA	NA	5707	PSMD1	0.113019719331359	NA	NA
P34932	bindingprot	NA	bindingprot	NA	NA	NA	3308	HSPA4	1.4571851576446	NA	NA
Q6PML9	bindingprot	NA	bindingprot	NA	NA	NA	10463	SLC30A9	0.0097478257967092	NA	NA
Q5JRX3	bindingprot	NA	bindingprot	NA	NA	NA	10531	PITRM1	0.147308925682988	NA	NA
Q00765	bindingprot	NA	bindingprot	NA	NA	NA	7905	REEP5	0.0347562829240467	0.3152	0
P48556	bindingprot	NA	bindingprot	NA	NA	NA	5714	PSMD8	0.116298831324945	0.26363	0
P38435	bindingprot	NA	bindingprot	NA	NA	NA	2677	GGCX	0.0125466412441333	NA	NA
Q9Y6D6	bindingprot;protein	NA	bindingprot	NA	NA	protein	10565	ARFGEF1	0.0582965764610896	NA	NA
Q9Y6D5	bindingprot;protein	NA	bindingprot	NA	NA	protein	10564	ARFGEF2	0.058296473778401	NA	NA
Q96JB5	bindingprot	NA	bindingprot	NA	NA	NA	80279	CDK5RAP3	0.0783766890861857	NA	NA
Q92538	bindingprot;protein	NA	bindingprot	NA	NA	protein	8729	GBF1	0.0705739945122911	NA	NA
Q8IZQ1	bindingprot	NA	bindingprot	NA	NA	NA	23001	WDFY3	0.0106521668712313	NA	NA
Q86UT6	bindingprot	NA	bindingprot	NA	NA	NA	79671	NLRX1	0.0283568845366394	NA	NA
Q6SZW1	bindingprot	NA	bindingprot	NA	NA	NA	23098	SARM1	0.0163747252585671	NA	NA
Q58EX7	bindingprot	NA	bindingprot	NA	NA	NA	25894	PLEKHG4	0.0146160653889422	NA	NA
Q16236	bindingprot;protein	NA	bindingprot	NA	NA	protein	4780	NFE2L2	0.215058871076918	NA	NA
Q15386	bindingprot	NA	bindingprot	NA	NA	NA	9690	UBE3C	0.113723694898974	NA	NA
Q15054	bindingprot;protein	NA	bindingprot	NA	NA	protein	10714	POLD3	0.109899250113067	NA	NA
Q03135	bindingprot	NA	bindingprot	NA	NA	NA	857	CAV1	0.207903197131241	NA	NA
P78545	bindingprot	NA	bindingprot	NA	NA	NA	1999	ELF3	0.114429845229227	NA	NA
P51636	bindingprot	NA	bindingprot	NA	NA	NA	858	CAV2	0.0838556666596112	NA	NA
P51617	bindingprot;protein	NA	bindingprot	NA	NA	protein	3654	IRAK1	0.176743949630685	NA	NA
P49810	bindingprot	NA	bindingprot	NA	NA	NA	5664	PSEN2	0.155137451219743	NA	NA
P49116	bindingprot;protein	NA	bindingprot	NA	NA	protein	7182	NR2C2	0.242316072486808	NA	NA
P19634	bindingprot	NA	bindingprot	NA	NA	NA	6548	SLC9A1	0.227419896113008	NA	NA
P07093	bindingprot	NA	bindingprot	NA	NA	NA	5270	SERPINE2	0.0193961872272022	NA	NA
O60674	bindingprot;protein	NA	bindingprot	NA	NA	protein	3717	JAK2	0.160245007013144	NA	NA
O43251	bindingprot	NA	bindingprot	NA	NA	NA	23543	RBFOX2	0.071377982048128	NA	NA
O00165	bindingprot	NA	bindingprot	NA	NA	NA	10456	HAX1	0.0521787084963038	NA	NA
P52948	bindingprot;protein	NA	bindingprot	NA	NA	protein	4928	NUP98	0.0714332255479589	NA	NA
P78406	bindingprot	NA	bindingprot	NA	NA	NA	8480	RAE1	0.0665215770628442	NA	NA
