Gene,pvalue,log2FoldChange,pct.1,pct.2,padj,comparison
SEP7,0.00023,-0.26601,0.87900,0.82400,1.00000,ciliated_sars_vs_healthy
SEP15,0.00000,0.34271,0.88200,0.67700,0.00000,ciliated_sars_vs_healthy
ABCA13,0.00000,-0.38062,0.92500,0.84200,0.01006,ciliated_sars_vs_healthy
ABCC5,0.00000,-0.41934,0.43400,0.47900,0.00000,ciliated_sars_vs_healthy
ABI2,0.00000,-0.28130,0.62300,0.57200,0.00083,ciliated_sars_vs_healthy
ABLIM1,0.00000,0.49304,0.93300,0.73400,0.00000,ciliated_sars_vs_healthy
ABRACL,0.00000,0.39247,0.86400,0.61800,0.00000,ciliated_sars_vs_healthy
AC110619.2,0.00000,0.35086,0.50300,0.08600,0.00000,ciliated_sars_vs_healthy
ACAP2,0.00000,-0.32747,0.85100,0.77500,0.00000,ciliated_sars_vs_healthy
ACOT11,0.00000,-0.31256,0.21200,0.37300,0.00000,ciliated_sars_vs_healthy
ACSL3,0.00000,0.26824,0.91000,0.74900,0.00000,ciliated_sars_vs_healthy
ADAM28,0.00000,-0.37614,0.87100,0.80100,0.00040,ciliated_sars_vs_healthy
ADH1B,0.00000,0.43293,0.69700,0.36300,0.00000,ciliated_sars_vs_healthy
ADI1,0.00000,0.46667,0.89600,0.69400,0.00000,ciliated_sars_vs_healthy
ADRM1,0.00000,0.30115,0.83700,0.58500,0.00000,ciliated_sars_vs_healthy
AGL,0.00000,-0.38706,0.63700,0.62800,0.00000,ciliated_sars_vs_healthy
AGO3,0.00000,-0.25740,0.54400,0.53000,0.00040,ciliated_sars_vs_healthy
AGR2,0.00000,2.11909,0.97100,0.91500,0.00000,ciliated_sars_vs_healthy
AHNAK,0.00000,-0.47702,0.95500,0.95900,0.00000,ciliated_sars_vs_healthy
AHNAK2,0.00000,-0.42447,0.15600,0.32700,0.00000,ciliated_sars_vs_healthy
AHSA2,0.00000,-0.25916,0.54700,0.53000,0.00180,ciliated_sars_vs_healthy
AKAP9,0.00000,-0.27327,0.93000,0.88000,0.00000,ciliated_sars_vs_healthy
AKR1A1,0.00000,0.52428,0.94800,0.85400,0.00000,ciliated_sars_vs_healthy
AKR1B10,0.00000,0.44697,0.58400,0.26800,0.00000,ciliated_sars_vs_healthy
