"source_genesymbol" "target_genesymbol" "from" "to" "consensus_stimulation" "consensus_inhibition"
"1" "AHR" "CYP1A1" "A0A024R9Z8" "A0N0X8" 1 0
"2" "AHR" "CYP1A2" "A0A024R9Z8" "P05177" 1 0
"3" "AHR" "CYP1B1" "A0A024R9Z8" "Q16678" 1 0
"4" "AHR" "FOS" "A0A024R9Z8" "P01100" 1 0
"5" "AHR" "MYC" "A0A024R9Z8" "A0A087WVR4" 1 0
"6" "AHR" "UGT1A6" "A0A024R9Z8" "P19224" 1 0
"7" "AHR" "ASAP1" "A0A024R9Z8" "A0A0A0MRE5" 1 0
"8" "AHR" "ERG" "A0A024R9Z8" "B4DN83" 1 0
"9" "AHR" "VGLL4" "A0A024R9Z8" "G5E9M7" 1 0
"10" "AHR" "ARHGAP15" "A0A024R9Z8" "Q53QZ3" 1 0
"11" "AHR" "ARID5B" "A0A024R9Z8" "Q14865" 1 0
"12" "AHR" "CREB5" "A0A024R9Z8" "Q02930" 1 0
"13" "AHR" "CTNNA1" "A0A024R9Z8" "G3XAM7" 1 0
"14" "AHR" "CTNNA2" "A0A024R9Z8" "P26232" 1 0
"15" "AHR" "DOCK4" "A0A024R9Z8" "Q8N1I0" 1 0
"16" "AHR" "EPB41L2" "A0A024R9Z8" "I6L9B1" 1 0
"17" "AHR" "FRMD4A" "A0A024R9Z8" "Q9NW91" 1 0
"18" "AHR" "GAS7" "A0A024R9Z8" "O60861" 1 0
"19" "AHR" "KAZN" "A0A024R9Z8" "Q674X7" 1 0
"20" "AHR" "KDM4C" "A0A024R9Z8" "Q9H3R0" 1 0
"21" "AHR" "LHFPL2" "A0A024R9Z8" "A0A024RAM8" 1 0
"22" "AHR" "MAP4K4" "A0A024R9Z8" "O95819" 1 0
"23" "AHR" "MAST4" "A0A024R9Z8" "J3QT34" 1 0
"24" "AHR" "MID1" "A0A024R9Z8" "A0A024RBV4" 1 0
"25" "AHR" "MYO1B" "A0A024R9Z8" "B0I1S9" 1 0
"26" "AHR" "NCOR2" "A0A024R9Z8" "C9JE98" 1 0
"27" "AHR" "NFATC2" "A0A024R9Z8" "Q13469" 1 0
"28" "AHR" "NRP2" "A0A024R9Z8" "O60462" 1 0
"29" "AHR" "PHACTR3" "A0A024R9Z8" "Q96KR7" 1 0
"30" "AHR" "PLCB1" "A0A024R9Z8" "Q9NQ66" 1 0
"31" "AHR" "RAPGEF4" "A0A024R9Z8" "Q8WZA2" 1 0
"32" "AHR" "RBMS1" "A0A024R9Z8" "A0A0S2Z499" 1 0
"33" "AHR" "RUNX1" "A0A024R9Z8" "Q01196" 1 0
"34" "AHR" "SIPA1L2" "A0A024R9Z8" "Q9P2F8" 1 0
"35" "AHR" "SLCO3A1" "A0A024R9Z8" "Q9UIG8" 1 0
"36" "AHR" "SOS1" "A0A024R9Z8" "Q07889" 1 0
"37" "AHR" "SULF2" "A0A024R9Z8" "Q8IWU5" 1 0
"38" "AHR" "TRIM37" "A0A024R9Z8" "O94972" 1 0
"39" "AHR" "TRIO" "A0A024R9Z8" "O75962" 1 0
"40" "AHR" "TRPS1" "A0A024R9Z8" "Q9UHF7" 1 0
"41" "AHR" "TSHZ2" "A0A024R9Z8" "Q9NRE2" 1 0
"42" "AHR" "UTRN" "A0A024R9Z8" "P46939" 1 0
"43" "AHR" "ZNF217" "A0A024R9Z8" "O75362" 1 0
"44" "AHR" "ZNF385D" "A0A024R9Z8" "Q9H6B1" 1 0
"45" "AR" "ABCE1" "P10275" "P61221" 1 0
"46" "AR" "ACAD10" "P10275" "Q6JQN1" 1 0
"47" "AR" "ACPP" "P10275" "P15309" 1 0
"48" "AR" "AHSG" "P10275" "P02765" 1 0
"49" "AR" "AKR1B1" "P10275" "A0A024R7A8" 1 0
"50" "AR" "AKR1C3" "P10275" "A0A0A0MSS8" 0 1
"51" "AR" "AKT1" "P10275" "B0LPE5" 1 0
"52" "AR" "ANAPC10" "P10275" "Q9UM13" 1 0
"53" "AR" "AP2M1" "P10275" "Q96CW1" 1 0
"54" "AR" "APPBP2" "P10275" "Q92624" 1 0
"55" "AR" "ATF6" "P10275" "A8K383" 1 0
"56" "AR" "ATM" "P10275" "A0A024R3C7" 1 0
"57" "AR" "ATP2B4" "P10275" "P23634" 1 0
"58" "AR" "BANF1" "P10275" "A0A024R5H0" 1 0
"59" "AR" "BTD" "P10275" "P43251" 1 0
"60" "AR" "C1orf21" "P10275" "A0A024R926" 1 0
"61" "AR" "CCNG2" "P10275" "A0A024RDC7" 1 0
"62" "AR" "CD4" "P10275" "B4DT49" 1 0
"63" "AR" "CDC6" "P10275" "A0A024R1S2" 1 0
"64" "AR" "CDH2" "P10275" "P19022" 1 0
"65" "AR" "CDKL5" "P10275" "O76039" 1 0
"66" "AR" "CDKN1A" "P10275" "A0A024RCX5" 1 0
"67" "AR" "CITED2" "P10275" "D9ZGF1" 1 0
"68" "AR" "COASY" "P10275" "Q13057" 1 0
"69" "AR" "CPT2" "P10275" "A0A140VK13" 1 0
"70" "AR" "CRISP1" "P10275" "A0A0K0K1I1" 1 0
"71" "AR" "CYCS" "P10275" "G4XXL9" 1 0
"72" "AR" "DBI" "P10275" "P07108" 1 0
"73" "AR" "DDC" "P10275" "P20711" 1 0
"74" "AR" "DDT" "P10275" "P30046" 1 0
"75" "AR" "DHX15" "P10275" "O43143" 1 0
"76" "AR" "EGFR" "P10275" "Q504U8" 1 0
"77" "AR" "ELF3" "P10275" "A0A024R974" 1 0
"78" "AR" "ERBB3" "P10275" "P21860" 1 0
"79" "AR" "ESRRA" "P10275" "P11474" 1 0
"80" "AR" "EYA2" "P10275" "O00167" 1 0
"81" "AR" "FAM174B" "P10275" "Q3ZCQ3" 1 0
"82" "AR" "FKBP5" "P10275" "Q13451" 1 0
"83" "AR" "FOXA1" "P10275" "P55317" 1 0
"84" "AR" "FXYD3" "P10275" "Q14802" 1 0
"85" "AR" "GLRX" "P10275" "A0A024RAM2" 1 0
"86" "AR" "GNL1" "P10275" "A0A024RCR2" 1 0
"87" "AR" "GRB10" "P10275" "Q13322" 1 0
"88" "AR" "GTF2F1" "P10275" "P35269" 1 0
"89" "AR" "HES1" "P10275" "Q14469" 1 0
"90" "AR" "HK2" "P10275" "P52789" 1 0
"91" "AR" "HLA-E" "P10275" "A8K8M6" 1 0
"92" "AR" "IFI35" "P10275" "P80217" 1 0
"93" "AR" "IGF1R" "P10275" "P08069" 1 0
"94" "AR" "IGFBP3" "P10275" "B3KPF0" 1 0
"95" "AR" "IL1R1" "P10275" "P14778" 1 0
"96" "AR" "JUN" "P10275" "P05412" 1 0
"97" "AR" "KCNH2" "P10275" "A0A090N8Q0" 1 0
"98" "AR" "KIAA1217" "P10275" "Q5T5P2" 0 1
"99" "AR" "KLF5" "P10275" "Q13887" 1 0
