Source.node	Target.node	Relationship	layer
cov-miR-1	Q12913	unknown	cov-bindingprot
cov-miR-1	P52948	unknown	cov-bindingprot
cov-miR-1	Q96LD8	unknown	cov-bindingprot
cov-miR-1	Q16659	unknown	cov-bindingprot
cov-miR-1	P17948	unknown	cov-bindingprot
cov-miR-1	P63151	unknown	cov-bindingprot
cov-miR-1	P61812	unknown	cov-bindingprot
cov-miR-1	Q5T753	unknown	cov-bindingprot
cov-miR-1	Q15375	unknown	cov-bindingprot
cov-miR-1	Q8IW19	unknown	cov-bindingprot
cov-miR-1	Q13705	unknown	cov-bindingprot
cov-miR-1	Q8TAA9	unknown	cov-bindingprot
cov-miR-1	Q68CZ1	unknown	cov-bindingprot
cov-miR-1	P41229	unknown	cov-bindingprot
cov-miR-1	Q9BYG5	unknown	cov-bindingprot
cov-miR-1	Q8IWW6	unknown	cov-bindingprot
cov-miR-1	Q9HCK4	unknown	cov-bindingprot
cov-miR-1	P42224	unknown	cov-bindingprot
cov-miR-1	Q5H9F3	unknown	cov-bindingprot
cov-miR-1	Q6P3W7	unknown	cov-bindingprot
cov-miR-2	P14859	unknown	cov-bindingprot
cov-miR-2	P51828	unknown	cov-bindingprot
cov-miR-2	Q13451	unknown	cov-bindingprot
cov-miR-2	P30533	unknown	cov-bindingprot
cov-miR-2	Q12879	unknown	cov-bindingprot
cov-miR-2	Q16534	unknown	cov-bindingprot
cov-miR-2	Q08999	unknown	cov-bindingprot
cov-miR-2	P26038	unknown	cov-bindingprot
cov-miR-3	P42830	unknown	cov-bindingprot
cov-miR-3	P49795	unknown	cov-bindingprot
cov-miR-3	Q8N474	unknown	cov-bindingprot
cov-miR-3	O75094	unknown	cov-bindingprot
cov-miR-3	P98164	unknown	cov-bindingprot
cov-miR-3	Q92747	unknown	cov-bindingprot
cov-miR-3	P28347	unknown	cov-bindingprot
cov-miR-3	O75177	unknown	cov-bindingprot
cov-miR-3	P26367	unknown	cov-bindingprot
cov-miR-3	Q9NWQ8	unknown	cov-bindingprot
cov-miR-3	Q03060	unknown	cov-bindingprot
cov-miR-3	P08473	unknown	cov-bindingprot
cov-miR-3	Q13596	unknown	cov-bindingprot
cov-miR-3	Q92769	unknown	cov-bindingprot
cov-miR-4	P53805	unknown	cov-bindingprot
cov-miR-4	Q8N8S7	unknown	cov-bindingprot
cov-miR-4	Q14188	unknown	cov-bindingprot
cov-miR-4	O00743	unknown	cov-bindingprot
cov-miR-4	P42830	unknown	cov-bindingprot
cov-miR-4	O14807	unknown	cov-bindingprot
cov-miR-4	P30533	unknown	cov-bindingprot
cov-miR-4	P24864	unknown	cov-bindingprot
cov-miR-4	Q13443	unknown	cov-bindingprot
cov-miR-4	Q9NVW2	unknown	cov-bindingprot
cov-miR-4	P61160	unknown	cov-bindingprot
cov-miR-4	Q9P0J1	unknown	cov-bindingprot
cov-miR-5	P28328	unknown	cov-bindingprot
cov-miR-5	Q14188	unknown	cov-bindingprot
cov-miR-5	Q6IMN6	unknown	cov-bindingprot
cov-miR-5	O75030	unknown	cov-bindingprot
cov-miR-5	Q9BTE1	unknown	cov-bindingprot
cov-miR-5	Q9NUQ3	unknown	cov-bindingprot
cov-miR-5	Q5VT25	unknown	cov-bindingprot
cov-miR-5	P80162	unknown	cov-bindingprot
