node	all_nodes	cov_layer	bindingprot_layer	tf_layer	deg_layer	ppi_layer	LinkerHeats	gene_symbol	log2FoldChange	padj
cov-miR-1	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-2	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-3	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-4	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-5	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-6	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-7	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-8	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-9	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-10	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-11	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-12	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-13	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-14	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-15	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-16	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-17	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-18	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
cov-miR-19	cov2	cov2	NA	NA	NA	NA	NA	NA	NA	NA
Q12913	bindingprot	NA	bindingprot	NA	NA	NA	0.235049783753636	PTPRJ	NA	NA
P52948	bindingprot	NA	bindingprot	NA	NA	NA	0.0714333492648625	NUP98	NA	NA
Q96LD8	bindingprot	NA	bindingprot	NA	NA	NA	0.0293298100166946	SENP8	NA	NA
Q16659	bindingprot	NA	bindingprot	NA	NA	NA	0.168636552767002	MAPK6	NA	NA
P17948	bindingprot;protein	NA	bindingprot	NA	NA	protein	0.231416787625994	FLT1	NA	NA
P63151	bindingprot	NA	bindingprot	NA	NA	NA	0.209788570328263	PPP2R2A	NA	NA
P61812	bindingprot;protein	NA	bindingprot	NA	NA	protein	0.186194184824281	TGFB2	NA	NA
Q5T753	bindingprot	NA	bindingprot	NA	NA	NA	0.0271169127917327	LCE1E	NA	NA
Q15375	bindingprot;protein	NA	bindingprot	NA	NA	protein	0.289511629025993	EPHA7	NA	NA
Q8IW19	bindingprot	NA	bindingprot	NA	NA	NA	0.0289099712583782	APLF	NA	NA
Q13705	bindingprot	NA	bindingprot	NA	NA	NA	0.200480764528905	ACVR2B	NA	NA
Q8TAA9	bindingprot	NA	bindingprot	NA	NA	NA	0.0295751910054604	VANGL1	NA	NA
Q68CZ1	bindingprot	NA	bindingprot	NA	NA	NA	0.12799248299426	RPGRIP1L	NA	NA
