"all_nodes_mirna","all_nodes_protein","gene_symbol_mirna","gene_symbol_protein","log2FoldChange_mirna","log2FoldChange_protein","Matching.Attribute","name","padj_mirna","padj_protein","selected","shared name","source_node"
"cov2",,"NA",,,,"cov-miR-1","cov-miR-1",,,"false","cov-miR-1","viralmirna"
"bindingprot",,"SENP8",,,,"Q96LD8","Q96LD8",,,"false","Q96LD8","viralmirna"
"bindingprot",,"LCE1E",,,,"Q5T753","Q5T753",,,"false","Q5T753","viralmirna"
"bindingprot",,"APLF",,,,"Q8IW19","Q8IW19",,,"false","Q8IW19","viralmirna"
"bindingprot",,"ACVR2B",,,,"Q13705","Q13705",,,"false","Q13705","viralmirna"
"bindingprot",,"VANGL1",,,,"Q8TAA9","Q8TAA9",,,"false","Q8TAA9","viralmirna"
"bindingprot",,"RPGRIP1L",,,,"Q68CZ1","Q68CZ1",,,"false","Q68CZ1","viralmirna"
"bindingprot",,"KDM5C",,,,"P41229","P41229",,,"false","P41229","viralmirna"
"bindingprot",,"PARD6B",,,,"Q9BYG5","Q9BYG5",,,"false","Q9BYG5","viralmirna"
"bindingprot",,"ARHGAP12",,,,"Q8IWW6","Q8IWW6",,,"false","Q8IWW6","viralmirna"
"bindingprot;protein",,"ROBO2",,,,"Q9HCK4","Q9HCK4",,,"false","Q9HCK4","viralmirna"
"bindingprot",,"BCORL1",,,,"Q5H9F3","Q5H9F3",,,"false","Q5H9F3","viralmirna"
"bindingprot",,"SCYL2",,,,"Q6P3W7","Q6P3W7",,,"false","Q6P3W7","viralmirna"
"cov2",,"NA",,,,"cov-miR-2","cov-miR-2",,,"false","cov-miR-2","viralmirna"
"bindingprot",,"FKBP5",,,,"Q13451","Q13451",,,"false","Q13451","viralmirna"
"bindingprot",,"LRPAP1",,,,"P30533","P30533",,,"false","P30533","viralmirna"
"bindingprot",,"HLF",,"-0.43278",,"Q16534","Q16534","0.0",,"false","Q16534","viralmirna"
"cov2",,"NA",,,,"cov-miR-3","cov-miR-3",,,"false","cov-miR-3","viralmirna"
"bindingprot",,"RGS19",,,,"P49795","P49795",,,"false","P49795","viralmirna"
"bindingprot",,"SLIT3",,,,"O75094","O75094",,,"false","O75094","viralmirna"
"bindingprot",,"LRP2",,,,"P98164","P98164",,,"false","P98164","viralmirna"
"bindingprot",,"ARPC1A",,,,"Q92747","Q92747",,,"false","Q92747","viralmirna"
"bindingprot",,"SS18L1",,,,"O75177","O75177",,,"false","O75177","viralmirna"
"bindingprot;protein",,"PAX6",,,,"P26367","P26367",,,"false","P26367","viralmirna"
"bindingprot",,"MME",,,,"P08473","P08473",,,"false","P08473","viralmirna"
"cov2",,"NA",,,,"cov-miR-4","cov-miR-4",,,"false","cov-miR-4","viralmirna"
"bindingprot",,"ENAH",,"-0.26073",,"Q8N8S7","Q8N8S7","0.00251",,"false","Q8N8S7","viralmirna"
"bindingprot",,"PPP6C",,,,"O00743","O00743",,,"false","O00743","viralmirna"
"bindingprot",,"RLIM",,,,"Q9NVW2","Q9NVW2",,,"false","Q9NVW2","viralmirna"
"bindingprot;protein",,"ACTR2",,,,"P61160","P61160",,,"false","P61160","viralmirna"
"bindingprot",,"PDP1",,,,"Q9P0J1","Q9P0J1",,,"false","Q9P0J1","viralmirna"
"cov2",,"NA",,,,"cov-miR-5","cov-miR-5",,,"false","cov-miR-5","viralmirna"
"bindingprot",,"CAPRIN2",,,,"Q6IMN6","Q6IMN6",,,"false","Q6IMN6","viralmirna"
"bindingprot",,"DCTN5",,,,"Q9BTE1","Q9BTE1",,,"false","Q9BTE1","viralmirna"
"bindingprot",,"CDC42BPA",,,,"Q5VT25","Q5VT25",,,"false","Q5VT25","viralmirna"
"bindingprot",,"CXCL6",,"1.14427",,"P80162","P80162","0.0",,"false","P80162","viralmirna"
