gene_symbol,name,source_node,all_nodes_mirna,all_nodes,log2FoldChange,padj,all_nodes_protein,selected,shared name
AAK1,Q2M2I8,viralmirna,bindingprot,bindingprot,,,,FALSE,Q2M2I8
AATK,Q6ZMQ8,viralmirna,protein,protein,,,,FALSE,Q6ZMQ8
ABCA1,O95477,viralmirna,protein,protein,,,,FALSE,O95477
ACTR2,P61160,viralmirna,bindingprot;protein,bindingprot;protein,,,,FALSE,P61160
ACVR1C,Q8NER5,viralmirna,bindingprot;protein,bindingprot;protein,,,,FALSE,Q8NER5
ACVR2B,Q13705,viralmirna,bindingprot,bindingprot,,,,FALSE,Q13705
AMH,P03971,viralmirna,protein,protein,,,,FALSE,P03971
AMOT,Q4VCS5,viralmirna,bindingprot,bindingprot,,,,FALSE,Q4VCS5
ANAPC13,Q9BS18,viralmirna,protein,protein,,,,FALSE,Q9BS18
ANGPT1,Q15389,viralmirna,protein,protein,,,,FALSE,Q15389
ANGPT2,O15123,viralmirna,protein,protein,,,,FALSE,O15123
APC2,O95996,viralmirna,bindingprot,bindingprot,,,,FALSE,O95996
APLF,Q8IW19,viralmirna,bindingprot,bindingprot,,,,FALSE,Q8IW19
APOA1,P02647,viralmirna,protein,protein,,,,FALSE,P02647
ARHGAP12,Q8IWW6,viralmirna,bindingprot,bindingprot,,,,FALSE,Q8IWW6
ARHGAP20,Q9P2F6,viralmirna,bindingprot,bindingprot,,,,FALSE,Q9P2F6
ARHGAP32,A7KAX9,viralmirna,bindingprot,bindingprot,,,,FALSE,A7KAX9
ARHGEF4,Q9NR80,viralmirna,protein,protein,,,,FALSE,Q9NR80
ARHGEF6,Q15052,viralmirna,protein,protein,,,,FALSE,Q15052
ARHGEF7,Q14155,viralmirna,protein,protein,,,,FALSE,Q14155
ARID1A,O14497,viralmirna,bindingprot,bindingprot,,,,FALSE,O14497
ARPC1A,Q92747,viralmirna,bindingprot,bindingprot,,,,FALSE,Q92747
ASPH,Q12797,viralmirna,bindingprot,bindingprot,,,,FALSE,Q12797
ASXL2,Q76L83,viralmirna,bindingprot,bindingprot,,,,FALSE,Q76L83
BACH1,O14867,viralmirna,bindingprot,bindingprot,,,,FALSE,O14867
BCL10,O95999,viralmirna,protein,protein,,,,FALSE,O95999
BCORL1,Q5H9F3,viralmirna,bindingprot,bindingprot,,,,FALSE,Q5H9F3
BFAR,Q9NZS9,viralmirna,protein,protein,,,,FALSE,Q9NZS9
BMP6,P22004,viralmirna,protein,protein,,,,FALSE,P22004
BMP8A,Q7Z5Y6,viralmirna,protein,protein,,,,FALSE,Q7Z5Y6
BMP8B,P34820,viralmirna,protein,protein,,,,FALSE,P34820
CADM1,Q9BY67,viralmirna,bindingprot,bindingprot,,,,FALSE,Q9BY67
CAPRIN2,Q6IMN6,viralmirna,bindingprot,bindingprot,,,,FALSE,Q6IMN6
CASP1,P29466,viralmirna,protein,protein,,,,FALSE,P29466
CAST,P20810,viralmirna,protein,protein,-0.2878,0,,FALSE,P20810
CBX4,O00257,viralmirna,protein,protein,,,,FALSE,O00257
CCL16,O15467,viralmirna,bindingprot,bindingprot,,,,FALSE,O15467
CCL22,O00626,viralmirna,protein,protein,,,,FALSE,O00626
CCL4L1,P13236,viralmirna,protein,protein,,,,FALSE,P13236
CCNC,P24863,viralmirna,protein,protein,,,,FALSE,P24863
CCNG1,P51959,viralmirna,bindingprot,bindingprot,,,,FALSE,P51959
CCNT1,O60563,viralmirna,protein,protein,,,,FALSE,O60563
CD14,P08571,viralmirna,protein,protein,,,,FALSE,P08571
CD19,P15391,viralmirna,protein,protein,,,,FALSE,P15391
CD34,P28906,viralmirna,bindingprot,bindingprot,,,,FALSE,P28906
CD36,P16671,viralmirna,protein,protein,,,,FALSE,P16671
CD40LG,P29965,viralmirna,protein,protein,,,,FALSE,P29965
CD59,P13987,viralmirna,bindingprot,bindingprot,,,,FALSE,P13987
CD79A,P11912,viralmirna,protein,protein,,,,FALSE,P11912
CDC42BPA,Q5VT25,viralmirna,bindingprot,bindingprot,,,,FALSE,Q5VT25
CDC6,Q99741,viralmirna,protein,protein,,,,FALSE,Q99741
