ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0044257	cellular protein catabolic process	66/511	399/5662	4.61041385990509e-07	0.00204195229855196	0.00190774072455652	P11021/O95816/P09958/P07858/P07711/P46379/Q9UMX0/Q9ULT6/Q9BT67/P60520/P48506/P40818/P09936/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q96JB5/Q15386/Q9UNM6/Q13438/P61289/P0DMV8/P19784/P05161/O94973/P25789/P35241/O76064/Q9H4P4/P60033/P51572/O60238/Q5XUX0/P98082/Q13362/P17980/Q13309/Q13501/Q9HCE7/P21580/P46934/P62714/Q92990/Q96RU2/P54727/P49459/P12544/O60566/O95714/P61088/P32121/Q07954/Q96FA3/Q8IXJ6/P49427/P53680/P48730/Q9NR09/Q9Y3C5/Q9UNN5/O15516	66
GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	33/511	168/5662	1.19674905358043e-05	0.0132510038957693	0.0123800540253281	Q8IWR1/Q9BT67/Q15025/P62942/O14763/P36941/O60885/Q86UT6/P51617/Q9NR30/Q86UE4/P37198/O75688/Q9UHD2/Q04724/Q969V5/Q92633/P17302/Q15139/Q9HC29/Q13501/Q15628/Q16610/P08134/P21580/Q8N5C8/O15519/P61088/Q8NFZ5/Q96FA3/Q99732/P78324/P26447	33
GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	19/511	73/5662	1.58226692354836e-05	0.0140157204087914	0.0130945079504602	P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q96JB5/Q9UNM6/P61289/P25789/Q9H2K8/P17980/O60921/Q13642/O60934/P52926/Q9UL54	19
GO:1902750	negative regulation of cell cycle G2/M phase transition	20/511	81/5662	2.21324880138491e-05	0.0162711902549689	0.0152017323364625	P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q96JB5/Q9UNM6/P61289/P25789/Q9H2K8/P17980/O60921/Q13642/O60934/P52926/Q9UL54/Q96RL1	20
GO:0043632	modification-dependent macromolecule catabolic process	52/511	333/5662	4.4268050362307e-05	0.0217847994505175	0.0203529480671613	P11021/P46379/Q9UMX0/Q9ULT6/Q9BT67/P48506/P40818/P09936/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q15386/Q9UNM6/Q13438/P61289/P0DMV8/P19784/P05161/P25789/O76064/P51572/Q5XUX0/P98082/Q13362/P17980/Q13309/Q13501/Q9HCE7/P21580/P46934/P62714/Q92990/Q96RU2/P54727/P49459/O60566/O95714/P61088/P32121/Q96FA3/Q8IXJ6/P49427/P48730/Q9NR09/Q9Y3C5/Q9UNN5/O15516	52
GO:0070498	interleukin-1-mediated signaling pathway	21/511	93/5662	5.84936807670826e-05	0.0235516829197645	0.0220036994349667	P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/P51617/Q9UNM6/P61289/P25789/P17980/Q9HC29/Q13501/Q8N5C8/P01583/P61088/Q8NFZ5/Q96FA3/Q9Y616	21
GO:0042129	regulation of T cell proliferation	24/511	117/5662	9.17868610069089e-05	0.0296697941197981	0.027719685015015	Q9NNX6/Q12959/P41273/P17693/O75509/Q96EY1/P28068/P60033/P32970/P01344/Q15109/P41159/P10747/P42081/P43403/F7VJQ1/P33681/Q92990/Q14623/P20333/P08575/P13501/Q96FA3/P18065	24
GO:0045088	regulation of innate immune response	37/511	217/5662	9.37857569828795e-05	0.0296697941197981	0.027719685015015	P78527/Q9NNX6/Q9NSU2/Q29983/Q14114/P17693/P15151/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q86UT6/Q9UNM6/P61289/P25789/Q9UHD2/Q86WV6/Q969V5/P17980/P41159/P08631/Q9UKG1/P16885/P21580/Q8N5C8/P18031/P32121/P13501/Q99706/O14944/Q9Y616/Q08211/P15941	37
GO:0060071	Wnt signaling pathway, planar cell polarity pathway	20/511	91/5662	0.000130507479994978	0.03612610180611	0.0337516384118592	Q9ULT6/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q9UNM6/P61289/O94973/P25789/P98082/P17980/Q9HCE7/Q9NPB6/P32121/P07737/P53680	20
GO:0090175	regulation of establishment of planar polarity	20/511	91/5662	0.000130507479994978	0.03612610180611	0.0337516384118592	Q9ULT6/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q9UNM6/P61289/O94973/P25789/P98082/P17980/Q9HCE7/Q9NPB6/P32121/P07737/P53680	20
GO:0044839	cell cycle G2/M phase transition	33/511	189/5662	0.000140899570572506	0.0365207867784838	0.0341203818911765	Q9ULX6/O60885/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q96JB5/Q13561/Q9UNM6/P61289/P62140/P25789/O43823/Q96SN8/O95684/Q9H2K8/P17980/P0DP24/Q13309/O60921/Q13642/O60934/P52926/Q9UL54/P54652/Q96RL1/P48730/Q6PGQ7/Q07666	33
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	16/511	65/5662	0.000151900004425209	0.0365207867784838	0.0341203818911765	P17693/P10321/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q9UNM6/P30101/P61289/P25789/P17980/P01889	16
GO:0034199	activation of protein kinase A activity	7/511	15/5662	0.000158330279147637	0.0365207867784838	0.0341203818911765	O60503/O43306/P13861/Q8NFM4/P31321/O60266/O95622	7
GO:0061041	regulation of wound healing	20/511	93/5662	0.000178956469963459	0.0365207867784838	0.0341203818911765	P08758/Q9Y6D6/P07093/P07225/P00749/P17302/Q15109/Q99075/P42680/Q03405/P21580/P04085/P04004/P13726/P04070/P00747/Q86YL7/P10646/Q03181/Q9Y251	20
GO:0032088	negative regulation of NF-kappaB transcription factor activity	13/511	47/5662	0.000179806594259111	0.0365207867784838	0.0341203818911765	Q86VP1/Q96JB5/P51617/Q9UN86/Q53GL7/P21580/Q99653/P32121/Q96P20/Q13114/Q96FA3/Q9Y616/Q9UNN5	13
GO:0019058	viral life cycle	35/511	209/5662	0.000209007476391674	0.0365207867784838	0.0341203818911765	P08865/P09958/Q9BYF1/P07858/Q9NNX6/Q8IWR1/Q15025/P20339/P15151/P51636/P78406/Q8N1F7/Q5SRE5/P0DMV8/P11940/P78362/Q53GL7/P05161/Q8TEM1/Q99567/P37198/P60033/O95832/P07237/P10747/Q9Y624/P42081/Q12824/P33681/O75116/Q92786/P52926/O75747/P13501/Q9UKX7	35
GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	16/511	67/5662	0.000222200718133158	0.0365207867784838	0.0341203818911765	P17693/P10321/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q9UNM6/P30101/P61289/P25789/P17980/P01889	16
GO:0016579	protein deubiquitination	30/511	170/5662	0.000232538089792071	0.0365207867784838	0.0341203818911765	Q15025/P40818/P09936/O75886/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q9UNM6/P61289/Q9BYX4/P25789/O95786/Q9Y265/P17980/Q13309/Q92783/O75528/P21580/Q96RU2/P54727/P32121/Q8NFZ5/Q96P20/Q13114/Q96RL1	30
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	17/511	74/5662	0.000235509804759011	0.0365207867784838	0.0341203818911765	P17693/P10321/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q9UNM6/P30101/P61289/P25789/P51572/P17980/P01889	17
GO:0031347	regulation of defense response	61/511	435/5662	0.000239129107377744	0.0365207867784838	0.0341203818911765	P78527/Q9BYF1/Q9NNX6/Q9NSU2/Q99650/Q29983/Q15025/Q14114/P17693/P15151/O60885/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q86UT6/Q9UNM6/P61289/P25789/O75688/Q9UHD2/O95786/Q86WV6/Q969V5/P60033/P17302/Q15109/P17980/P41159/Q9HC29/P08631/P10747/Q15628/Q9UKG1/P16885/P21580/Q8N5C8/P18031/P10147/P04070/O60603/P20333/P32121/P08575/P13501/Q99706/Q96P20/O14944/P01019/Q13114/Q8IXJ6/P78324/Q9Y616/Q08211/Q03181/P15941/O15516	61
GO:0070555	response to interleukin-1	29/511	163/5662	0.000255301270986233	0.037110269886583	0.0346711199924321	P48506/P28907/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/P51617/Q9UNM6/P61289/P25789/Q08117/P17980/Q9HC29/Q13501/Q8N5C8/P01583/Q99801/P10147/P61088/P13501/Q8NFZ5/Q96FA3/P78324/Q9Y616/P10646	29
GO:0071377	cellular response to glucagon stimulus	7/511	16/5662	0.000259746752423588	0.037110269886583	0.0346711199924321	O60503/O43306/P13861/Q8NFM4/P31321/O60266/O95622	7
GO:0032608	interferon-beta production	11/511	37/5662	0.000282135758920969	0.0371272201630805	0.0346869561766514	Q86UT6/Q9BYX4/O75688/Q9UHD2/O95786/Q86WV6/Q13568/O60603/Q13114/P78324/Q08211	11
GO:0043487	regulation of RNA stability	23/511	118/5662	0.000284830292952898	0.0371272201630805	0.0346869561766514	P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q9UNM6/P61289/Q13151/P0DMV8/P11940/Q92945/P25789/P17980/Q01105/O75116/P27695/Q00839/P20333/Q13464/Q08211	23
GO:0003091	renal water homeostasis	9/511	26/5662	0.000285013656704614	0.0371272201630805	0.0346869561766514	P15313/O60503/O43306/P13861/P01185/Q8NFM4/P31321/O60266/O95622	9
GO:1904754	positive regulation of vascular associated smooth muscle cell migration	6/511	12/5662	0.000302092015774425	0.0382275867961409	0.0357149989175719	Q96N67/Q9UHI8/P46940/Q92570/P01019/Q07954	6
GO:0001736	establishment of planar polarity	20/511	97/5662	0.000325194838830573	0.0389267011129894	0.0363681624877093	Q9ULT6/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q9UNM6/P61289/O94973/P25789/P98082/P17980/Q9HCE7/Q9NPB6/P32121/P07737/P53680	20
GO:0007164	establishment of tissue polarity	20/511	97/5662	0.000325194838830573	0.0389267011129894	0.0363681624877093	Q9ULT6/P62195/Q15008/P51665/P62191/Q13200/P35998/Q99460/P48556/Q9UNM6/P61289/O94973/P25789/P98082/P17980/Q9HCE7/Q9NPB6/P32121/P07737/P53680	20
GO:0042102	positive regulation of T cell proliferation	16/511	70/5662	0.000380011132398717	0.041858494173458	0.0391072573340455	Q9NNX6/P41273/Q96EY1/P28068/P60033/P32970/P01344/Q15109/P41159/P10747/P42081/P43403/P33681/P08575/P13501/P18065	16
