ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-163615	PKA activation	10/432	17/4579	5.35271252186402e-07	0.000531524353421098	0.000423146010938935	115/112/5576/801/805/808/196883/5575/109/111	10
R-HSA-111931	PKA-mediated phosphorylation of CREB	10/432	19/4579	2.13525532327064e-06	0.00106015426800387	0.0008439877619875	115/112/5576/801/805/808/196883/5575/109/111	10
R-HSA-164378	PKA activation in glucagon signalling	8/432	15/4579	2.08825198151985e-05	0.0069121140588307	0.00550272715130318	115/112/2778/5576/196883/5575/109/111	8
R-HSA-9020702	Interleukin-1 signaling	23/432	100/4579	3.71536111261244e-05	0.00781604090033031	0.00622234241389523	5705/9861/5713/5700/5708/5701/5707/5714/3654/5719/10197/5685/177/5702/64127/8878/257397/4791/3552/7334/79155/57162/11213	23
R-HSA-162909	Host Interactions of HIV factors	25/432	114/4579	4.04933019728386e-05	0.00781604090033031	0.00622234241389523	5705/9861/5713/5700/5708/5701/5707/5714/8480/5719/9688/23511/10197/23225/4927/23636/161/5685/5702/3055/940/8905/926/1175/10762	25
R-HSA-5619115	Disorders of transmembrane transporters	22/432	95/4579	4.90436118751328e-05	0.00781604090033031	0.00622234241389523	682/5705/9861/5713/5700/5708/5701/5707/5714/8480/5719/9688/23511/10956/10197/23225/4927/23636/5685/551/5702/10762	22
R-HSA-5358351	Signaling by Hedgehog	25/432	116/4579	5.50979721070616e-05	0.00781604090033031	0.00622234241389523	115/112/5705/9861/5713/5700/5708/5701/5707/5714/5719/2778/10956/10197/5685/5576/5702/5034/57154/196883/3549/5575/409/109/111	25
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	15/432	53/4579	7.04897681943044e-05	0.00869632322282222	0.00692313429834048	5705/9861/5713/5700/5708/5701/5707/5714/5719/10197/3303/3304/26986/5685/5702	15
R-HSA-9006925	Intracellular signaling by second messengers	44/432	262/4579	7.88186394817724e-05	0.00869632322282222	0.00692313429834048	6009/115/112/5705/9861/5713/5700/5708/5701/5707/5714/3654/5719/10197/1460/1459/5931/5685/5576/5527/5702/801/805/808/940/23396/1839/942/4734/5154/5516/4254/23028/8395/941/196883/5575/8396/64223/2069/8394/109/111/2444	44
R-HSA-5358346	Hedgehog ligand biogenesis	15/432	55/4579	0.000112397902502002	0.0109703680970906	0.0087334991688292	5705/9861/5713/5700/5708/5701/5707/5714/5719/10956/10197/5685/5702/5034/3549	15
R-HSA-114608	Platelet degranulation 	18/432	74/4579	0.000121524722122856	0.0109703680970906	0.0087334991688292	3309/10487/308/5627/3481/801/805/808/1893/5154/87/81/5340/5216/7094/334/7450/88	18
R-HSA-69481	G2/M Checkpoints	25/432	123/4579	0.000150757431709143	0.0124751774739315	0.00993147642224264	5705/9861/5713/5700/5708/5701/5707/5714/5719/10197/5685/9025/5883/5702/7486/10111/3364/5810/4683/8924/7334/7158/84126/51720/83990	25
R-HSA-8948751	Regulation of PTEN stability and activity	16/432	63/4579	0.000168000812743354	0.0128326774657039	0.010216081811357	5705/9861/5713/5700/5708/5701/5707/5714/5719/10197/1460/1459/5685/5702/4734/2444	16
R-HSA-5387390	Hh mutants abrogate ligand secretion	14/432	52/4579	0.000220520402243353	0.0152157570943404	0.0121132491417286	5705/9861/5713/5700/5708/5701/5707/5714/5719/10956/10197/5685/5702/3549	14
R-HSA-1236974	ER-Phagosome pathway	17/432	71/4579	0.000229845273328405	0.0152157570943404	0.0121132491417286	3135/3107/5705/9861/5713/5700/5708/5701/5707/5714/5719/2923/10197/5685/5702/7097/3106	17
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	18/432	78/4579	0.000248860760001913	0.0153167075374812	0.012193615689456	3309/10487/308/5627/3481/801/805/808/1893/5154/87/81/5340/5216/7094/334/7450/88	18
R-HSA-4086400	PCP/CE pathway	19/432	85/4579	0.00026221956509283	0.0153167075374812	0.012193615689456	5705/9861/5713/5700/5708/5701/5707/5714/5719/10197/161/5685/5702/57154/5881/50855/409/5216/1175	19
R-HSA-5610787	Hedgehog 'off' state	20/432	93/4579	0.000315032208663236	0.0173792768445885	0.0138356250705316	115/112/5705/9861/5713/5700/5708/5701/5707/5714/5719/2778/10197/5685/5576/5702/196883/5575/109/111	20
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	14/432	54/4579	0.000339147737834735	0.0177249317720996	0.0141108006157278	3309/9532/7266/3308/8480/9688/23511/3303/3304/23225/4927/23636/3306/10762	14
R-HSA-5688426	Deubiquitination	33/432	191/4579	0.00037321650959971	0.0180035895867155	0.0143326398257522	10318/9101/7345/10254/5705/9861/5713/5700/5708/5701/5707/5714/5719/10197/64135/5685/23586/8607/79594/23770/5702/64127/6502/8027/10474/7128/57646/5887/409/79155/114548/7187/51720	33
R-HSA-432040	Vasopressin regulates renal water homeostasis via Aquaporins	11/432	37/4579	0.00041053990090652	0.0180035895867155	0.0143326398257522	115/112/2778/2787/5576/551/2792/196883/5575/109/111	11
R-HSA-5678895	Defective CFTR causes cystic fibrosis	13/432	49/4579	0.000431685696062848	0.0180035895867155	0.0143326398257522	5705/9861/5713/5700/5708/5701/5707/5714/5719/10956/10197/5685/5702	13
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	12/432	43/4579	0.000431782484598927	0.0180035895867155	0.0143326398257522	5705/9861/5713/5700/5708/5701/5707/5714/5719/10197/5685/5702	12
R-HSA-1236975	Antigen processing-Cross presentation	18/432	82/4579	0.000479780127843746	0.0180035895867155	0.0143326398257522	1514/3135/3107/5705/9861/5713/5700/5708/5701/5707/5714/5719/2923/10197/5685/5702/7097/3106	18
R-HSA-5607764	CLEC7A (Dectin-1) signaling	20/432	96/4579	0.000489774531395627	0.0180035895867155	0.0143326398257522	5705/9861/5713/5700/5708/5701/5707/5714/5719/10197/5685/5702/801/805/808/5336/257397/4791/7334/997	20
R-HSA-446652	Interleukin-1 family signaling	24/432	125/4579	0.000499297945437994	0.0180035895867155	0.0143326398257522	5705/9861/5713/5700/5708/5701/5707/5714/3654/5719/10197/5685/29110/177/5702/64127/8878/257397/4791/3552/7334/79155/57162/11213	24
R-HSA-5362768	Hh mutants that don't undergo autocatalytic processing are degraded by ERAD	13/432	50/4579	0.000534349807447697	0.0180035895867155	0.0143326398257522	5705/9861/5713/5700/5708/5701/5707/5714/5719/10956/10197/5685/5702	13
R-HSA-163359	Glucagon signaling in metabolic regulation	9/432	27/4579	0.000543425018445789	0.0180035895867155	0.0143326398257522	115/112/2778/2787/5576/196883/5575/109/111	9
