ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-5663202	Diseases of signal transduction	170/874	326/4579	1.49240198439262e-44	1.69686105625441e-41	8.76589797148509e-42	60/6868/207/208/10000/324/369/374/408/8312/572/10018/673/801/805/808/815/816/817/818/842/867/1024/1026/1027/1147/1385/1387/1445/1452/1487/1499/8454/28514/1950/1956/2033/2064/2065/2066/2099/2100/55294/2246/8822/8817/2247/26281/27006/8074/2250/2252/2253/2254/2260/2263/2261/2264/2335/2308/2309/4303/10818/2534/8322/7855/8323/8325/2549/9846/2885/2931/2932/2962/3065/3066/8841/9759/10014/10013/51564/55869/9734/3280/3082/3265/3320/3667/8660/3674/3690/182/3717/2648/8850/3815/3845/8844/3932/4040/9208/5604/5605/5594/5595/4193/4233/2475/4609/9611/9612/4851/3164/4893/3084/5155/5156/5159/5290/5291/5293/5295/5296/8503/5335/5431/5432/5439/5515/5518/5519/5528/5663/5687/5688/5694/5717/5728/5781/5879/5880/5894/5906/5908/3516/9978/6199/6464/6500/4087/4088/4089/6654/6714/6772/6774/6776/6777/79718/6934/7039/7040/7046/7048/8805/7314/7409/89780/7529/9372	170
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	192/874	397/4579	3.07088134321652e-44	1.74579604361859e-41	9.01869362902537e-42	60/6868/207/208/10000/1173/374/382/466/558/9564/627/673/801/805/808/857/867/998/1020/1111/1278/1385/1398/1399/1445/1495/1499/1500/6387/1729/1793/1950/1956/2002/2064/2065/2066/2099/2241/2246/8822/8817/2247/26281/27006/8074/2250/2252/2253/2254/2260/2263/2261/2264/2321/2322/2324/2335/10818/2534/2549/9846/10750/2887/2885/2962/3082/9146/3265/3320/3315/3479/3480/3643/3667/8660/8471/83737/3673/3675/3685/3688/3690/3717/3791/3815/3845/284217/3932/4067/5604/5605/5594/5600/6300/5603/1432/5595/5598/9261/4205/4208/4233/4318/4486/2475/653361/4690/9611/25920/4893/3084/4915/55824/5058/5062/5155/80310/5156/5159/5289/5290/5291/5295/5296/8503/5327/5335/5431/5432/5439/5515/5518/5519/5528/5566/5567/5578/5579/5580/5581/5590/5663/5725/5747/2185/5753/5781/5782/5771/5777/5795/5829/5879/5906/5908/2889/5921/23543/387/6195/6196/6197/9252/6464/25759/53358/8651/6654/8877/6696/6714/6772/6774/6776/6777/6778/3925/10273/23118/7039/7314/7409/7410/10451/7422/7424/11059/10413/7525/7529	192
R-HSA-449147	Signaling by Interleukins	178/874	407/4579	1.98963780808963e-33	7.54072729265971e-31	3.89550139268075e-31	207/301/302/351/375/466/1386/596/598/8945/836/867/6347/595/1230/1234/920/998/1026/1147/1278/1385/1398/1399/1436/1437/1438/1439/8454/2919/2002/356/2247/2335/2353/2308/2309/2534/9846/2625/2885/3082/3091/3162/3320/7184/3312/3383/3458/3551/8517/3586/3592/3593/3594/3595/3596/3605/3606/3553/3554/3557/3559/3560/3561/9235/3563/3565/3566/3567/3569/3572/3635/3667/8660/3684/3688/3689/3716/3717/3718/3725/3726/3932/3976/4067/5604/6416/5608/4215/6885/5594/5602/5600/1432/5595/5598/5599/5601/9261/4205/4208/4282/4312/4313/4318/4478/4609/4790/4792/4843/5062/27250/5290/5291/5293/5295/5296/8503/5292/5443/5451/5515/5518/5519/5528/5566/5687/5688/5694/5717/5724/5743/2185/5781/5782/5771/5777/5778/5908/2889/9978/5970/6195/6196/6197/9252/6288/6382/6464/6500/4088/8651/8835/9021/9655/6648/6654/6772/6773/6774/6776/6777/6778/6850/10454/23118/7040/7124/7132/7157/7189/7297/7314/7409/7422/7525/7534	178
R-HSA-2219528	PI3K/AKT Signaling in Cancer	68/874	92/4579	1.07059919622455e-30	3.0431782152683e-28	1.57209039866658e-28	207/208/10000/374/572/842/1026/1027/1147/1385/1950/1956/2064/2065/2066/2099/2100/2246/8822/8817/2247/26281/27006/8074/2250/2252/2253/2254/2260/2263/2261/2264/2308/2309/4303/10818/2534/2549/2885/2931/2932/3082/3667/8660/3815/3932/4193/4233/2475/3164/3084/5155/5156/5159/5290/5291/5293/5295/5296/8503/5728/5781/5879/5880/6199/6714/7039/7409	68
R-HSA-9006925	Intracellular signaling by second messengers	122/874	262/4579	1.2206896747245e-25	2.53354702618203e-23	1.30881751665007e-23	107/108/113/207/208/10000/374/1386/572/801/805/808/815/816/817/818/814/84254/10645/842/1026/1027/1147/1385/1457/1950/1956/1958/2064/2065/2066/2099/2100/2146/2246/8822/8817/2247/26281/27006/8074/2250/2252/2253/2254/2260/2263/2261/2264/2308/2309/4303/10818/2534/2549/2885/2931/2932/3065/3066/8841/10014/51564/3082/3643/3667/8660/3725/3815/3932/5594/5595/4193/4233/9112/2475/3164/3084/5155/5156/5159/5290/5291/5293/5295/5296/8503/5335/5371/5468/5515/5518/5519/5528/5566/5567/5573/5577/5578/5580/5581/5582/5613/5687/5688/5694/5717/5728/5781/5879/5880/5928/6199/57521/6615/6714/10273/7039/7157/7189/7314/7409	122
R-HSA-5683057	MAPK family signaling cascades	117/874	246/4579	1.33696412991136e-25	2.53354702618203e-23	1.30881751665007e-23	60/369/374/408/673/801/805/808/815/816/817/818/896/998/983/1437/1438/1439/1445/153090/1950/1956/2064/2065/2066/2246/8822/8817/2247/26281/27006/8074/2250/2252/2253/2254/2260/2263/2261/2264/2322/2335/2308/2309/10818/2534/2674/2885/3082/3265/3315/3559/3560/3561/3563/3567/3569/3572/3667/8660/3674/3690/3716/3717/3718/3725/3815/3845/8844/27040/5604/5605/5594/5595/5597/8550/4233/4609/8202/4893/3084/5058/5062/5155/5156/5159/5515/5518/5519/5528/5566/5567/5687/5688/5694/5717/5747/5781/5879/5894/5906/5908/5921/5923/9978/5979/6464/25759/53358/6654/6714/7010/7039/7297/7314/7514/7529	117
R-HSA-8939211	ESR-mediated signaling	87/874	166/4579	9.07609121261778e-23	1.47421652982092e-20	7.61572766412139e-21	207/208/10000/374/1386/8312/596/801/805/808/857/595/1025/1027/4435/1385/1387/6387/1655/1950/1956/2002/2033/2066/2099/2100/2288/2353/2354/3169/2309/2625/2770/2773/2782/2783/10681/54331/2962/3014/3015/3020/3021/3065/3265/3320/3326/3315/3480/3725/3727/8850/10524/3845/5594/5595/4313/4318/4609/8648/10499/8202/4893/8204/5290/5295/5296/8503/5431/5432/5439/5451/5590/5747/6464/9126/6667/8877/6714/6722/6908/7031/7033/7039/7391/7514/7528	87
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	49/874	66/4579	1.66108131664398e-22	2.36081182128026e-20	1.2195833877465e-20	374/1950/1956/2064/2065/2066/2099/2100/2246/8822/8817/2247/26281/27006/8074/2250/2252/2253/2254/2260/2263/2261/2264/10818/2534/2549/2885/3082/3667/8660/3815/3932/4233/3084/5155/5156/5159/5290/5291/5293/5295/5296/8503/5781/5879/5880/6714/7039/7409	49
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	63/874	101/4579	4.13031542017398e-22	5.03732259104702e-20	2.602255247701e-20	207/301/596/598/6347/595/1026/1278/356/2247/2335/2353/2308/2309/2625/3082/3091/3162/3320/7184/3312/3383/3586/3592/3593/3596/3605/3606/3553/3561/3565/3566/3569/3684/3688/3689/3716/3717/3718/3726/3976/4312/4313/4318/4609/4843/5295/5292/5443/5451/5743/6288/8651/9021/9655/6772/6774/6778/7040/7124/7157/7297/7422	63
R-HSA-9607240	FLT3 Signaling	107/874	232/4579	4.43036287691031e-22	5.03732259104702e-20	2.602255247701e-20	60/208/369/374/408/673/801/805/808/815/816/817/818/1437/1438/1439/1445/153090/1950/1956/2064/2065/2066/2246/8822/8817/2247/26281/27006/8074/2250/2252/2253/2254/2260/2263/2261/2264/2322/2335/10818/2534/2549/9846/2674/2885/3082/3265/3559/3560/3561/3563/3567/3667/8660/3674/3690/3716/3717/3718/3815/3845/8844/27040/5604/5605/5594/5595/4233/4893/3084/5155/5156/5159/5289/5290/5291/5295/5296/5515/5518/5519/5528/5687/5688/5694/5717/5747/5781/5894/5906/5908/5921/5923/9978/5979/6464/25759/53358/6654/6714/6776/6777/7010/7039/7314/7529	107
