ligand	ligand_lfc	receptor	receptor_expression	ligand_cell_source	receptor_cell_target
HLA-A	-0.7681222895982109	KLRC2	8.843195875548636	enterocyte_2	CD4_MThi
HLA-A	-0.7681222895982109	IL2RA	4.806168664532012	enterocyte_2	CD4_MThi
HLA-A	-0.7681222895982109	APLP2	5.677175456174303	enterocyte_2	CD4_MThi
HLA-A	-0.7681222895982109	CD3G	10.429757703354841	enterocyte_2	CD4_MThi
HLA-A	-0.7681222895982109	CD3D	12.771153554248665	enterocyte_2	CD4_MThi
HLA-A	-0.7681222895982109	KLRC1	9.198180598053094	enterocyte_2	CD4_MThi
HLA-A	-0.7681222895982109	IL2RG	10.914690249223213	enterocyte_2	CD4_MThi
HLA-A	-0.7681222895982109	IL2RB	8.914710044646188	enterocyte_2	CD4_MThi
B2M	-0.572192851902707	IL2RG	10.914690249223213	enterocyte_2	CD4_MThi
B2M	-0.572192851902707	PDIA3	10.128854078514891	enterocyte_2	CD4_MThi
B2M	-0.572192851902707	CD3G	10.429757703354841	enterocyte_2	CD4_MThi
B2M	-0.572192851902707	CD3D	12.771153554248665	enterocyte_2	CD4_MThi
B2M	-0.572192851902707	KLRC1	9.198180598053094	enterocyte_2	CD4_MThi
B2M	-0.572192851902707	KLRC2	8.843195875548636	enterocyte_2	CD4_MThi
B2M	-0.572192851902707	IL2RA	4.806168664532012	enterocyte_2	CD4_MThi
B2M	-0.572192851902707	CD247	9.725965733251837	enterocyte_2	CD4_MThi
B2M	-0.572192851902707	IL2RB	8.914710044646188	enterocyte_2	CD4_MThi
HLA-A	-0.7681222895982109	APLP2	5.063614860637519	enterocyte_2	CD4_PD1
HLA-A	-0.7681222895982109	CD3G	8.882494708328666	enterocyte_2	CD4_PD1
HLA-A	-0.7681222895982109	CD3D	12.892936296308166	enterocyte_2	CD4_PD1
HLA-A	-0.7681222895982109	IL2RG	10.499558062452973	enterocyte_2	CD4_PD1
HLA-A	-0.7681222895982109	IL2RB	7.836458880626111	enterocyte_2	CD4_PD1
B2M	-0.572192851902707	IL2RG	10.499558062452973	enterocyte_2	CD4_PD1
B2M	-0.572192851902707	PDIA3	9.761519984264071	enterocyte_2	CD4_PD1
B2M	-0.572192851902707	CD3G	8.882494708328666	enterocyte_2	CD4_PD1
B2M	-0.572192851902707	CD3D	12.892936296308166	enterocyte_2	CD4_PD1
B2M	-0.572192851902707	CD247	7.882224104171871	enterocyte_2	CD4_PD1
B2M	-0.572192851902707	IL2RB	7.836458880626111	enterocyte_2	CD4_PD1
HLA-A	-0.7681222895982109	KIR3DL2	1.906284948069055	enterocyte_2	CD4_activ_fos_hi
HLA-A	-0.7681222895982109	KLRC2	0.5690543931085924	enterocyte_2	CD4_activ_fos_hi
HLA-A	-0.7681222895982109	IL2RA	4.615696217641318	enterocyte_2	CD4_activ_fos_hi
HLA-A	-0.7681222895982109	LILRB2	1.1622711152771281	enterocyte_2	CD4_activ_fos_hi
HLA-A	-0.7681222895982109	APLP2	5.426040594522173	enterocyte_2	CD4_activ_fos_hi
HLA-A	-0.7681222895982109	CD3G	9.568313175008228	enterocyte_2	CD4_activ_fos_hi
HLA-A	-0.7681222895982109	CD3D	12.626110892602082	enterocyte_2	CD4_activ_fos_hi
HLA-A	-0.7681222895982109	KLRC1	4.737916342540321	enterocyte_2	CD4_activ_fos_hi
HLA-A	-0.7681222895982109	IL2RG	10.958792791830971	enterocyte_2	CD4_activ_fos_hi
HLA-A	-0.7681222895982109	IL2RB	7.370103966551217	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	IL2RG	10.958792791830971	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	PDIA3	9.764550777393238	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	CD3G	9.568313175008228	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	CD3D	12.626110892602082	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	KLRC1	4.737916342540321	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	KLRC2	0.5690543931085924	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	HFE	3.1456857433666965	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	IL2RA	4.615696217641318	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	LILRB2	1.1622711152771281	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	CD247	9.153795948200294	enterocyte_2	CD4_activ_fos_hi
B2M	-0.572192851902707	IL2RB	7.370103966551217	enterocyte_2	CD4_activ_fos_hi
HLA-A	-0.7681222895982109	KIR3DL2	2.0672982776399067	enterocyte_2	CD4_activ_fos_lo
HLA-A	-0.7681222895982109	KLRC2	0.9184356256102824	enterocyte_2	CD4_activ_fos_lo
HLA-A	-0.7681222895982109	IL2RA	4.566880606181202	enterocyte_2	CD4_activ_fos_lo
HLA-A	-0.7681222895982109	APLP2	5.909851047767947	enterocyte_2	CD4_activ_fos_lo
HLA-A	-0.7681222895982109	CD3G	9.402237014462225	enterocyte_2	CD4_activ_fos_lo
HLA-A	-0.7681222895982109	CD3D	12.621890127488976	enterocyte_2	CD4_activ_fos_lo
HLA-A	-0.7681222895982109	KLRC1	1.561115906008377	enterocyte_2	CD4_activ_fos_lo
HLA-A	-0.7681222895982109	IL2RG	10.832991853410611	enterocyte_2	CD4_activ_fos_lo
HLA-A	-0.7681222895982109	IL2RB	6.708119001692589	enterocyte_2	CD4_activ_fos_lo
B2M	-0.572192851902707	IL2RG	10.832991853410611	enterocyte_2	CD4_activ_fos_lo
B2M	-0.572192851902707	PDIA3	9.366813865182417	enterocyte_2	CD4_activ_fos_lo
B2M	-0.572192851902707	CD3G	9.402237014462225	enterocyte_2	CD4_activ_fos_lo
B2M	-0.572192851902707	CD3D	12.621890127488976	enterocyte_2	CD4_activ_fos_lo
B2M	-0.572192851902707	KLRC1	1.561115906008377	enterocyte_2	CD4_activ_fos_lo
B2M	-0.572192851902707	KLRC2	0.9184356256102824	enterocyte_2	CD4_activ_fos_lo
B2M	-0.572192851902707	HFE	3.7675406662693085	enterocyte_2	CD4_activ_fos_lo
B2M	-0.572192851902707	IL2RA	4.566880606181202	enterocyte_2	CD4_activ_fos_lo
B2M	-0.572192851902707	CD247	8.777655723401706	enterocyte_2	CD4_activ_fos_lo
B2M	-0.572192851902707	IL2RB	6.708119001692589	enterocyte_2	CD4_activ_fos_lo
HLA-A	-0.7681222895982109	KIR3DL2	1.8648263508398535	enterocyte_2	CD4_memory
HLA-A	-0.7681222895982109	KLRC2	5.769290151289837	enterocyte_2	CD4_memory
HLA-A	-0.7681222895982109	IL2RA	4.357136994415395	enterocyte_2	CD4_memory
HLA-A	-0.7681222895982109	APLP2	6.039834020174724	enterocyte_2	CD4_memory
HLA-A	-0.7681222895982109	CD3G	9.544917642026466	enterocyte_2	CD4_memory
HLA-A	-0.7681222895982109	CD3D	12.675258356321566	enterocyte_2	CD4_memory
HLA-A	-0.7681222895982109	KLRC1	4.871155136198832	enterocyte_2	CD4_memory
HLA-A	-0.7681222895982109	IL2RG	10.607895844064982	enterocyte_2	CD4_memory
HLA-A	-0.7681222895982109	IL2RB	7.183033353270603	enterocyte_2	CD4_memory
HLA-A	-0.7681222895982109	KLRC4	1.1398994294902631	enterocyte_2	CD4_memory
B2M	-0.572192851902707	IL2RG	10.607895844064982	enterocyte_2	CD4_memory
B2M	-0.572192851902707	PDIA3	9.515640076122157	enterocyte_2	CD4_memory
B2M	-0.572192851902707	CD3G	9.544917642026466	enterocyte_2	CD4_memory
B2M	-0.572192851902707	CD3D	12.675258356321566	enterocyte_2	CD4_memory
B2M	-0.572192851902707	KLRC1	4.871155136198832	enterocyte_2	CD4_memory
B2M	-0.572192851902707	KLRC2	5.769290151289837	enterocyte_2	CD4_memory
B2M	-0.572192851902707	HFE	2.45318862031442	enterocyte_2	CD4_memory
B2M	-0.572192851902707	IL2RA	4.357136994415395	enterocyte_2	CD4_memory
B2M	-0.572192851902707	CD247	9.041467937563054	enterocyte_2	CD4_memory
B2M	-0.572192851902707	IL2RB	7.183033353270603	enterocyte_2	CD4_memory
HLA-A	-0.7681222895982109	KIR3DL2	6.3302035181896485	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	KLRC2	10.391090446431793	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	IL2RA	4.524338524402896	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	APLP2	5.799209760466047	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	KIR2DL3	4.815001062415593	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	CD3G	10.326152050956537	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	CD3D	13.400721968365625	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	KLRC1	9.380499270817529	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	IL2RG	10.40685710063802	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	IL2RB	9.375612966645662	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	KLRC4	2.5612523117286594	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	IL2RG	10.40685710063802	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	KIR2DL3	4.815001062415593	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	PDIA3	9.984532508718575	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	CD3G	10.326152050956537	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	CD3D	13.400721968365625	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	KLRC1	9.380499270817529	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	KLRC2	10.391090446431793	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	HFE	1.8163538400711465	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	IL2RA	4.524338524402896	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	CD247	10.091769161980068	enterocyte_2	CD8_IEL
B2M	-0.572192851902707	IL2RB	9.375612966645662	enterocyte_2	CD8_IEL
HLA-A	-0.7681222895982109	IL2RA	3.892563494006835	enterocyte_2	CD8_IL17
HLA-A	-0.7681222895982109	APLP2	6.024773136418718	enterocyte_2	CD8_IL17
