Gene	mean_expression	Log2_mean_expression	zscore
FO538757.2	0.426366753	0.5123449808734785	0.6615729064651141
AP006222.2	0.148222153	0.19940179534552027	0.15238547109209608
RP4-669L17.10	0.013810247	0.01978765102993976	-0.13986331312883032
RP11-206L10.9	0.052377588	0.07365242953286723	-0.05222034887456962
FAM87B	0.007382798	0.010612000956879832	-0.15479294235433785
LINC00115	0.0218572	0.031193600144283736	-0.12130478159305065
FAM41C	0.017728925	0.02535334664344128	-0.1308074128678147
NOC2L	0.579390332	0.6593677642625738	0.9007925395400388
KLHL17	0.011008788	0.0157955376453954	-0.14635884992272175
PLEKHN1	0.260153571	0.3335995612009045	0.37073761738795186
RP11-54O7.17	0.029216565	0.04154658221061662	-0.10445952459240596
HES4	2.816989621	1.9324352636422353	2.9721908157870818
ISG15	19.1237681	4.330828564553466	6.874597995053531
AGRN	0.993602357	0.9953776791478075	1.447511671741858
RNF223	0.056273642	0.07898363281677825	-0.04354598926834535
C1orf159	0.140547692	0.1897267742022899	0.13664331906283875
RP11-465B22.8	0.161396373	0.21586043367443525	0.17916519414723692
TTLL10	0.049673719	0.06994094966942412	-0.05825926903803923
SDF4	1.248605507	1.1690305784052344	1.730060960261447
B3GALT6	0.078887547	0.10954449982122362	0.006179360930658084
FAM132A	0.044194198	0.062390047575645396	-0.07054528340003097
UBE2J2	0.411344104	0.4970697785875687	0.6367187430371919
ACAP3	0.143048593	0.1928867363520064	0.1417848690223799
PUSL1	0.133884363	0.18127351732333702	0.12288909021301836
CPSF3L	0.16903459	0.22531761770804828	0.19455290510123008
CPTP	0.161768708	0.21632287680173765	0.17991763178092346
DVL1	0.203006368	0.2666442793034366	0.26179519636500453
AURKAIP1	1.564420147	1.3586326482032274	2.0385610207404152
CCNL2	0.808089411	0.8544660215677391	1.2182354041781223
MRPL20	0.794424421	0.8435211598523876	1.2004271043809878
RP4-758J18.13	0.010135344	0.014548606874068316	-0.1483877213310209
VWA1	0.011667851	0.016735704686483065	-0.14482911140591706
ATAD3C	0.0069056	0.009928433299254025	-0.15590517000007878
ATAD3B	0.199539706	0.2624809131138061	0.2550210154572458
ATAD3A	0.105036921	0.1440945731042626	0.062395517793957946
SSU72	0.826959879	0.8694449519712611	1.2426075059189954
RP5-832C2.5	0.024226592	0.034534921384075566	-0.11586814366154663
C1orf233	0.016682276	0.023868892119860312	-0.1332227573352613
RP11-345P4.9	0.036905311	0.05228415491492841	-0.08698850314096943
MIB2	0.219840958	0.28669306249164617	0.2944164163373502
CDK11B	0.392128201	0.4772920750016059	0.6045385945878358
RP11-345P4.10	0.004587787	0.00660364106042809	-0.16131491372202553
SLC35E2B	0.187976791	0.24850665109130646	0.2322836018642233
CDK11A	0.7191416	0.781688379722544	1.0998194663422105
SLC35E2	0.023877746	0.03404346361040336	-0.11666779080180344
NADK	0.835354204	0.8760585148622103	1.2533683829179283
GNB1	1.528542505	1.338306030487067	2.005487738357742
TMEM52	0.002752546	0.003965629176018073	-0.16560720244414656
PRKCZ	0.25771216	0.33080178481199	0.36618537707693455
RP5-892K4.1	0.002752546	0.003965629176018073	-0.16560720244414656
FAAP20	0.349167711	0.43206969653597815	0.5309576125526035
SKI	0.109875554	0.15039792189780668	0.07265164783568265
MORN1	0.027136496	0.03862791390269876	-0.10920846720927732
RER1	0.825513381	0.8683022437558653	1.240748214224896
PEX10	0.098026195	0.13491247232654371	0.047455392676820425
PANK4	0.027978658	0.03981031286138456	-0.10728459501392906
RP3-395M20.12	0.004704775	0.006771638504728879	-0.16104156638049955
RP3-395M20.8	0.393564638	0.47877992081942894	0.6069594570038991
TNFRSF14	0.627007221	0.7022206540084569	0.9705181448163342
FAM213B	0.466418189	0.5522965858467882	0.7265778537403699
MMEL1	0.029729675	0.04226565029833445	-0.10328953447159243
TTC34	0.038118157	0.05397065835530686	-0.08424440644461444
ARHGEF16	0.193330347	0.2549934763993689	0.24283826512283588
MEGF6	0.00540906	0.0077825947010977305	-0.1593966473769588
TPRG1L	0.303411444	0.3822925670376156	0.44996563036024023
WRAP73	0.115853892	0.15814813551241758	0.08526196043079173
TP73-AS1	0.017496634	0.025024021892465928	-0.13134325462155377
SMIM1	0.022571573	0.032201825463748585	-0.11966430597818675
LRRC47	0.194519449	0.25643034374604323	0.24517618086300452
CEP104	0.205170262	0.26923697947677344	0.2660137587526959
DFFB	0.037386137	0.05295299564010592	-0.08590023757304657
C1orf174	0.088285439	0.12205700090879792	0.026538354618714788
LINC01134	0.027710899	0.03943448317219548	-0.10789610459274408
RPL22	4.869900113	2.5533359534706497	3.9824535231909564
RNF207	0.537495306	0.6205820058854647	0.8376845322392269
ICMT	0.311092356	0.3907693154987859	0.46375808218169035
GPR153	0.016873132	0.024139695663691983	-0.13278213498478275
ACOT7	0.32150392	0.402180704477154	0.4823254648781258
HES2	0.012554928	0.01800017190223558	-0.14277170658460403
ESPN	0.111756929	0.15284139628176377	0.07662740609630027
TNFRSF25	0.068128867	0.09508571497139644	-0.01734641600509185
PLEKHG5	0.068314223	0.09533604898115469	-0.01693909947509487
NOL9	0.280786765	0.3570303049659331	0.40886159924257953
ZBTB48	0.137061452	0.18531022617379173	0.12945718794437786
KLHL21	0.130225776	0.17661099687017842	0.1153027392659198
