pvalue,log2FoldChange,pct.1,pct.2,padj,Gene,comparison
1.74E-78,1.787109806,0.98,0.902,3.68E-74,IRF1,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
9.03E-72,4.202602214,1,0,1.91E-67,COVID19,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.26E-67,1.461527451,0.88,0.706,1.54E-62,DDX60L,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.94E-65,2.055600476,1,0.937,6.22E-61,JUN,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.17E-64,1.465050939,0.88,0.523,1.31E-59,XAF1,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.05E-64,-1.310718014,0.8,0.996,1.70E-59,CD63,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.54E-63,1.984018474,0.94,0.551,3.27E-59,IFIT3,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.56E-59,1.315792555,0.92,0.758,1.39E-54,IFIH1,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
9.92E-58,-1.415544599,0.84,0.993,2.10E-53,TSPAN1,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.31E-57,1.180059168,0.92,0.73,4.89E-53,REL,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.12E-56,1.399092244,0.94,0.534,2.36E-52,DDX58,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.15E-56,1.81545616,0.82,0.586,2.43E-52,CXCL11,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.18E-55,2.688070983,0.9,0.346,2.50E-51,IFIT2,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.21E-55,1.517399497,0.94,0.671,6.80E-51,TNFAIP3,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.84E-54,-1.412704899,0.96,1,6.01E-50,EPCAM,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.78E-54,-1.069730885,0.82,0.998,8.00E-50,CYBA,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.21E-54,0.951164695,0.88,0.802,1.10E-49,ZNFX1,Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
