ligand	receptor	ligand_cell_source	ligand_dir	target_cell_counts	receptor_cell_target
ADAM9	ITGA3	imm_enterocytes_2	downreg	22	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
ADAM9	ITGA6	imm_enterocytes_2	downreg	23	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,mast_cell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
ADAM9	ITGAV	imm_enterocytes_2	downreg	22	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,mast_cell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
ADAM9	ITGB1	imm_enterocytes_2	downreg	24	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,inf_macrophage,mast_cell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
ADAM9	ITGB5	imm_enterocytes_2	downreg	13	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC3,IgA_plasma,IgM_plasma,TFH_like,Tcyto,Trm,Trm_Th17,activated_Tcell,resident_macrophage
ANXA1	ADRA2A	imm_enterocytes_2	downreg	2	CD8_Trm_cyto,resident_macrophage
ANXA1	CCR10	imm_enterocytes_2	downreg	15	CD8_Trm,CD8_Trm_cyto,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tmem,Treg,Trm,activated_Tcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
ANXA1	DYSF	imm_enterocytes_2	downreg	15	CD8_Trm,DC1,DC2,ILC1,ILC3,TFH_like,Tcyto,Treg,Trm,Trm_Th17,gd_Tcell,inf_macrophage,naive_Bcell,naive_Tcell,resident_macrophage
ANXA1	FPR3	imm_enterocytes_2	downreg	13	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC3,IgA_plasma,IgM_plasma,Trm,inf_macrophage,mast_cell,mem_Bcell,naive_Bcell,resident_macrophage
ANXA1	GRIN2A	imm_enterocytes_2	downreg	2	CD8_Trm,IgA_plasma
ANXA1	GRM7	imm_enterocytes_2	downreg	14	CD8_Trm,CD8_Trm_cyto,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,Tcyto,Treg,Trm,gd_Tcell,mem_Bcell,naive_Bcell,resident_macrophage
ANXA1	LMTK2	imm_enterocytes_2	downreg	21	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
ARPC5	ADRB2	imm_enterocytes_2	downreg	18	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,Tcyto,Trm,Trm_Th17,gd_Tcell,mast_cell,mem_Bcell,naive_Bcell,plasmablast,resident_macrophage
ARPC5	LDLR	imm_enterocytes_2	downreg	24	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,inf_macrophage,mast_cell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
B2M	AR	imm_enterocytes_2	downreg	5	CD8_Trm_cyto,IgA_plasma,Trm,activated_Tcell,mem_Bcell
B2M	CD1A	imm_enterocytes_2	downreg	8	DC1,DC2,Tmem,activated_Tcell,mem_Bcell,naive_Bcell,naive_Tcell,resident_macrophage
B2M	CD1B	imm_enterocytes_2	downreg	7	DC1,DC2,activated_Tcell,gd_Tcell,mem_Bcell,naive_Bcell,resident_macrophage
