ligand,ligand_dir
ADAM9,downreg
ANXA1,downreg
APP,downreg
AREG,downreg
B2M,downreg
CALM1,downreg
CALM2,downreg
CALM3,downreg
CD47,downreg
CD55,downreg
CDH1,downreg
CXCL10,upreg
CXCL2,upreg
CXCL3,upreg
FAS,upreg
HLA-A,downreg
HLA-B,downreg
HLA-C,downreg
HLA-E,downreg
HSP90AA1,downreg
HSP90B1,downreg
ICAM1,upreg
IL32,downreg
LAMB3,downreg
LAMC2,downreg
LGALS3BP,downreg
LRPAP1,downreg
PI3,downreg
PLAUR,downreg
PSAP,downreg
RTN4,downreg
S100A6,downreg
SLPI,downreg
TIMP2,downreg
TNF,upreg
