ligand,ligand_dir
ADAM9,downreg
ANXA1,downreg
ARPC5,downreg
B2M,downreg
BMP2,upreg
BST2,upreg
CALM1,downreg
CALM2,downreg
CALR,downreg
CCL5,upreg
CDH1,downreg
CFLAR,upreg
CSF1,upreg
CX3CL1,upreg
CXCL10,upreg
CXCL11,upreg
CXCL2,upreg
CXCL3,upreg
CXCL8,upreg
DSC2,downreg
EDN1,upreg
EDN2,upreg
EFNA1,upreg
FAM3C,downreg
GRN,downreg
HLA-A,downreg
HLA-B,downreg
HLA-C,downreg
HSP90B1,downreg
ICAM1,upreg
IFNL1,upreg
LYZ,downreg
MDK,downreg
PI3,downreg
PLAU,upreg
PSAP,downreg
RTN4,downreg
S100A6,downreg
SLPI,downreg
SPTAN1,downreg
TIMP2,downreg
TNF,upreg
TNFSF10,upreg
TNFSF13B,upreg
